0100000018	उत्पत्ती
01010e0160	त्यानंतर परमेश्वराने म्हटले: “दिवस आणि रात्र वेगळी करण्यासाठी आकाशात ज्योती होवोत व त्या ॠतू, दिवस आणि वर्षे दाखविणारी चिन्हे होवोत.
01010f00d2	पृथ्वीला प्रकाश देण्यासाठी त्या ज्योती आकाशमंडळात दीप होवोत” आणि तसे घडून आले.
01011001b8	परमेश्वराने दोन मोठ्या ज्योती निर्माण केल्या—दिवसावर प्रभुत्व चालविण्यासाठी प्रखर आणि रात्रीवर प्रभुत्व चालविण्यासाठी सौम्य प्रकाश. त्यांनी तारेही निर्माण केले.
01011100c5	परमेश्वराने त्या ज्योती पृथ्वीवर प्रकाश पाडण्यासाठी आकाशमंडळात ठेवल्या,
010112018e	दिवसावर व रात्रीवर प्रभुत्व चालविण्यासाठी आणि प्रकाश व अंधार वेगळे करण्यासाठी या ज्योती त्यांनी निर्माण केल्या. परमेश्वराने पाहिले की हे चांगले आहे.
0101130073	आणि संध्याकाळ झाली व सकाळ झाली; हा चौथा दिवस.
0101140136	आणि परमेश्वराने म्हटले, “जलांमध्ये विपुल प्रमाणात जीवजंतू उत्पन्न होवोत आणि पक्षी पृथ्वीवर आकाशमंडळात विहार करोत.”
01011501fd	सागरांमधील महाकाय प्राणी, तसेच जलांमध्ये संचार करणारे व सर्व जातीचे प्राणी त्यांनी उत्पन्न केले. तसेच पंख असलेले सर्व जातीचे पक्षीही त्यांनी उत्पन्न केले. परमेश्वराने पाहिले की हे चांगले आहे.
010116017c	परमेश्वराने त्यांना आशीर्वाद दिला आणि ते म्हणाले, “फलद्रूप व्हा, बहुगुणित व्हा, समुद्रातील जले भरून टाका आणि पृथ्वीवर पक्ष्यांची वृद्धी होवो.”
0101170076	आणि संध्याकाळ झाली व सकाळ झाली; हा पाचवा दिवस.
01011801d5	मग परमेश्वराने म्हटले, “प्रत्येक जातीच्या जिवंत प्राण्याची निर्मिती होवो: गुरे, जमिनीवरील सरपटणारे प्राणी, वनपशू यांच्या सर्व जाती पृथ्वीवर अस्तित्वात येवोत” आणि तसे घडून आले.
01011901a2	परमेश्वराने वन्यप्राणी, पाळीव जनावरे, जमिनीवर सरपटत जाणारे सर्व प्राणी, त्यांच्या जाती प्रमाणे त्यांनी निर्माण केले आणि परमेश्वराने पाहिले की ते चांगले आहे.
01011a0227	मग परमेश्वराने म्हटले: “आपल्यासारखी, आपल्या प्रतिरूपाची मानवजात आपण निर्माण करू या. समुद्रातील मासे आणि आकाशातील पक्षी, गुरे, सर्व वनपशू आणि जमिनीवर सरपटणार्‍या प्रत्येक प्राण्यांवर त्यांनी सत्ता चालवावी.”
01011b019c	याप्रमाणे परमेश्वराने आपल्या प्रतिरूपाची मानवजात निर्माण केली. त्यांनी आपल्या प्रतिरूपातच त्यांना निर्माण केले. पुरुष व स्त्री असे त्यांनी निर्माण केले.
01011c0282	मग परमेश्वराने त्यांना आशीर्वाद दिला आणि ते त्यांना म्हणाले, “फलद्रूप व्हा, बहुगुणित व्हा आणि पृथ्वी व्यापून टाका; ती आपल्या सत्तेखाली आणा. समुद्रातील मासे, आकाशातील पक्षी आणि पृथ्वीवर संचार करणार्‍या प्रत्येक सजीव प्राण्यावर अधिकार गाजवा.”
01011d01be	मग परमेश्वर म्हणाले, “पाहा, भूतलावर बीज देणारी प्रत्येक वनस्पती आणि फळांमध्येच वृक्ष निर्माण करणारे बीज असलेले प्रत्येक फळझाड मी तुम्हाला दिले आहे. ती तुमचे अन्न होतील.
01011e01f2	त्याप्रमाणे पृथ्वीतलावरील सर्व पशू, आकाशातील प्रत्येक पक्षी, तसेच जमिनीवर सरपटत जाणारा, जीवनाचा श्वास असलेला प्रत्येक प्राणी—यांना अन्न म्हणून मी हिरवी वनस्पती देत आहे” आणि तसे घडून आले.
01011f0148	परमेश्वराने आपण निर्माण केलेली प्रत्येक गोष्ट पाहिली आणि ती अतिशय चांगली होती आणि संध्याकाळ झाली व सकाळ झाली; हा सहावा दिवस.
01020100a7	अशा रीतीने आकाश, पृथ्वी व त्यातील सर्वांची निर्मिती पूर्ण झाली.
0102020151	परमेश्वराने सातव्या दिवसापर्यंत त्यांचे काम संपविले, म्हणून सातव्या दिवशी त्यांच्या सर्व कामापासून त्यांनी विश्रांती घेतली.
0102030169	सातव्या दिवसाला आशीर्वाद देऊन परमेश्वराने तो पवित्र केला; कारण निर्मितीचे संपूर्ण कार्य संपवून त्यांनी सातव्या दिवशी विश्रांती घेतली.
0102040150	याहवेह परमेश्वराने आकाश व पृथ्वी निर्माण केली, त्याचा हा वृतांत आहे: जेव्हा याहवेह परमेश्वराने पृथ्वी व आकाशाची निर्मिती केली.
0102050164	जमिनीवर अद्याप वनस्पती उगवली नव्हती, कारण याहवेह परमेश्वराने अजून पाऊस पाडला नव्हता आणि जमिनीची मशागत करण्यासाठी कोणी मनुष्य नव्हता.
01020600e0	मात्र जमिनीवरून धुके वर जात असे आणि त्याने जमिनीच्या सर्व पृष्ठभागाचे सिंचन होत असे.
010207018e	मग याहवेह परमेश्वराने जमिनीवरील धूळ घेऊन तिचा मनुष्य घडविला व त्याच्या नाकपुड्यांत त्यांनी जीवन देणारा श्वास फुंकला; तेव्हा मनुष्य सजीव प्राणी झाला.
0102080118	नंतर याहवेह परमेश्वराने पूर्वेकडे, एदेनमध्ये एक बाग लावली आणि त्या बागेत आपण घडविलेल्या मनुष्याला ठेवले.
01020901f3	याहवेह परमेश्वराने सर्व प्रकारची झाडे जमिनीतून उगवली—डोळ्यांना आनंद देणारे व खाण्यास उत्तम असलेले जीवनवृक्ष आणि बर्‍यावाईटाचे ज्ञान करून देणारा वृक्ष हे देखील बागेच्या मध्यभागी लावले.
01020a0104	बागेला पाणी देण्यासाठी एदेनात एक नदी उगम पावली व वाहू लागली आणि ती विभागून तिच्या चार नद्या झाल्या
01020b00d3	पहिल्या नदीचे नाव पीशोन असून ती सोने असलेल्या हवीला प्रदेशाला वेढा घालून वाहते.
01020c00c6	त्या प्रदेशातील सोने उत्तम प्रतीचे असून तिथे मोती व गोमेद रत्नेही सापडतात.
01020d00b9	दुसर्‍या नदीचे नाव गीहोन असून ती कूशच्या सर्व प्रदेशाभोवती वाहत जाते.
01020e0108	तिसर्‍या नदीचे नाव हिद्दकेल असून ती अश्शूरच्या पूर्वेस वाहत जाते; आणि चौथ्या नदीचे नाव फरात असे आहे.
01020f00cf	याहवेह परमेश्वराने मनुष्याला एदेन बागेत नेऊन तिची मशागत व राखण करण्यास ठेवले.
01021000dd	याहवेह परमेश्वराने मनुष्याला आज्ञा केली, “बागेतील वाटेल त्या झाडाचे फळ तू खुशाल खा;
0102110159	परंतु बऱ्यावाईटाचे ज्ञान करून देणार्‍या वृक्षाचे फळ मात्र तू खाऊ नकोस, कारण ज्या दिवशी तू ते फळ खाशील त्या दिवशी तू निश्चित मरशील.”
010212011a	याहवेह परमेश्वर म्हणाले, “मनुष्याने एकटे असावे हे बरे नाही; मी त्याच्यासाठी एक योग्य मदतनीस निर्माण करेन.”
010213020f	याहवेह परमेश्वराने भूमीपासून प्रत्येक जातीचे वन्यपशू, आकाशातील सर्व पक्षी निर्माण केले. त्यांना मानव कोणती नावे देतो हे पाहण्याकरिता त्याच्याकडे आणले; आणि त्याने जी नावे दिली तीच त्यांची नावे पडली.
010214019c	याप्रकारे मानवाने सर्व पाळीव प्राण्यांना, आकाशातील पक्ष्यांना आणि जमिनीवरील सर्व पशूंना नावे दिली. परंतु आदामाला योग्य असा मदतनीस त्यांच्यामध्ये नव्हता.
010215018c	नंतर याहवेह परमेश्वराने मानवाला गाढ निद्रा आणली आणि तो झोपेत असताना याहवेह परमेश्वराने त्याची एक फासळी काढली आणि ती जागा त्यांनी मांसाने भरून काढली.
010216012c	याहवेह परमेश्वराने मानवाची जी फासळी काढली, त्याची त्यांनी एक स्त्री निर्माण केली आणि तिला त्यांनी मानवाकडे आणले.
0102170131	तेव्हा मानव म्हणाला, “ही माझ्या हाडाचे हाड आणि मांसाचे मांस आहे; हिला नारी असे म्हणतील, कारण ती नरापासून बनविली आहे.”
01021800ec	या कारणासाठी पुरुष आपल्या आईवडिलांना सोडून आपल्या पत्नीशी जडून राहील आणि ती एकदेह होतील.
01021900c5	आदाम आणि त्याची पत्नी हे दोघेही नग्न होती, परंतु त्यांना लज्जा वाटत नव्हती.
010301020f	आता याहवेह परमेश्वराने निर्माण केलेल्या सर्व वन्यप्राण्यांमध्ये सर्प सर्वात धूर्त होता. त्याने स्त्रीला म्हटले, “बागेतील कोणत्याही झाडाचे फळ तुम्ही खाऊ नये असे परमेश्वराने खरोखरच म्हटले आहे काय?”
01030200bf	स्त्री सर्पाला म्हणाली, “आम्हाला बागेतील झाडांची फळे खाण्याची मुभा आहे.
010303013b	पण परमेश्वर म्हणाले, ‘बागेच्या मध्यभागी असलेल्या झाडाचे फळ खाऊ नका आणि त्याला स्पर्शही करू नका, असे केल्यास तू मरशील.’”
010304009d	पण सर्प त्या स्त्रीला म्हणाला, “तुम्ही निश्चितच मरणार नाही,
01030501b9	कारण परमेश्वराला हे माहीत आहे की ज्या दिवशी ते फळ तुम्ही खाल, त्या दिवशी तुमचे डोळे उघडतील आणि चांगले व वाईट यातील फरक तुम्हाला समजेल आणि तुम्ही परमेश्वरासारखे व्हाल.”
0103060228	जेव्हा स्त्रीने पाहिले की खाण्यास योग्य, दिसण्यास सुंदर आणि सुज्ञ करणारे ते झाड आहे, तेव्हा तिने त्याच्या फळातील काही तोडून घेतले आणि खाल्ले आणि आपला पती, जो तिच्यासोबत होता, त्यालाही दिले आणि त्याने ते खाल्ले.
0103070142	पण मग त्यांचे डोळे उघडले आणि आपण नग्न असल्याचे त्यांना समजले; नंतर त्यांनी स्वतःसाठी अंजिराच्या पानांची कटिवेष्टने केली.
010308016a	सायंकाळी याहवेह परमेश्वर बागेतून फिरत असल्याचा आवाज त्यांनी ऐकला आणि आदाम व त्याची पत्नी, याहवेह परमेश्वरापासून बागेतील झाडामागे लपली.
01030900b0	परंतु याहवेह परमेश्वराने आदामाला हाक मारून म्हटले, “तू कुठे आहेस?”
01030a00ff	आदाम म्हणाला, “बागेत मी तुमचा आवाज ऐकला आणि मला भीती वाटली, कारण मी नग्न होतो; त्यामुळे लपून बसलो.”
01030b0162	याहवेह म्हणाले, “तू नग्न आहेस हे तुला कोणी सांगितले? ज्या झाडाचे फळ खाऊ नकोस, अशी मी तुला आज्ञा केली होती, त्या झाडाचे फळ तू खाल्लेस काय?”
01030c011a	त्यावर आदाम म्हणाला, “जी स्त्री तुम्ही माझ्या सोबतीला दिली; तिने मला त्या झाडाची फळे दिली आणि मी ती खाल्ली.”
01030d0164	तेव्हा याहवेह परमेश्वर त्या स्त्रीला म्हणाले, “तू हे काय केलेस?” त्यावर ती स्त्री म्हणाली, “सर्पाने मला भुरळ पाडली आणि मी ते फळ खाल्ले.”
01030e01fc	याहवेह परमेश्वर सर्पाला म्हणाले, “कारण तू हे केलेस म्हणून, “तू सर्व पाळीव प्राण्यांहून, आणि सर्व वन्यपशूहून अधिक शापित आहेस! तू तुझ्या पोटावर सरपटशील आणि तुझ्या आयुष्याचे सर्व दिवस माती खाशील.
01030f0154	तू आणि स्त्री, तुझी संतती आणि तिची संतती यामध्ये मी शत्रुत्व निर्माण करेन; तिचे संतान तुझे मस्तक चिरडेल आणि तू त्याची टाच फोडशील.”
01031001d5	नंतर परमेश्वर स्त्रीला म्हणाले, “तुझ्या प्रसूतिकाळात मी तुझे क्लेश अत्यंत वाढवेन; वेदनांनी तू तुझ्या संतानास जन्म देशील, तुझ्या पतीकडे तुझी ओढ राहील, आणि तो तुजवर सत्ता गाजवील.”
0103110269	नंतर ते आदामाला म्हणाले, “तू तुझ्या पत्नीचे ऐकलेस आणि ज्या झाडाचे फळ तू खाऊ नकोस, अशी मी तुला आज्ञा केली होती, ते खाल्लेस म्हणून आता, “तुझ्यामुळे भूमी शापित झाली आहे; तू तुझ्या आयुष्याचे सर्व दिवस अत्यंत क्लेशमय कष्ट करून तिचा उपज खाशील.
01031200a5	भूमी तुझ्यासाठी काटे आणि कुसळे उगवील, आणि तू शेतातील पीक खाशील.
0103130154	ज्यामधून तू घडविला गेलास त्या मातीत परत जाऊन मिळेपर्यंत तू घाम गाळून अन्न खाशील, कारण तू माती आहेस आणि तू मातीतच परत जाऊन मिळशील.”
01031400c8	आदामाने आपल्या पत्नीचे नाव हव्वा असे ठेवले, कारण ती सर्व सजिवांची माता होती.
01031500f6	याहवेह परमेश्वराने आदामासाठी आणि त्याच्या पत्नीसाठी चर्मवस्त्रे केली आणि त्यांना ती घातली.
010316025a	नंतर याहवेह परमेश्वर म्हणाले, “पाहा, मानव आपल्यापैकी एक आणि आपल्यासारखा झाला आहे; तो बरे आणि वाईट यातील फरक समजू लागला आहे. परंतु आता जीवनवृक्षाचे फळ त्याच्या हाती लागून त्याने ते तोडून खाऊ नये, कारण मग तो सदासर्वकाळ जिवंत राहील.”
0103170143	म्हणून याहवेह परमेश्वराने मनुष्याला ज्या भूमीतून निर्माण केले होते तिची मशागत करण्यासाठी त्या एदेन बागेतून घालवून दिले.
01031801ef	अशा रीतीने त्यांनी मनुष्याला एदेन बागेच्या बाहेर घालवून दिले आणि जीवनवृक्षाकडे कोणीही जाऊ नये यासाठी एदेन बागेच्या पूर्वेस करूबीम आणि प्रत्येक दिशेकडे फिरणारी एक ज्वालामय तलवार ठेवली.
01040101f5	मग आदामाने आपली पत्नी हव्वा हिच्याशी प्रीती संबंध केला, तेव्हा ती गर्भवती झाली आणि तिने काईन नावाच्या मुलाला जन्म दिला. ती म्हणाली, “याहवेहच्या साहाय्याने मी एका पुरुषाला प्राप्त केले आहे.”
01040200e2	नंतर तिने त्याचा भाऊ हाबेलास जन्म दिला. हाबेल मेंढपाळ होता आणि काईन शेतीकाम करीत होता.
01040300da	हंगामाचे वेळी काईनाने याहवेहला दान देण्यासाठी आपल्या जमिनीतील काही उत्पन्न आणले.
0104040177	हाबेलानेही आपल्या मेंढरातील प्रथम जन्मलेली धष्टपुष्ट मेंढरे आणून परमेश्वराला अर्पण केली. याहवेहने हाबेलाच्या अर्पणास प्रीतीने ग्रहण केले,
01040500fe	पण काईनाच्या अर्पणास प्रीतीने ग्रहण केले नाही, म्हणून त्याला खूप राग आला आणि त्याचा चेहरा उतरला.
01040600ca	याहवेहने काईनला विचारले, “तू का संतापलास? तुझ्या चेहर्‍यावर निराशा का दिसते?
010407020b	तू योग्य ते केलेस तर तुझाही स्वीकार केला जाणार नाही काय? पण तू योग्य ते करण्याचे नाकारशील तर सावध राहा, तुझा सर्वनाश करावा म्हणून पाप तुझ्या दारावर हल्ला करण्यास टपून बसले आहे; पण त्यावर तू विजय मिळव.”
0104080169	एके दिवशी काईन आपला भाऊ हाबेलास म्हणाला, “चल, आपण शेतात जाऊ.” त्याप्रमाणे शेतात गेल्यावर काईनाने आपल्या भावावर हल्ला करून त्याचा वध केला.
0104090160	मग याहवेहने काईनाला विचारले, “तुझा भाऊ हाबेल कुठे आहे?” “मला माहीत नाही.” त्याने प्रत्युत्तर दिले. “मी काय माझ्या भावाचा राखणदार आहे?”
01040a00f5	याहवेह त्याला म्हणाले, “तू हे काय केलेस? आता ऐक, तुझ्या भावाचे रक्त मला जमिनीतून हाक मारीत आहे.
01040b0148	ज्या भूमीने तुझ्या भावाचे रक्त स्वीकारण्यास आपले मुख उघडले आहे, त्या भूमीतून तुला हद्दपार करण्यात आले आहे आणि तू शापित आहेस.
01040c00da	त्या भूमीवर तू कष्ट केलेस तरी ती तुला उपज देणार नाही. तू बेचैन असा पृथ्वीवर भटकशील.”
01040d00cb	काईन याहवेहला म्हणाला, “मला मिळालेली शिक्षा माझ्या सहनशक्तीच्या पलीकडे आहे.
01040e01a2	कारण तुम्ही मला माझ्या शेतातून हद्दपार केले आहे आणि तुमच्या सानिध्यापासून दूर केले आहे; मी पृथ्वीवर बेचैन असा भटकणारा होईन, जो कोणी मला पाहील, तो मला ठार करेल.”
01040f0230	यावर याहवेहने त्याला उत्तर दिले, “असे होणार नाही, जर कोणी काईनाचा जीव घेईल, तर त्याला मी तुला दिलेल्या शिक्षेपेक्षा सातपट शिक्षा देईन” आणि मग त्याचा वध कोणीही करू नये, असा इशारा देणारी एक खूण याहवेहने काईनावर केली.
0104100131	मग काईन याहवेहच्या समक्षतेतून निघून गेला आणि एदेन बागेच्या पूर्वेस असलेल्या नोद नावाच्या देशात वस्ती करून राहिला.
010411022d	पुढे काईनाने त्याच्या पत्नीशी वैवाहिक प्रीती संबंधात प्रवेश केला आणि ती गर्भवती झाली. तिने हनोख नावाच्या पुत्राला जन्म दिला. त्यावेळी काईन एक नगर बांधत होता, त्याने आपल्या पुत्राचे, हनोख हे नाव त्या नगराला दिले.
0104120115	हनोखपासून ईराद झाला आणि ईराद हा महूयाएलचा पिता, महूयाएल हा मथुशाएलचा पिता, मथुशाएल हा लामेखाचा पिता होता.
010413008a	लामेखाने आदाह व सिल्ला या दोन स्त्रियांशी लग्न केले.
010414010b	आदाह हिला याबाल नावाचा पुत्र झाला. तो गुरे पाळणार्‍या व तंबू ठोकून राहणार्‍या लोकांचा मूळ पुरुष झाला.
010415012b	त्याच्या भावाचे नाव युबाल असे होते. तो पहिला संगीतकार असून वीणा व बासरी ही वाद्ये वाजविणार्‍यांचा मूळ पुरुष झाला.
0104160187	लामेखाची दुसरी स्त्री सिल्ला हिला तुबल-काईन झाला. तो कास्य व लोखंड यांची हत्यारे बनविणार्‍यांचा मूळ पुरुष झाला. तुबल—काईनास नामाह नावाची बहीण होती.
01041701dd	एके दिवशी लामेख आपल्या पत्नींना म्हणाला, आदाह व सिल्ला माझे ऐका, “लामेखाच्या पत्नींनो, माझे बोलणे ऐका. एका तरुणाने माझ्यावर हल्ला करून मला जखमी केले. पण त्या तरुणाला मी ठार मारले आहे.
01041800ae	जर काईनाबद्दल सातपट तर लामेखाबद्दल सत्याहत्तरपट सूड घेतला जाईल.”
0104190235	आदामाने हव्वेशी पुन्हा प्रीती संबंध केला आणि हव्वेने पुत्राला जन्म दिला. तिने त्याचे नाव शेथ असे ठेवले, कारण ती म्हणाली, “काईनाने ठार केलेल्या हाबेल या माझ्या पुत्राच्या जागी परमेश्वराने मला दुसरा पुत्र दिला आहे.”
01041a0173	शेथ मोठा झाल्यावर त्यालाही एक पुत्र झाला, त्याचे नाव अनोश असे ठेवले. त्याच्या हयातीत लोकांनी याहवेहच्या नावाने आराधना करण्यास प्रारंभ केला.
0105010134	ही आदामाची लिखित वंशावळी आहे. जेव्हा परमेश्वराने मानवजातीला निर्माण केले, त्यांनी त्याला आपल्या प्रतिरूपात घडविले.
010502013c	परमेश्वराने त्यांना पुरुष व स्त्री असे निर्माण केले. त्यांनी त्यांना आशीर्वाद दिला आणि त्यांना “मानवजात” असे नाव दिले.
010503016c	आदाम 130 वर्षाचा झाला तेव्हा त्याला त्याच्या स्वतःच्या प्रतिरूपात, त्याच्या स्वतःच्या प्रतिमेत एक मुलगा झाला; त्याने त्याचे नाव शेथ ठेवले.
01050400e4	शेथच्या जन्मानंतर आदाम आणखी आठशे वर्षे जगला. याकाळात त्याला आणखी पुत्र व कन्या झाल्या.
0105050088	आदाम एकंदर 930 वर्षे जगला आणि नंतर त्याचा मृत्यू झाला.
0105060072	शेथ 105 वर्षाचा झाला, तेव्हा त्याला अनोश झाला.
01050700c5	अनोशचा पिता झाल्यावर शेथ 807 वर्षे जगला आणि त्याला आणखी पुत्र व कन्या झाल्या.
0105080085	शेथ एकंदर 912 वर्षे जगला आणि नंतर त्याचा मृत्यू झाला.
0105090083	अनोश नव्वद वर्षाचा झाला तेव्हा त्याला केनान झाला.
01050a00cb	केनानचा पिता झाल्यावर अनोश 815 वर्षे जगला आणि त्याला आणखी पुत्र व कन्या झाल्या.
01050b0088	अनोश एकंदर 905 वर्षे जगला आणि नंतर त्याचा मृत्यू झाला.
01050c0096	केनान सत्तर वर्षाचा झाला तेव्हा तो महलालेलाचा पिता झाला.
01050d00d7	महलालेलाचा पिता झाल्यावर केनान 840 वर्षे जगला आणि त्याला आणखी पुत्र व कन्या झाल्या.
01050e008b	केनान एकंदर 910 वर्षे जगला आणि नंतर त्याचा मृत्यू झाला.
01050f0089	महलालेल 65 वर्षाचा झाला तेव्हा तो यारेदाचा पिता झाला.
01051000d7	यारेदाचा पिता झाल्यावर महलालेल 830 वर्षे जगला आणि त्याला आणखी पुत्र व कन्या झाल्या.
0105110091	महलालेल एकंदर 895 वर्षे जगला आणि नंतर त्याचा मृत्यू झाला.
0105120081	यारेद 162 वर्षाचा झाला तेव्हा तो हनोखाचा पिता झाला.
01051300ce	हनोखाचा पिता झाल्यावर यारेद 800 वर्षे जगला आणि त्याला आणखी पुत्र व कन्या झाल्या.
010514008b	यारेद एकंदर 962 वर्षे जगला आणि नंतर त्याचा मृत्यू झाला.
0105150086	हनोख 65 वर्षाचा झाला तेव्हा तो मथुशेलहाचा पिता झाला.
0105160121	मथुशेलहाचा पिता झाल्यावर हनोख परमेश्वरासोबत विश्वासूपणे 300 वर्षे चालला आणि त्याला आणखी पुत्र व कन्या झाल्या.
010517003e	हनोख एकंदर 365 वर्षे जगला.
01051800ee	हनोख परमेश्वरासोबत विश्वासूपणे चालत असताना तो अदृश्य झाला, कारण परमेश्वराने त्याला नेले.
010519008a	मथुशेलह 187 वर्षाचा झाला तेव्हा तो लामेखाचा पिता झाला.
01051a00dd	लामेखाचा पिता झाल्यानंतर मथुशेलह 782 वर्षे जगला आणि त्याला आणखी पुत्र व कन्या झाल्या.
01051b0091	मथुशेलह एकंदर 969 वर्षे जगला आणि नंतर त्याचा मृत्यू झाला.
01051c0076	लामेख 182 वर्षांचा झाल्यावर त्याला पुत्र झाला.
01051d0147	त्याने त्याचे नाव नोआह असे ठेवले, कारण तो म्हणाला, “शाप दिलेली भूमी कसण्याच्या अवघड कामापासून याहवेह आम्हाला विसावा देतील.”
01051e00c7	नोआहच्या जन्मानंतर लामेख 595 वर्षे जगला आणि त्याला आणखी पुत्र व कन्या झाल्या.
01051f008b	लामेख एकंदर 777 वर्षे जगला आणि नंतर त्याचा मृत्यू झाला.
01052000a1	नोआह 500 वर्षाचा झाला तेव्हा तो शेम, हाम व याफेथ यांचा पिता झाला.
01060100ac	पृथ्वीवर मानवाची संख्या खूप वाढू लागली आणि त्यांना कन्या झाल्या.
010602013c	परमेश्वराच्या पुत्रांनी बघितले की मानवाच्या कन्या सुंदर आहेत; आणि आपल्या आवडीप्रमाणे त्यांनी त्यांच्याशी विवाह केला.
010603015d	तेव्हा याहवेह म्हणाले, “माझा आत्मा मानवासोबत वादविवाद करीत राहणार नाही, कारण ते दैहिक आहेत आणि त्यांचा जीवनकाल एकशेवीस वर्षे असेल.”
0106040212	त्या दिवसात—आणि नंतरच्या काळातही—महाबलाढ्य मानव पृथ्वीवर वास करीत होते, जेव्हा परमेश्वराच्या पुत्रांनी मानवकन्यांशी विवाह केला, त्यांना संतती झाली. तेच जुन्या काळातील समर्थ आणि प्रसिद्ध मानव झाले.
010605013e	पृथ्वीवर मानवामध्ये दुष्टाई खूप वाढलेली आहे आणि त्यांचे विचार आणि कल्पना या सतत दुष्टाईच्याच असतात हे याहवेहने पाहिले.
0106060103	आपण मनुष्य निर्माण केल्याचा याहवेहला पश्चात्ताप झाला आणि त्यांच्या हृदयाला अतोनात वेदना झाल्या.
0106070220	म्हणून याहवेह म्हणाले, “मी निर्माण केलेल्या मानवजातीला पृथ्वीतलावरून नष्ट करेन—त्यांच्यासह पशू, सरपटणारे प्राणी, आकाशातील पक्षी यांनाही नष्ट करेन—कारण त्यांना निर्माण केल्याचा मला पश्चात्ताप होत आहे.”
