2800000006	Methiu
28030700f2	Jon è bajo Pharisithek nane Sadusithek de khowo yi pha wuiiramuii pha ji riig mage shii, ai è ithek shii yao, Nathek phamthek—Nathek ne Hamangkhung-aphuii è lakhung re-è thoh pha lago ji re-è ruang yo bone nathek shii hanyie miyao lei?
280308004d	Nathek de nawaithek layog re-è idoh khed rone doh yi pha jithek rek mage bo.
28030900c7	Nathek de Abraham pha riing re-è giak rone yao ne ji pha lago re-è yo pha anow chid rabo. Gu nathek shii yao. Hamangkhung-aphuii è hìthek pha lubaothek re-è de Abraham pha blang nyarab mua phro.
28030a0095	Thabiu ne hingmuiithek pha iriingthek shii jog pha khriig rek ne ruiijong ro; iwoi wie awoi pha hingmuiithek ne zab chiieg ne bai shii fen muii phro.
28030b00fa	“Gu è nathek shii kho re-è khowo phi srane nathek ne layog khid rone doh yi, jishii gu idoh shii wuiiramuii pha bran ji re-è nathek shii Ragung So nane bai è khowo phi ruii phro. Ai ne gu re-è de boh ro; gu ne ai lakhiathek than sbo de asi ro.
28030c00c0	Ai ne igam shii isug re-è yoyo rek pha dasai ne awai rog shii um ro, ai è awairo phiug shii awai haphuii hà khrab, jishii ai è isug shii ne khuchung de a-iy pha bai shii ziao ruii phro.”
28030d0062	Jipha ishak shii Isu de ai re-è khowo yie pha Galili è thog srane Jordan hà Jon shii wuii thog.
28030e0096	Jishii Jon è ai khani lai yi pha bidiang. “Gu ne na re-è Khowo yie pha um habuii shii,” Jon è yao, “Chiih-è thuh nane gushii wuii ne bey?”
28030f009c	Jishii Isu è aishii yao, “Thuh shii hì è rey yi bo. Chiih-è hì duiine gethek ne Hamangkhung-aphuii è chiid pha ji zab rek mua.” Ji-è Jon è nuii.
28031000cd	Khthiie Isu Khowo yieched ne, ai yi kho è fuang khia. Chiihphado hamangkhung ne aishii hongphi. Chiih-è ai è riig shii Hamangkhung-aphuii ro Ragung ne khu-atham duiine thazam khey ne ai lakhung shii jo.
280311006d	Chiihphado gow yi hamangkhung re-è yao, “Hì ne guro bushun Dufuii ro, hanyie shii gu è nyu pha ji ro.”
280401004c	Chiihphado Ibuii è chuajan yi pha Ragung è Isu shii balimuang hà noh dun.
280402004a	Sawi Inaithek nane ibiuthek nyie de achie pha rai ne, Isu ne chi-iyiy dun.
2804030086	Chiihphado Ibuii è aishii wuii srane yao, “Na Hamangkhung-aphuii pha Dufuii arone, hì pha lubao shii yung srane iweb rey yi bo.”
280404009e	Jishii Isu è chang, “Jigigam shii yao, ‘Tharothamang ne iweb ji è asieng bie, jishii Hamangkhung-aphuii ro zab miyaothek pha miyaogam de chiid ro.’”
280405006c	Chiihphado Ibuii è Isu shii So Rajan pha Jerusalem hà noh dun, aishii Misiahò pha zab è giu shii riu yi,
2804060130	chiih-è aishii yao, “Na Hamangkhung-aphuii pha Dufuii arone, nawai shii buzam chiih mage bo,” Jigigam shii yao, Hamangkhung-aphuii è na chiang shii awai hamangkhliiethek shii yung ruii phro, ithek è nashii awaithek wadthek è khoh ruii phro, jiè naro laikham shii de lubaothek shii akham yi phro.
2804070066	Isu è chang, “Jishii jigigam shii de yao, ‘Nawai Hamangkhung-aphuii Ithong shii achai rabo.’”
280408007c	Chiihphado ibuii è Isu shii bajo giu phiing hà noh srane ithek ro bajobohthek nane sohjambling pha zab nuruiithek riig yi.
280409006d	Ibuii è yao, “Na è gu shii lagiungniing ne misiasia arone.” “Zab hìthek gu na shii phi ruii phro.”
28040a0091	Chiihphado Isu è chang, “Dun dun bo, Sakhathong! Jigigam shii yao, ‘Nawai Ithong, Hamangkhung-aphuii shii ilab rek ne misiasia bie bo!’”
28040b005e	Chiihphado ibuii è Isu shii thoh marui; chiih-è hamangkhliiethek wuii srane aishii nong phi.
28040c004f	Isu è Jon ne phatheg hà chab muii rone yoi mage shii, ai Galili hà wuii dun.
28040d007b	Ai Nazareth hà arai, jimagunde, Zebulun nane Naphthali pha soh Galili khabang pha Khaphernaum thawun hà rai pha wuii dun.
28040e003d	Ji ne chaig Aijaya miyao marui pha ji izai rey yi pha rek ro:
28040f0079	“Zebulun pha soh nane Naphthali pha soh, khamuii pha lumuii hà, gai ithua pha Jordan pha, Gaibranthek pha soh, Galili!
280410008c	Igiia hà rai pha bran de bajoboh muchuang ji doh ruii phro. Hanyie yi iy pha igiia soh shii rai pho shii ne muchuang khilieng ruii phro.”
2804110085	Jipha ishak è Isu awai mua ji jao ne yua: “Nawaithek layog re-è khed bo, nyieliieshii hamangkhung pha Sajathua ne inui sha ro!”
28041200ac	Isu è Galili pha khabang ring shii lua mage shii, ai è ù uapho khuiinothek nyi shii doh, Simon (Phithar rone ho) chiih-è ai ikhuii Andrew yi, chiug re-è ù zum ramuii.
280413005e	Isu è ithek shii yao, “Gu rog shii wuii bo, gu è nasa shii bran zum pha yua phi pha ro.”
2804140050	Khthiie isa de awai sa ro chiugthek thiichiih thoh marui srane ai idoh wuii dun.
28041500b5	Ai ji è wuii dun shii Zebedi ro dufuiithek Jems nane Jon khuiinothek nyi shii doh. Ai de run shii awaisa aphuii Zebedi rog shii chiugthek saro ne rai iang. Isu è ithek shii de ho,
2804160063	chiih-è khthiie ithek de awaisa ro run nane aphuii shii thoh marui, chiih-è ai rog shii wuii dun.
28041700ad	Isu è zab pha Galili hà wuii ne, Jewish misiahòthek shii yua, Sajathua pha chiang re-è Mua Wie ji yao, ne hanyie shii miiriie nane radthek um pha bran shii gang rek phi.
2804180112	Ji è rek phi pha airo muathek chiang ne Syria pha zab soh shii yoi dun. Ji-è hanyie radpho, zab pha miiriie è diigpho nane nyie arek muluii pho shii: Ibuiithek um pha bran; chiih-è lai khi-ègthek, chiih-è siugpho zab aishii nohthog, chiih-è ai è ithek shii gang phi.
2804190084	Galili re-è chiih-è thawunthek sua re-è, chiih-è Jerusalem, Juda, Jordan pha gai soh phothek de bajo ibrogthek de idoh luagieng.
280501007d	Isu è ibrogthek shii riig srane phiingduii hà wuii dun, thiisa hà ai ne dug dun. Ai samoythek ne aishii shan ne khrab dun,
2805020022	chiih-è ai jao ne ithek shii yua:
2805030080	“Hanyie è ithek ne ragung shii dusho rone thieg pho ne sang ruii phro; hamangkhung pha Sajathua ne ithek ro rey ruii phro!”
2805040063	“Hanyie è duhug rek pho ne sang ro; Hamangkhung-aphuii è nathek shii ne ichad phi ruii phro!”
280505006c	Hanyie jum pho ne sang ruii phro; nathek shii ne Hamangkhung-aphuii è nyie sbang rek pha ji choi ruii phro!
2805060099	Hanyie è Hamangkhung-aphuii è chiid pha zab re-è boh yang pha ji rek pho ne sang ruii phro; “Hamangkhung-aphuii è chodang pha ley phi ruii phro!”
2805070072	“Hanyie è gai shii bushun rek pho ne sang ruii phro; Hamangkhung-aphuii è nathek shii bushun rek ruii phro!”
2805080062	“Hanyie lubu igang um pho ne sang ruii phro; nathek ne Hamangkhung-aphuii shii doh ruii phro!”
280509007d	“Hanyie è liijiing pha blia rek pho ne sang ruii phro; Hamangkhung-aphuii è nathek shii de awai ani rone ho ruii phro!”
28050a00a1	“Hanyie è Hamangkhung-aphuii è nyie chiid pha ji rek pha chiang re-è diigkhui pho ne sang ruii phro; hamangkhung pha Sajathua ne nathek ro rey ruii phro!”
28050b00bf	“Nathek hanyie shii bran è makhakriing ne nathek shii diigkhui phi chiih-è zab awie pha khlamthek shuang yao ruii mage shii nathek ne sang ro; nyieliieshii nathek ne guro samoythek ro.”
28050c00a9	Ji-è sang ne lised bo, chiih-è bajoboh lasen ne hamangkhung hà nathek shii ruiijong phi ro. Ji duiine nathek è ibi sieng pha chaigthek shii de ithek è diigkhui rek.
28050d00ef	“Nathek ne zab tharothamang ro log pha suruii duiine ro; Jishii, suruii phieng ji shan dun arone, suruii phieng rab din pha lumuii ne oi sha ro. Ji ne blia adunmey pha rey ruii phro, ji è hì ne fen muii srane branthek è dia ruii phro.
28050e0064	“Nathek ne zab pha sohjambling pha muchuang duiine ro. Phiingduii shii rung pha rajan ne a-ug mua.
28050f00b9	Hanyie magunde muchuangthek pha ichuang ne sugong bucho shii aruii phro; ji pha chiang shii ai è ichuang shii ne bunthruak hà ruii ne, hanyie hò shii doh yi ne zab shii chuangphi ro.
28051000b5	Ji duiine nathek ro muchuang de branthek ibi shii chuang phi chid phro, jiè nathek ne nathek è rek pha wie bliathek riig srane hamangkhung hà nathek aphuii shii chiong ruii phro.
28051100b5	“Gu ne Moses ro Iphey nane chaigthek ro muyuathek shii chui pha wuii rone anow rabo. Gu ne nathek rog shii chui pha awuii ro, jishii nathek muyuathek shii izai rey yi pha wuii ro.
28051200b4	Nowkhlei hamangkhung nane sohnyiak nya-um ba shii ne Iphey shii zab zey ne um pha igam ìu è ìu jia de chiih-è ji pha manathek ajong shii ne nathek rog shii ruang arek mua phro.
280513011d	Ji-è chiihphado, hanyie è ìu è ìu muyungthek anuii ji duiine gaithek shii yua pha anuii pha rek pho ne, hamangkhung pha Sajathua shii de zab è ìu rey dun phro. Chiih-è hanyie è Iphey ji nuii ne gai shii de ji duiine yua pho shii ne hamangkhung Sajathua shii boh rey ruii phro.
28051400d4	Gu nathek shii yao, chiihphado, ithek ne Iphey yua pha masdothek nane pharisithek è Hamangkhung-aphuii è nyie chiid pha ji rek phi pha ji re-è izai migi rek arone, hamangkhung pha Sajathua shii akhud mua phro.
280515009a	“Nathek ne yoijong branthek è buyo yao pha ji ne, ‘Sgoh arek rabo, hanyie magunde ji rek pho shii ne chua ruii phro, limiang shii jong han chid phro.
2805160148	Jishii thuh gu è nathek shii yao: Nathek è nawaithek khuiino shii lijieg noh arone chai ruii phro, nathek è nawaithek khuiino shii adunmey ro è yao arone!’ Limiang moe hà noh ruii phro, chiih-è nathek è nawaithek khuiino shii gun-achid pha bran bi-ìe rone yao arone ithek shii de thumuluii pha bai hà dun pha buii ro.
280517009c	Ji-è khuchung magunde nathek è Hamangkhung-aphuii sraibao shii lasen zid pha rek ramuii shii nathek ikhuii shii nyie shuang um bamuii rone nowkhlei arone,
28051800d5	nawaithek ro lasen ji yi thiichiih sraibao ibi shii ruii srane, khthiie wuii ne nawaithek ikhuii rog shii liijiing rek bi rai bo, chiih-è chiihphado idoh wuii ne nathek ro lasen ji Hamangkhung-aphuii shii phi bo.
280519015b	Yang ne nathek shii hanyie magunde na shuang rek ne limiang moe hà noh dun arone nawaithek rek mua pha ji rek srane chua bsa hà anow ba pha ibi shii lumuii hà nawaithek miyao ò rai pha rek bo. Ji asi shii ne ai è nathek shii chua pho hà noh srane, chiih-è chua pho è magashaig shii phi mua, chiih-è magashaig thek è phatheg hà chab mua.
28051a005d	Gu nathek shii yao, nathek è zab bang aphi sbo shii ne nathek ne sa phatheg hà raidun phro.
28051b0038	“Nathek de yoi hì ne yaojong, ‘Siulao arek rabo.’
28051c0098	Jishii thuh gu nathek shii yao: Hanyie è hò-amuii shii awie pha riig srane bimi ji shii ong arone ai lubu iliing shii hò-amuii rog siulao rekjong ro.
28051d00c4	Ji-è nathek phazoi pha mieg è nathek shii layog riig noh arone, khia srane fen muii bo! Naro siu zab shii thumuluii pha bai hà fen yi pha ji re-è ne siu pha ibam jia oidun pha ji wieliak phro.
28051e00b7	Nathek ro phazoi wad è nathek shii layog rek noh arone, laig srane fen muii bo! Nathek ro zab siu shii thumuluii hà dun yi pha rek pha ji re-è ne wad jia oi pha ji wieliak ba phro.
28051f0060	“Hì de yao jong, hanyiejia è awai yiy shii che shii bimi shii ne che pha siog zey ne phi bo.
2805200106	Jishii gu è nathek shii yao: Gey è awai yiy shii che arone, bimi yi siulao pha nyie ichiig oi pha aishii che muii arone, chiih-è ji pha bimi è gai shii gey magunde siulao ne ai è rek yi ro; chiih-è bimi ji è hanyie shii gey ji pha bufuii de siulao rek ro.
28052100a1	“Nathek de buyo pha branthek miyao marui ji yoi jong, ‘nawaithek sbang achui rabo, jishii nathek è Ithong shii rek phi pha nyie surua thak pha ji rek bo.’
28052200a4	Jishii thuh gu è nathek shii yao: Nathek è sbang rek shii surua athak rabo. Hamangkhung pha de surua athak rabo, nyieliieshii jine Hamangkhung-aphuii ro biang ro;
28052300a0	sohnyiak pha de athak rabo, nyieliieshii ji pha sohnyiak de airo lai thung pha ithua ro; Jerusalem è de athak rabo, nyieliieshii ji de boh Saja ro rajan ro.”
280524007c	Nawaithek khrug pha de surua athak rabo, nyieliieshii nathek ne nawaithek khaziang jia shii de imo dinne isei arab mua phro.
280525006a	Oh arone oh rone yao bo, Asi arone asi rone yao bie bo—Hì è muna yao arone Awie Jia è thog ruii phro.
2805260065	Nathek è hì yao pha ji ne yoijong, mieg chiang mieg yie bo, chiih-è shinyin chiang shinyin yie bo.
28052700c8	Jishii thuh gu nathek shii yao: “Hanyie magunde nashii ichiig rek noh pha ji shii idoh arog rabo. Hanyiejia è na phazoi pha mizia hà phey arone, aishii ne naro phawig pha mizia shii de phey yi bo.
2805280075	Chiih-è hanyie è nathek phadiig shii riao pha limiang moe hà noh dun arone, nathek rugud de aishii nya riao yi bo.
2805290080	Hanyie è nathek shii ai miihan han ne labiang jia thog pha bangchiie lua yi pha noh dun arone, labiang nyi thog pha han phi bo.
28052a0088	Hanyiejia magunde nathek shii nyie magunde lia ruii arone, aishii ne phi muii bo; hanyiejia è nyie chui yang ne de, aishii chui phi bo.
28052b0076	“Nathek ne yoi hì ne yaojong pha ji ne, ‘nawai ijakthek shii miie mage bo, nawaithek mak shii khiijai mage bo.’
28052c0072	Jishii gu nathek shii yao: nawaithek ro shuangthek shii miie srane nathek shii hanyie è diigkhui pho shii sia bo,
28052d00d4	jiè ne nathek ne hamangkhung pha Aphuii anithek rey mua ruii phro. Nyieliieshii ai è hasiang ne awie pha nane wie branthek shii chuang phi, chiih-è hanyie wie rek ne de hanyie è awie pha rek ne de haphie phi.
28052e009b	Nathek è nawaithek miie pha ji shii miie bie arone nyie rek ne Hamangkhung-aphuii è nathek shii lasen phi chid phlei? Muthan mijin thanpho rangde ji rek!
28052f0071	Chiih-è nathek ne nawaithek ijakthek shii yao bie arone nathek è nyie rek ge lei? Jine migi arek pho de ji rek.
2805300053	Hamangkhung hà Aphuii ne zab shii khriig rek pha duiine—Nathek ne khriig rek bo.
28060100b9	“Nowbthan bo, nathek è rek pha giang blia ne branthek shii doh yi pha hong ne arek rabo. Nathek ji è hong ne rek arone, hamangkhung hà Aphuii re-è nyie de lasen amua ruii phro.”
280602015e	“Ji-è khuchung magunde nathek è dusho bran shii nyiemagunde phi mage shii, Lawasdaithek è misiasia pha hòthek nane lumuiithek shii rek pha duiine, doh yi pha arek chid rabo. Nathek ne jithek rek pha ji re-è branthek è nathek shii chiong yi pha ji rek ro.” Gu è nathek shii yao: Ithek ne awaithek è rek pha chiang ne lasen ley mua jong ro.
2806030071	Khuchung magunde nathek è dushothek shii nong phi arone, nathek ne nawaithek ijakthek shii de ji athieg yi rabo.
280604007f	Chiihphado hì ne ug pha miyao ro. Chiih-è na è nyie ug ne rek pha ji ne na Aphuii, hanyie è riig srane lasen phi ruii phro.
28060500e4	“Nathek è sia mage shii, lawasdaithek duiine asia rabo! Ithek ne misiasia pha hòthek nane lumuii pha iring hà riu ne sia pha ji ne miie, jiè zab ne nathek shii doh mua. Gu è nathek shii yao: ‘Ithek ne zab ley mua ro.’
28060600f7	Jishii nathek è sia mage shii, nawaithek ùgud hà dun ne, habin bin muii bo, chiih-è nawaithek Aphuii shii sia mage bo, hanyie ne adoh ro. Chiih-è Aphuii hanyie ne nathek è ug ne nyie rek pha ji riig srane, nathek shii lasen phi ruii phro.”
28060700ce	Nathek è sia mage shii, migi-arekpho è rek pha duiine, asi pha miyaogamthek ayao rabo, nyieliieshii ithek bajo phiang sia pha ji è ithek shii ne hamangkhung-aphuiithek è ithek misia yoi phi rone now ro.
280608007c	Ithek duiine arek rabo. Nathek pha Aphuii è nathek nyie chiid pha ji è nathek è aishii alia ba pha ibi shii thiegjong ro.
2806090079	Hì ne, chiihphado, Nathek khi-èrek ne sia chiid pha ji ro: Hamangkhung pha gathek Aphuii: Naro ibeng So ne ilab rey bo;
28060a0066	naro Sajathua ne thog yi bo; hamangkhung hà um pha naro yang ji ne ichiih sohnyiak shii de rey yi bo.
28060b002d	Sudoh inai gathek chiid pha michie ji phi bo.
28060c0074	Gathek shii ithek è rek pha ichiigthek shii khungphi pha duiine, gathek è rek pha ichiigthek shii de khung phi bo.
28060d0053	Gathek shii buii achai yi rabo, chiih-è, gathek shii Awie Jia è ragia rek phi bo.
28060e008d	“Nathek è gai è nathek shii rek pha ichiigthek shii khung phi arone, hamangkhung hà um pha Aphuii de nathek shii de khung phi ruii phro.
28060f006c	Jishii nathek è gai shii akhung phi arone, nathek Aphuii de nathek ichiigthek shii de akhung phi ruii phro.
2806100117	“Chiih-è nathek minyie nyie shii, lawasdaithek duiine nathek mizia shii duhug rek ne adoh yi rabo. Ithek ne ji è rek pha ji è branthek è nathek ne minyie nyie ramuii rone thieg yi pha ji rek ro. Gu è nathek shii izai yao, ithek ne awaithek è rek pha lasen ley muajong ro.
280611005d	Khuchung magunde nathek è minyie nyie pha wuii shii mieg mi ne khaziangthek chug ne wuii bo,
28061200e1	jiè gai branthek è nathek ne minyie nyie ramuii rone athieg phro—nathek Aphuii, hanyie ne adoh pha ji, ne thieg bie ro. Chiih-è nathek Aphuii, hanyie nathek ro ug ne rek pha ji riig ne nathek shii lasen phi ruii phro.”
280613008c	“Khi hà phu-ungthek nane thakhsem è chie pha nane riaopho è chuakbraig ne godun pha sohnyiak shii nawai bangnuruii khrab ne aruii rabo.
28061400ad	Ji pha chiang è ne nawai shii hamangkhung hà nuruii khrab mage bo, thiisa hà ne phu-ung nane thagsemthek de achie mua phro, chiih-è riaophothek de riao ne ayie mua phro.
2806150062	Nyieliieshii, nathek ro nuruii khi hà um pha ji hà nathek lubu de idang sha hà um ruii phro.”
280616006b	“Mieg ne siu pha muchuang duiine ro. Nathek mieg wie arone, nathek siu shii de muchuang è ley ruii phro;
28061700aa	Jishii nathek ro mieg awie arone, nathek siuthek de igiia hà rey ruii phro. Ji-è, nathek shii muchuang um pha ji igiia arone, ji pha igiia um pha ji ne buii rey dun!”
28061800f6	“Hanyie magunde ithong nyi ro khiao arey mua phro; ai ne jia shii ne khiijai chiih-è, gai shii miie; ai ne jia shii ilab rek ruii phro, jia shii ibid arek phro. Ji-è nathek de Hamangkhung-aphuii nane bang pha blia ne ò shii arek mua phro.”
28061900fc	Ji-è, hìthek ne gu è nathek shii yao pha ji ro; nathek è ichiih sieng ne rai shii nyie chie niing, dinne, nathek siu shii yung guii pha ji now ne samdiig arek chid rabo. Michie re-è ne sieng pha ji boh ba asi bey? Yung ji è de siu ji boh asi bey?
28061a00e0	Fuiithek shii riig mage bo: ithek è iriie de ahai, yamiing de achiig, iwoi de thazan hà akhrab jimagunde hamangkhung pha Aphuii è ithek shii phi ne gayiig rek ro! Nathek ne jithek pha fuii è de bajo boh branthek asi bey?
28061b0048	Nathek ji pha chiang shii samdiig ne ìujia phiang sieng ne rai mua bey?
28061c009c	Yung chiang è nyie rek ne samdiig phlei? Jabiing pha ibuathek sieng pha ji shii riig mage bo; ithek ne blia de arek, awaithek guii pha yungthek de arab ro.
28061d0086	Jishii, gu è nathek shii yao, Solomon Saja de awairo bajo nuruii um magunde ibuathek re-è jia duiine khie pha yungthek aguii mua ro.
28061e00eb	Sudoh ichiih um pha saing ne, thimiang ne oi phro, ji ne bai shii fu ruii phro—Jipha jabiing pha saing shii ne Hamangkhung-aphuii è guii phi ro. Ji re-è de bajo wie nathek shii nyie rek ne aguii phi phlei? Nathek ro migi ìujia ro!
