2800000003	Mat
28020b00d2	Ko lyǝ a kwilǝ me ane laka kena kame ka iini kai Mariya, nane girwǝ aa ne eze kai makili ma Ashili. Zaa nyimi nane pǝri majeketa ma emate mane ane nya kai magogoro, mazenare, madangku ma lubban kaa ma omur.
28020c0082	Aza obena Obere Ashili wa windi ne toto a nyimi tolau na tana ne kuri ara Hiridus ne, nane tare orona yende a kurǝ a makeke mane.
28020d00f6	Malooka ana orosa me ne ale, otoma Ashili o dera lepung wa suri a Yusupu a tolau. Awa bekaana, “Era o ana kena kame ka iini kai o alea wogo a Masar. Oo cikǝ a saname seena ba kone eyapa mi, aza obena Hiridus ya gera kena kame kawa wong kai.”
28020e004b	Na Yusupu ere a lelyaare leme, nawa ana kena kame ka iini kai a alea Masar,
28020f009c	arakanamea ne cikǝ ne a ale ogwǝ o Hiridus. Nyimi apanza angmǝ Ashili ka a beke o ngmǝ otoma ai o lepung na, “Ma rare kena kang ka ka suri a Masar.”
28021000f4	Nangka Hiridus wa laka obena ana orosa ne kala wai a izi, na o nyong caro wai maleu. Nawa ote na a wongze pate ayana a batebate alome ka neya Betalami ka oringǝri o ai, aa deya senai se leere aa jǝpi, a akap nangka ne kone ara ana orosa name.
2802110034	Awere namea angmǝ Ashili ka Irimiya beke a pena na,
280212009a	“A kona lengmelo a Rama, lengmelo le okona oburǝ ka oruuzi a jǝng, Rahila ya ruuzi azaa ayana kai aka nyana kona okoo ogwǝ, aza obena a wongza ne.”
280213005a	Malooka Hiridus wa gbwi, na otoma Ashili o dera lepung deya a Yusupu a nyimi tolau a Masar
280214007d	awa bekaana, “Era, ka o ana kena ka iini kai o ale a makeke ma Isrela, andaaka neya yeme o wongnga kena kame ne gbwizǝ.”
2802150047	Nawa ere, aa wa ana kena kame ka iini kai aa wa ale a makeke ma Isrela.
28021600c6	Nangka wa kone obena oyana o Hiridus, Arkilayus wa zala togomo a bengmǝ ba ate wai, nawa kone boome bo ale a saname. Azaa obena a windi wai teto a nyimi tolau, nawa dare awa ale a makeke ma Galili,
28021700b2	Wa ale nawa cikǝ a kapeng ka yende ka a rareze kai na Nazarat. Adorana apanza angmǝ Ashili ka ana obeya a ngmǝ ka mawo ma Ashili ne beke, “Ayo rara kai karomo ka Nazarat.”
2803010061	A nyimi tomore tonname a Yohana o batisma wa suri awa ya zoola a nyimi wake o makeke ma Yahudiya,
2803020044	aa wa beyana, “Kurǝ na Ashili, obena togomo te shili te amara.”
28030300ae	Ondoonaa Ishaya ondo beya angmǝ ka mawo ma Ashili wa beke angmǝ azaa wai na: “Lengmelo ya rara owake ale beya na, ‘Babara Ateokora orona, babara na marona ma wai.’”
280304008b	A soo madibi ma Yohana ka sezǝru se orongkoomea, awa tera o tinǝ owai ka lejǝng le ongma. A epaolya wai eya ekangdang ka mato ma esheng.
2803050071	Na aromo a Urushalima, kaa a makeke ma Yahudiya a pate, kaa a pate ana makeke ma Obeno Urdung ne deese ara a kai,
280306003a	ane beeze madinǝ mane, aa wa ezene obatisma Obeno Urdung.
28030700cb	Pate ka nyimi nangka Yohana wa laka maParisa ka maSadukiya araaka waya eza aromo obatisma, nawa bekaa ne na, “Ying okurkǝnǝng ewa eburu! Mana wa zoola aying na esong o gǝǝzǝ o Ashili ka waya deya?
280308003e	Ezana epaaka eyo ale akap ka ewore obena e kurǝ Ashili aying.
280309008e	Kangza tane ole begeshe na, ‘Ibraheng waya ate aro ne.’ Ang bele ying na, Ashili aye ka obare o sǝǝrǝ Ibraheng ayana a nyimi a caleena.
28030a007f	A samba o eke betemo aa madǝrǝ ma o mati, kangza pate uti ka wata ngmengza ayana a rerene, ayo genda wai ka tare a nyimi ola.
28030b00cf	“Mi ang ezeze ying o batisma ka manyia o wore o kurǝ a Ashili aying. Malo ong ondo ya deya kawa kalang o bare, tekakau te wai ma era anta bare ang monte ne. Wayo eza ying o batisma ka Obere Ashili ka ola.
28030c0091	Waya onta upkwi owai a taara, aa wa keleke epaolya wai, aa wa kare o eyo me a nyimi lebengga, aa wa ese masuni mame ka ola ka wata lambuzu ne.”
28030d0061	A were name na Yeso deya ka suri a Galili a ale a Urdung ara Yohana adorana wa eze kai o batisma.
28030e0072	Na Yohana yeme o nara kai, awa bekaana, “Mi ang gwara obekaana bo oyeng o batisma, eyaaka bo ba deya ara ang?”
28030f00b2	Na Yeso kabare wai na, “Baya wa itǝ nyimi nanname, aza obena nyimi a kala orera ka te panza epa e sangsang eeka Ashili ya yeme me.” Na Yohana kabare, aa wa ye kai o batisma.
28031000a1	Malo o eza Yeso o batisma, ka osurǝ kai a nyimi manyi naname, a saseya na zaa shili banggalanu, aka laka Obere o Ashili a jǝpi na kagoma, aka jǝpi ukpwei kai.
280311006e	Na kone lengmelo a surǝ zaa shili na, “Kannaa kena kang, kamea ang yeme, kamea ang kone oleba kai maleu.”
280401004c	Na Obere Ashili tare kaa Yeso a ale owake ka ogomo o bere o buru kedeya kai.
280402004e	Aka meke ongmǝ o tomore tuuru naaze, lelyaare ka letereme, na ekomo meke kai.
2804030070	Na ogomo obere o buru deya kai awa bekaana, “Boa baaya Kena ka Ashili, ote lecale leena ka le itǝ oborode.”
2804040086	Na Yeso kabare na, “Angmǝ Ashili a bekaana, “Epaolya belle ta ongtaza oromo ne, seena ka koonang angmǝ ka susi ongmǝ Ashili.”
280405007b	Na ogomo o bere oburu, ale ka kai a Urushalima apeng a odera madinǝ, nawa zalara kai araa o kala bezaati a akwilǝ Ashili.
28040600b1	Na wa bena, “Bo kena ka Ashili kaaza, cangko ka otaru a deze, obena a wele na, ‘Wayo ote atoma wai a kazo o, kane woboo ka taara tene nangka oto jukǝ tobona to ocale ne.”
2804070051	Na Yeso kabare wai na, “A wele na, ‘Tana okedeya Ateokora Ashili au ne.’”
280408006e	Kangza na ogomo obere oburu ale ka kai oyara o zaati awa wore kai pate togomo te lerambo leena ka o gongha te.
280409005e	Awa kang bena, “Pate tenna eyang nyau, ba girwǝ a begeshe beng o ezeng makili ma Ashili.”
28040a0083	Na Yeso bekaa wai na, “Era arakaana, Shetan! A wele na, ‘Eza Ashili Ateokora au makili ma ai, kangza aiya belle oyo saba.’”
28040b005b	Na ogomo obere o buru ale awa baya kai, na atoma Ashili o dera lepung de nane kangkama kai.
28040c005e	Nangka Yeso ka kone obena a meke Yohana na apate akwilǝ andaleme, naka ere naka ale a Galili.
28040d007c	Ko baya Nazarat, naka ale a Kaparnahum ka ocikǝ, apeng amea aya bengmǝ bo beno, a bekazo be makeke ma Zebulung ka Naptali,
28040e004a	adorana a panza epaaka ondo obeya angmǝ ka mawo ma Ashili Ishaya wa beke,
28040f0090	“A makeke ma Zebulung ka ma Naptali, orona o alea obeno ogong a alea bekazo be obeno Urdung, a makeke ma Galili araaka a worme acake cikǝ ne,
2804100077	aromo kane cikǝ amaring, ne laka masanto ma gong, ana ocikǝ makeke ma o ululu o gbwǝ kangza, masanto ma tara ane.”
280411006b	O era were name, na Yeso bore ozoola aka beyaana, “Kurǝ na Ashili aza obena togomo te shili te amara.”
28041200d4	Yeso kaya yenga edǝki o beno gong o Galili naname, naka laka arone a leere, Siman ka a rare wai na Biturusu ka orone owai Andarawus. Neya tara majara ma o meese ekwala obeno, obena ogole one o meese ekwala waze.
2804130060	Na Yeso bekaane na, “Deyana ka etareng, eyang ote ying ka e itǝ ana o deesa ka aromo a mi.”
280414002e	A saseya nane baya majara mane aa ne tare kai.
28041500c8	Ko lya izi a baate, naka laka arone leere kangza, Yakubu kena ka Zabadi, ka orone kai Yohana. Neya nyimi o onggo o manyi ka ate ane Zabadi, aneya babara majara mane ma o meese ekwala. Na Yeso rare ne.
2804160043	A saseya nane baya o onggo o manyi mame ka ate ane, aa ne tare kai.
28041700dc	Yeso ka ringgari pate makeke ma Galili, aka baale a nyimi odandaro o gwarzanang maYahuda, aka zoole aa ne aza angmǝ a lebo a togomo te Ashili. Kangza aaka womza pate makono ka odera o kona zake ka aromo ya zitǝ ka mai.
280418011e	Na orooka azaa kai ale a kurǝwǝ a nyimi makeke ma Suriya pate. Na aromo casa kai pate andaaka neya kono ka andaaka neya zitǝ ka kombela makono, ka ana o kona o poba a jǝng, andaaka obere o buru wa taba ne, ana letaranggi, andaaka apung ane aa gbwǝ a sara yende, pate naka womza ne.
280419008d	Na aromo a cake ne tare kai, kane suri a Galili, ka ana o surǝ a Dekapolis, ka Urushalima, ka makeke ma Yahudiya, a ale cakate obeno Urdung.
2805010067	Nangka Yeso ka laka aromo ane kurkǝnǝng, naka zale oyara aa ka cikǝ a saname. Na atoma kai deya kai,
2805020018	aka bore o baala one na.
2805030071	“Ana okona olebaa aromo aaka ne rose o sawa one a nyimi o tare Ashili, aza o bena togomo te shili taate nea te.
2805040036	Ana okona oleba ana o caro anyong, ayo nata ne anyong.
2805050041	Ana okona olebaa ana o nata ukpwei, lerambo leena yo itǝ lalene.
2805060057	Ana okona olebaa andaaka neya kona ekomo ka lewe le cikǝ o sangsang, obena neyo tiyǝ.
2805070042	Ana okona olebaa andaaka ne kone egonegone, ayo wore ne egonegone.
280508004e	Ana okona olebaa andaaka neya sangsang a nyimia nyong, obena neyo laka Ashili.
2805090054	Ana okona olebaa andaaka ne gere o cikǝ o cammo, obena ayo rara ne na ayana Ashili.
28050a005d	Ana okona olebaa andaaka a nyana ne azaa be sangsang bene, obena togomo te shili taa tene te.
28050b008d	Ana okona olebaa ying awere aka aromo ne eske ying, ane nyalang ka ying ane kang beya kombela rendaza ma buru aza oying, obena ying e tareng.
28050c00a3	Konana oleba e zante ajǝng, o bena bengmǝ bee ying yo gongha aa cak azaa shili, nyimia aromome ne gǝǝzǝ ana obeya angmǝ ka mawo ma Ashili kane kaana ying.”
28050d009b	Yingnga ogalu makeke maana. A ogalu wa arnang ka olento owai, eya ayo ya ka wa kang olento? Wa itǝ wata kang ya ka edang ne, soona a oke wai a itǝzǝ ne.
28050e0050	Yingnga masanto ma lerambo. Apeng aka a sowa ai azaa ka zalo, a era ta baasa ne.
28050f0099	Nyimi a aromo ne era neta diki beru be masanto aa ne pate be ka oso ne. Seena eke be ara azaati o eese be, nangka beyo nya pate aromo akwilǝ me masanto.
2805100098	Nyimi a kangza bayana ee itǝ ana masanto a aromo, adorana nee laka teweno teying te rere ka eya ezame, aa ne sabe Ate aying ooka waya nyimi azaa shili.
280511008d	Tane laka na ma deya kang dinggi makili ma Mosa ka ewela ana obeya angmǝ ka mawo ma Ashili. Anta ma deya kang dinggi ne soona ang panza mai.
280512008c	Eyang dongdong bele oying, azaa shili ka makeke maana yo maro, otengke o baate ewela makili ma Mosa wato maro ne, seeka a panza ekeeya apat.
2805130130	A zaa nyimi pate ondooka wa cakate o yende o kala a bebaate a nyimi makili ma Ashili maana, aa wa baale ana ondo na neye nyimi, ayo beka ondo me na wa kala be baate a nyimia togomo te o zaa shili. Ondooka wa tare mai kangza aa wa baale ana ondo o tare o mai, ayo rara wai na ondo ogong a togomo te shili.
2805140089	Eyang baalo ying eta kala ana obaala angmǝ ka Ashili anya Mosa ka maParisa aa eza epa e sangsang ne, eto lyǝ a togomo te ozaa shili ne.
2805150072	“E kone obena a beka aromo ko rabo na, ‘Tano wong ondo ne, pate ondooka wa wongngha ondo, ayo gǝǝzǝ wai.’
28051600e8	Mi eyang bele oying, ondooka wa munggi ka arone wai, ayo gǝǝzǝ wai. Ondooka wa rare arone wai na, eta ka edang ne, ayo ale ka wai ara o cora angmǝ. Komana kangza wa rare arone wai na, eta ka edang ne, wa itǝ kap ka akwilǝ ola.
280517008e	“Nyimia kangza, baya nya Ashili eyapa a nyimi akwilǝ ai ara o esaza Ashili mapapa ma owaze, o ringtǝ o bena arone au neye ka bo a lenyong,
2805180092	baya epaaka oya nya Ashili a ting ara o esaza Ashili mapapa mo waze. Bora ka o ale ka o babare kane, o ama o de ka onya Ashili epaaka baaya nyame.
28051900fe	Ondo wa ale ka bo ara o cora angmǝ, yangkanna a saseya ka ebabare ka wai e tata o orona o ale zongka e dukǝ. Bata ya nyimi ne, wayo gwaarau ka ondoo cora angmǝ, aa ondoo cora angmǝ kangza wayo gwaarau ka ana o tesa geza ka a pateo a akwilǝ andaleme.
28051a005c	Ang dongdong bele o epeng, zongka o sǝǝrǝu arakaname, seena ba are pate emate eeka ataro.
28051b0030	“Ba kone a bekaana, ‘Tana o eze leyau ne.’
28051c0088	Eyang beya ying na, pate ondooka wa gonta ondaaye, kawa kone o eza leyau ka wai, wa samba o eza me ka wai naname a nyimi lenyong le wai.
28051d0091	Liizi le oree leo leeyo ote ka o rizi, lopa le ka o pere. Mara o dere sara yende a lepung leo ko bena a tare pate lepung leo a nyimi akwilǝ ola.
28051e0088	O ara oree wa ote ka o rizi, core wai ka o pere. Mara o dere sara yende a lepung leo ko bena a tare pate lepung leo a nyimi akwilǝ ola.
28051f005f	“Akang samba obena, ‘Ondooka wa pere ondaaye wai, awa dongdong nya wai ewela o pere o awai.
28052000ad	Aa maa bekaa ying na pate ondooka wa pere ondaaye wai, aa wata wa meke wai ka leyau ne, wa ote wai orona o leyau naname, kangza pate ondooka wa ana wai, wa eza leyau naname.
280521007f	“Kangza, ekone a samba o bekea aromo ko rabo na, ‘Tana o tono a rendaza ne, o eze epaaka ba tono ne aa begeshe Ateokora.’
280522006a	Mi eyang beya yingna, tana e tono dakememe ne, ka azaa shili, obena arakanamea lǝdǝngdǝ le Ashili zene,
2805230076	nyimia tane tono ka adeze ne, arakaname Ashili eeshe tobona te ai ne, koona ka Urushalima obena aya apeng ogomo ogong.
280524006e	Kangza tana otono ka ukpwei o ne, azaa obena ba era ota ote lepkwai le yende kale itǝ leepeng koona leebo ne.
280525006d	Pate epaaka wa gwara o beke belle eya ‘Eeye’ koona ‘Aa,’ eyapa e kala nyimi, e surea ara ondoo burua.
280526005c	“E kone a samba o bekaa me na, ‘Liizi a bengmǝ be liizi, a liini a bengmǝ be liini.’
2805270088	Na mi eyang beya ying na, tana enyane ondoo eza oying epa eburu ne. Ondo wa tabau a letamo lo ore wanggare wai lo guri kawa tabe kangza.
2805280059	Ondo wa ale ka bo ara o cora angmǝ ka wa jeke odibi o, nya wai ulǝ o urnǝzǝ o kangza.
280529004d	A ondo wa oteu na o eze teweno te omele yende, o ale ka wai o mamele maleere.
28052a005d	Ondo wa bosa eyapa abo, o nya wai. Ondo kangza wa deya aa kope eyapa abo, tana o nare wai ne.
28052b005f	“E kone a samba o bekaa na, ‘Yeme ondooka waya ating o, o nyane ondooka wata yeme oo ne.’
28052c0064	A mi eyang beya aying na, yeme na ana o nyana oying e bosazana Ashili azaa andaaka ne gǝǝzǝ ying,
28052d00bc	adorana e itǝ ayana Ate aying o zaa shili. Ondooka wa oteze ongme ka wa ye masanto ara ana edang kaa ana o dera edang, awa kang deesa ka olyi ara ana nyong a sangsang ka ana nyong a buru.
28052e006b	Ba yeme ana o yeme owa belle, aya taasa o ka eya? Ana o eesa emate makeke kaa ana madinǝ, nyimia ne ezeze.
28052f006b	Ba beeza aromo au okoo belle, eya o ezeze erere ke kala ena ondo? Andaame maYahuda taza ne nyimia ne ezeze.
2805300049	Azaa nyimi, itǝ na ana edang nangka Ate aying o zaa shili waye ka edang.
2806010090	“Ezana a sauwo tana ogole oying orere wa itǝ ogongta a yizi ne. Azaa obena e eza nyimi, eto cǝ o taasa o woma araa Ate aying o zaa shili ne.
28060200ed	“Nyimia baaya nya ana odera, tana o ara lengmelo ajǝng ka komana kone ne, ana o ara ukpwei ezeze nyimi odandaro o gwarzanang maYahuda ka azaa marona adora aromo sabe ne. Eyang dongdong bele oying, ne samba ocǝ o taasa o woma one pat.
280603005d	Aa bayaa nya ondo odera eyapa, tana o baya o ara oguri wa rose epaaka o ara ore ya eza me ne,
2806040072	adorana nyaza oying itǝ epa esuk. Arakaname Ate aying, ka wa gongte epaaka aya ezaa me aa asuk, wayo taasau akap.
28060500f5	“Aa baaya beya angmǝ ka Ashili, tana oye na ana o ara ukpwei ne, ne yeme o beya angmǝ ka Ashili a itǝ a madandaro ma ogwarzanang maYahuda ka edǝki marona ka aromo laka ne. Eyang dongdong bele oying epeng, ne samba o emba o taasa one a pat.
28060600b2	Nyimia waaza, baya beya angmǝ ka Ashili, ale a nyimi odo o, pate abuudu me o beye angmǝ ka Ate au aaka ata gonta ai ne, aa Ate au ka agonte pate epaaka a eze a suk, ayo taasau.
2806070092	“A eeya beya angmǝ ka Ashili, tana wa eweo na aworme ka neta rosa Ashili ne, andaame neya gonta na ne beya angmǝ a ewo waya yo ote ka kone ne.
280608004d	Tane itǝ na nee ne, Ate ying rosa epaaka e gwara ka ying zongka e pirkǝ ai.
2806090052	E beya angmǝ ka Ashili nanna, “Ate aro ozaa shili, a monte leze leo a sangsang.
28060a0053	A togomo to de, aa eze epaaka oya yeme me a lerambo leena, nangka ezeze azaa shili.
28060b001a	Nyaro epaolya o ngmeengme.
28060c0045	O pisi ro madinǝ maro, nangka te pisizi andaaka ne ezeze ro madinǝ.
28060d0052	Tana o ale kaaro ara o kedeya ne, o wobe ro a taara te ogomo o bere o buru ona.’
28060e0058	“E pisǝ aromo aaka ne ezeze ying epa eburu, Ate aying o zaa shili yo pisǝ maying’.
28060f0051	Aa eeta pisǝ ana ondo madinǝ mane ne, Ate ying to pisǝ epa eburu eeying ne.”
28061000c2	“Eeya meke o ngmǝ, tane care mayinu nangka ana o ara ukpwei ezeze ne. Ne care mayinu kane wore aromo bekaana neya eza opate o ngmǝ. Ang dongdong bele oying, ne samba ocǝ o taasa one naname.
280611003c	Aa baaya pate o ngmǝ, kwizǝ mayinu mau, o saane mai manau,
2806120088	adorana tana rosa o bena oya eza o pate o ngmǝ ne. Ate au kaa ta gonta ne, ooka kangza wa gonte pate epaaka a ezeze a suk, wayo taasau.
2806130088	“Tana e kuri tukpwei toying ocǝ a lerambo leena araaka egau kaa orengkaka yo cara wai ne, araaka akǝri neyo pora ka ne lyǝ ne kpwi.
2806140089	Soona e kuri tukpwei toying ocǝ azaa shili, araaka egau ka orengkaka to cara wai ne, araaka kangza, akǝri to lyǝ ka ne eze bekǝri ne.
2806150034	Araaka ocǝ o zene, sanamea lenyong leo zene kangza.
2806160063	“Liizi leya beru be masanto ma lepung, liizi leo leeya cammo, pate lepung leo yo pena ka masanto.
280617007d	A liizi leo leeta cammo ne, pate lepung leo yo dera masanto. Masanto ma lepung leo ma itǝ maring, maring yo dongdong gongha!
28061800bb	“Ondo wa era wata eza lezara ateakoro leere ne, baya nyimi oyo nyana o yende o yeme o yende, koona o tare o yende o zeele o leere me. Ba era ota tare Ashili kaa emate awere yende ne.”
28061900c3	Azaa nyimi eyang bele oying, tana e gare tukpwei toying azaa epaaka eya lyame, koona eya sa me, koona nangka eyo cǝ madibi ma o amba. Ebeene kala epaolya sang? Aa lepung kangza kala madibi sang?
28061a00a1	Laka na engmeng o zaa shili, neta eza o shebeka koona ne shende kane eke a bengga ne. Pate ka nyimi Ate ying o zaa shili lyeeze ka ne. Ying e kala ne edang sang?
28061b005f	Mana a nyimi oying a kazo gara ukpwei wai wa era wa wale lemore le yende a nyimi tomore to wai?
28061c0075	“Na eyaka eya gara tukpwei toying azaa madibi ma o amba? Laka nangka eburu o wake e gongze, neta eza gole yende ne.
28061d0072	Pate ka nyimi eyang belo oying na ogomo Suleimanu ka ocǝ wai wata wa amba madibi maa gong na ondo a nyimi one ne.
28061e009c	Nyimia Ashili eze mawake ma owake bejaga nanna, maaka maya arakana o ngmeengme, a leere a ese mai ka ola, shibari ying? Ying ana o dera o kabare kaa Ashili!
28061f0080	Azaa nyimi tana e gare tukpwei toying a beyana, ‘Eya taya lya me?’ Koona ‘Eya teya sa me?’ Koona ‘Eya teya amba me?’
280620008c	A worme ana o dera o rosa Ashili neya gare tukpwei tone azaa o gera nyimi. Kangza Ate aying o zaa shili a rose o bena eya yeme mapapa maana.
280621009d	Epa e woma o bora eya, e nya Ashili tukpwei toying, e eze epa e togomo te Ashili, ka o gera epa ee sangsang ai, ayo nya ying kaa pate ma mapapa maana kangza.
2806220082	Zaa nyimia tana e gare tukpwei toying azaa leere ne, leere yo deya ka ebelo gara le. Konang lengme ya ka ozitǝ ka waya kap ka le.
280701004d	“Tana e core angmǝ azaa ondo ne, adorana tana a core angmǝ azaa oying ne.
2807020082	Nangka e core angmǝ azaa na ondo, nyimia ayo core angmǝ aza oying. Kangza ka epa ogoshe ooka e ezane, ka wai ya ayo eza ying ne.
2807030050	“Eyaka oya gonta kapa a liizi le orone o, oota ba laka okuturu a liizi leo ne?
2807040068	Ba wǝnia o bekaa orone o na, ‘Bayang lopau kapa a nyimi liizi leo,’ abo oya ka okuturu a liizi leo?
2807050077	Bo ondo ara ukpwei, bora ka o lope okuturu a liizi leo, arakaname oyo laka maleu ko ama o lopa kapa a liizi le orone o.
28070600a3	“Tana e nya e'ere epa e sangsang ne, tana e tare odembashe akwilǝ acale edang aying ne. Nee era ne itǝzǝ ne ka tobona, ane kuri kane daare ying a lekeleke.”
280707004c	“Pirǝ na ayo nya ying, geraza na eyo cǝ, gwarazana ayo pari ying abuudu.
280708006f	Pate ondooka wa pirǝ ayo nya wai, ondooka wa gera wayo cǝ, kangza pate ondooka wa gwara, ayo pari wai abuudu.
280709004a	Mana nyimi oying ana ate, kena ka wai ka bosa oborode, awa nya kai lecale?
28070a0027	Koona ka bose bekwala, awa nya kai owa?
28070b00ad	Na ying ana ara aburu e rose nangka eyo nyaza ayana ying mapapa ma rere, shebari Ate aying o zaa shili wato kala ying aa ama o nyaza mapapa ma rere andaaka ne pirzi ai sang!
28070c007b	Azaa nyimi, eza aromo epaaka oya yeme ane ezo, obena ennaa beyo be makili ma Mosa ka ana obeya angmǝ ka mawo ma Ashili.”
28070d0076	Lyǝ na abuudu a seto. Obena abuudu a patarke kaa kang gongha a aleze ka aromo akwilǝ ola, aromo a cake lyǝzǝ a ai.
28070e0061	Nyimia orona o cǝsǝ ebeene o dera o maro, waya seto awa kang ya baate, andaa baate ya kalea ai.
28070f0091	“Ezana a sauwo ka ana beya angmǝ ka mawo rendaza. Ne deese aying ka madibi ma emande epeng, a nyimi one neye na enama orambo o kala ara aburu.
2807100065	Ebelo ogole ane wayo ote ka rose ne. Ara cǝ ayana inabi uti ekana na, koona ayana osaya a uti ekana?
2807110051	Nyimia konang uti orere wa kareze ayana rere, aa uti oburu wa kareze ayana aburu.
2807120066	Uti orere wa era wata kare ayana aburu ne, anyimia kangza uti oburu wa era wata kare ayana aa rere ne.
280713004c	Pate uti ka wata kare ayana aa rere ne, ayo core wai a tare wai a nyimi ola.
2807140027	Nyimia ayana ane yo ote ka erose ne.”
28071500a6	Pate ondooka wa beya mi na, ‘Ateokora, Ateokora’ waya to lyǝ a nyimi togomo to zaa shili ne. Soona ondooka wa eza epaaka Ate ang o nyimia o zaa shili ya yeme me.
28071600de	A lengme lenname aromo acake yo beya me na, ‘Ateokora, Ateokora!’ Cai! Te zoole aa nyimi leze leo sang? Te sǝrsǝzǝ mabere maa buru anyimi leze leo sang? Kangza, a nyimi leze leo wa te eze mapapa mo tera ukpwei sang?
