0100000008	Génesis
01030e00ca	Entonces dijo Yahvé Dios a la serpiente: “Por haber hecho esto, serás maldita como ninguna otra bestia doméstica o salvaje. Sobre tu vientre caminarás, y polvo comerás todos los días de tu vida.
01030f008b	Y pondré enemistad entre ti y la mujer, y entre tu linaje y su linaje: este te aplastará la cabeza, y tú le aplastarás el calcañar.”
01031000a4	Después dijo a la mujer: “Multiplicaré tus dolores y tus preñeces; con dolor darás hijos a luz; te sentirás atraída por tu marido, pero él te dominará.”
01031100e3	A Adán le dijo: “Por haber escuchado la voz de tu mujer y comido del árbol del que Yo te había prohibido comer, será maldita la tierra por tu causa; con doloroso trabajo te alimentarás de ella todos los días de tu vida;
0103120045	te producirá espinas y abrojos, y comerás de las hierbas del campo.
0103130089	Con el sudor de tu rostro comerás el pan, hasta que vuelvas a la tierra; pues de ella fuiste tomado. Polvo eres y al polvo volverás.”
0103140055	Adán puso a su mujer el nombre de Eva, por ser ella la madre de todos los vivientes.
010315004a	E hizo Yahvé Dios para Adán y su mujer túnicas de pieles y los vistió.
01031600f1	Y dijo Yahvé Dios: “He aquí que el hombre ha venido a ser como uno de nosotros, conocedor del bien y del mal; ahora, pues, no vaya a extender su mano para que tome todavía del árbol de la vida, y comiendo (de él) viva para siempre.”
010317006e	Después Yahvé Dios lo expulsó del jardín de Edén, para que labrase la tierra de donde había sido tomado.
01031800a3	Y habiendo expulsado a Adán puso delante del jardín de Edén querubines, y la fulgurante espada que se agitaba, a fin de guardar el camino del árbol de la vida.
0104010083	Conoció Adán a Eva, su mujer, la cual concibió y dio a luz a Caín, y dijo: “He adquirido un varón con el favor de Yahvé.”
010402005b	Otra vez dio a luz (y tuvo) a Abel, su hermano. Fue Abel pastor de ovejas y Caín labrador.
0104030056	Pasado algún tiempo, presentó Caín a Yahvé una ofrenda de los frutos de la tierra.
010404007b	Y también Abel ofreció de los primogénitos de su rebaño, y de la grasa de los mismos. Yahvé miró a Abel y su ofrenda;
0104050068	pero no miró a Caín y su ofrenda, por lo cual se irritó Caín en gran manera, y decayó su semblante.
0104060060	Entonces dijo Yahvé a Caín: “¿Por qué andas irritado, y por qué ha decaído tu semblante?
01040700a6	¿No es cierto que si obras bien, podrás alzarlo? Mas si no obras bien, está asechando a la puerta el pecado que desea dominarte; pero tú debes dominarle a él.”
0104080092	Dijo después Caín a su hermano Abel: “Vamos al campo.” Y cuando estuvieron en el campo, se levantó Caín contra su hermano Abel y lo mató.
010409007e	Preguntó Yahvé a Caín: “¿Dónde está Abel, tu hermano?” Contestó: “No sé. ¿Soy acaso el guarda de mi hermano?”
01040a006d	Y dijo (Yahvé): “¿Qué has hecho? La voz de la sangre de tu hermano está clamando a Mí desde la tierra.
01040b0072	Por eso andarás maldito, lejos de esta tierra que abrió su boca para recibir de tu mano la sangre de tu hermano.
01040c0068	Cuando labres la tierra, ella no te dará más su fruto; fugitivo y errante vivirás sobre la tierra.”
01040d004e	Entonces dijo Caín a Yahvé: “Mi culpa es demasiado grande para soportarla.
01040e00a3	He aquí que hoy me echas de esta tierra y he de esconderme de tu presencia; andaré fugitivo y errante por la tierra, y cualquiera que me encuentre me matará.”
01040f00a9	Yahvé le respondió: “Pues por eso, cualquiera que matare a Caín, lo pagará siete veces.” Y puso Yahvé una señal a Caín para que no lo matara quien lo hallase.
0104100062	Salió entonces Caín de la presencia de Yahvé y habitó en el país de Nod, al oriente de Edén.
0104110089	Conoció Caín a su mujer, la cual concibió y dio a luz a Enoc. Y edificando por entonces una ciudad, le dio el nombre de su hijo, Enoc.
0104120070	A Enoc le nació Irad, e Irad engendró a Mehuyael. Mehuyael engendró a Metusael, y Metusael engendró a Lamec.
010413005e	Lamec tomó para sí dos mujeres; el nombre de la una era Adá, y el nombre de la otra Sillá.
010414005f	Adá dio a luz a Jabal, el cual vino a ser padre de los que habitan en tiendas y crían ganado.
010415006a	El nombre de su hermano era Jubal, el cual vino a ser padre de todos los que tocan la cítara y la flauta.
010416007a	También Sillá dio a luz; a Tubalcaín, forjador de toda herramienta de cobre y hierro. Hermana de Tubalcaín fue Naamá.
010417008f	Y dijo Lamec a sus mujeres: “Adá y Sillá, escuchad mi voz; yo maté a un hombre que me hirió, y a un joven por una contusión que recibí.
010418004b	Caín será vengado siete veces, mas Lamec lo será setenta veces siete.”
01041900b4	Conoció Adán de nuevo a su mujer; y ella dio a luz un hijo, al cual puso por nombre Set; porque (dijo ella) “Dios me ha dado otro hijo en lugar de Abel, a quien mató Caín”.
01041a0072	También a Set le nació un hijo, a quien llamó Enós. En aquel tiempo se comenzó a invocar el nombre de Yahvé.
010501006c	Este es el libro de los descendientes de Adán. El día en que Dios creó a Adán, lo hizo a imagen de Dios.
010502005d	Los creó varón y mujer y los bendijo: y los llamó “hombre” en el día de su creación.
0105030079	Tenía Adán ciento treinta años cuando engendró un hijo a su semejanza, según su imagen, al cual puso por nombre Set.
0105040065	Fueron los días de Adán, después de engendrar a Set, ochocientos años, y engendró hijos e hijas.
010505004e	Y fueron todos los días que vivió Adán novecientos treinta años, y murió.
0105060037	Set tenía ciento cinco años cuando engendró a Enós.
0105070060	Y vivió Set, después de engendrar a Enós, ochocientos siete años, y engendró hijos e hijas.
0105080041	Y fueron todos los días de Set novecientos doce años, y murió.
0105090036	Enós tenía noventa años cuando engendró a Cainán.
01050a0063	Vivió Enós, después de engendrar a Cainán, ochocientos quince años, y engendró hijos e hijas.
01050b0044	Y fueron todos los días de Enós novecientos cinco años, y murió.
01050c003a	Cainán tenía setenta años cuando engendró a Mahalalel.
01050d0070	Vivió Cainán, después de haber engendrado a Mahalalel, ochocientos cuarenta años, y engendró hijos e hijas.
01050e0045	Y fueron todos los días de Cainán novecientos diez años, y murió.
01050f0041	Mahalalel tenía sesenta y cinco años, cuando engendró a Yared.
0105100066	Vivió Mahalalel, después de engendrar a Yared, ochocientos treinta años, y engendró hijos e hijas.
0105110052	Y fueron todos los días de Mahalalel ochocientos noventa y cinco años, y murió.
0105120040	Yared tenía ciento sesenta y dos años cuando engendró a Enoc.
0105130058	Vivió Yared, después de engendrar a Enoc, ochocientos años y engendró hijos e hijas.
010514004c	Y fueron todos los días de Yared novecientos sesenta y dos años, y murió.
0105150040	Enoc tenía sesenta y cinco años cuando engendró a Matusalén.
0105160072	Anduvo Enoc con Dios, (viviendo) después de engendrar a Matusalén, trescientos años, y engendró hijos e hijas.
0105170043	Y fueron todos los días de Enoc trescientos sesenta y cinco años.
010518003e	Enoc anduvo con Dios, y desapareció porque Dios se lo llevó.
0105190048	Matusalén tenía ciento ochenta y siete años cuando engendró a Lamec.
01051a006d	Vivió Matusalén, después de engendrar a Lamec, setecientos ochenta y dos años, y engendró hijos e hijas.
01051b0053	Y fueron todos los días de Matusalén novecientos sesenta y nueve años, y murió.
01051c0042	Lamec tenía ciento ochenta y dos años, cuando engendró un hijo,
01051d009a	al cual puso por nombre Noé, diciendo: Este nos consolará de nuestras fatigas y del trabajo de nuestras manos, causado por la tierra que maldijo Yahvé.
01051e0068	Vivió Lamec, después de engendrar a Noé, quinientos noventa y cinco años, y engendró hijos e hijas.
01051f0091	Y fueron todos los días de Lamec setecientos setenta y siete años, y murió. Noé tenía quinientos años, cuando engendró a Sem, Cam y Jafet.
0106010053	Cuando los hombres comenzaron a multiplicarse sobre la tierra y les nacieron hijas,
0106020086	y vieron los hijos de Dios que las hijas de los hombres eran hermosas, tomaron de entre todas ellas por mujeres las que les agradaron.
01060300a7	Entonces dijo Yahvé: “No permanecerá para siempre mi espíritu en el hombre, a causa de su delito; no es más que carne, y serán sus días ciento veinte años.”
01060400dc	En aquellos días había gigantes en la tierra, y también después, cuando los hijos de Dios se llegaron a las hijas de los hombres y ellas les dieron hijos. Estos son los héroes, los varones famosos de la antigüedad.
01060500a7	Viendo, pues, Yahvé que era grande la maldad del hombre sobre la tierra, y que todos los pensamientos de su corazón se dirigían únicamente al mal, todos los días,
0106060058	Yahvé se arrepintió de haber hecho al hombre en la tierra, y se dolió en su corazón.
01060700d1	Y dijo Yahvé: “Exterminaré de sobre la faz de la tierra al hombre que he creado, desde el hombre hasta las bestias, hasta los reptiles, y hasta las aves del cielo, porque me arrepiento de haberlo hecho.”
010608002c	Mas Noé halló gracia a los ojos de Yahvé.
0106090074	He aquí la historia de Noé. Noé fue varón justo y perfecto entre los hombres de su tiempo, pues anduvo con Dios.
01060a002e	Y engendró Noé tres hijos: Sem, Cam y Jafet.
01060b004b	La tierra estaba entonces corrompida delante de Dios, y llena de violencia.
01060c007c	Miró, pues, Dios la tierra, y he aquí que estaba depravada, porque toda carne había corrompido su camino sobre la tierra.
01060d00c2	Dijo entonces Dios a Noé: “He decidido el fin de toda carne; porque la tierra está colmada de violencia por culpa de ellos; por eso he aquí que voy a exterminarlos juntamente con la tierra.
01060e007c	Hazte un arca de maderas resinosas, la cual dividirás en compartimientos y calafatearás por dentro y por fuera con betún.
01060f0083	La fabricarás de esta manera: trescientos codos será la longitud del arca, cincuenta codos su anchura, y treinta codos su altura.
01061000c3	Harás en el arca una abertura para la luz, la cual dispondrás arriba, a un codo del techo. La puerta del arca pondrás en uno de sus costados, y harás un piso primero, un segundo y un tercero.
01061100b9	Pues he aquí que voy a traer un diluvio de aguas sobre la tierra, para exterminar toda carne que tiene en sí aliento de vida bajo el cielo. Todo lo que existe en la tierra, perecerá.
010612007a	Pero contigo estableceré mi pacto: Entrarás en el arca tú, y tus hijos, y tu mujer, y las mujeres de tus hijos contigo.
0106130096	Y de todos los animales de toda carne, de toda clase (de ellos), introducirás parejas en el arca para que tengan vida contigo; serán macho y hembra;
01061400b7	de las aves según su especie, de las bestias según su especie, de todos los reptiles de la tierra según su especie. Dos de cada clase vendrán a ti, para que les conserves la vida.
010615006d	Provéete de todo alimento que se come, acópiate provisiones para que os sirvan de comida a ti y a ellos.”
0106160041	Noé hizo conforme a cuanto Dios le había mandado. Así se hizo.
0107010089	Y dijo Yahvé a Noé: “Entra en el arca, tú y toda tu casa, porque a ti te he visto justo delante de Mí en medio de esta generación.
010702009e	De todos los animales puros te elegirás siete parejas, machos con sus hembras; y de todos los animales que no son puros, dos parejas, machos con sus hembras.
0107030083	Asimismo de las aves del cielo siete parejas, machos y hembras para que se conserve su descendencia sobre la faz de toda la tierra.
010704009a	Porque de aquí a siete días haré llover sobre la tierra cuarenta días y cuarenta noches y exterminaré de la tierra todo ser viviente que he hecho.”
0107050037	E hizo Noé conforme a cuanto Yahvé le había mandado.
010706004e	Tenía Noé seiscientos años cuando el diluvio de aguas vino sobre la tierra.
010707007c	Entró Noé en el arca, y con él sus hijos, y su mujer, y las mujeres de sus hijos, para salvarse de las aguas del diluvio.
0107080053	De los animales puros, y de las aves, y de todo lo que se arrastra sobre la tierra,
0107090055	llegaron a Noé al arca, parejas, machos y hembras, como Dios había ordenado a Noé.
01070a0048	Y al cabo de siete días las aguas del diluvio vinieron sobre la tierra.
01070b00bb	El año seiscientos de la vida de Noé, el mes segundo, el día diez y siete del mes, en ese día prorrumpieron todas las fuentes del grande abismo, y se abrieron las cataratas del cielo.
01070c0044	Y estuvo lloviendo sobre la tierra cuarenta días y cuarenta noches.
01070d008f	En aquel mismo día entró Noé en el arca, con Sem, Cam y Jafet, hijos de Noé, y con ellos la mujer de Noé, y las tres mujeres de sus hijos;
01070e00ef	ellos, con todos los animales, según su especie, y todas las bestias domésticas según su especie, y todos los reptiles que se arrastran sobre la tierra, según su especie, y todas las aves según su especie, todo pájaro, todo volátil.
01070f0054	Se llegaron a Noé, al arca, de dos en dos, de toda carne en que hay aliento de vida
0107100080	Y los que habían venido, machos y hembras de toda carne, entraron como Dios había mandado. Y tras él cerró Yahvé la puerta.
010711007e	El diluvio duró cuarenta días sobre la tierra. Y crecieron las aguas y levantaron el arca, la cual se alzó sobre la tierra.
010712006b	Y se aumentaron las aguas y crecieron muchísimo sobre la tierra, mientras el arca flotaba sobre las aguas.
010713008d	Tan desmesuradamente crecieron las aguas sobre la tierra, que quedaron cubiertos todos los montes más altos que había bajo el cielo entero.
0107140051	Quince codos se alzaron sobre ellos las aguas y fueron así cubiertos los montes.
0107150097	Entonces murió toda carne que se movía sobre la tierra; aves y ganados y fieras y todo reptil que se arrastraba sobre la tierra, y todos los hombres.
0107160068	Todos los seres que en sus narices tenían soplo de vida, de cuantos hay en la tierra firme, perecieron.
01071700fe	Así fue exterminado todo ser viviente que había sobre la faz de la tierra, desde el hombre hasta la bestia, hasta los reptiles y hasta las aves del cielo. Fueron exterminados de la tierra, y quedaron solamente Noé y los que con él estaban en el arca.
010718004b	Por espacio de ciento cincuenta días se alzaron las aguas sobre la tierra.
01080100a4	Acordose Dios de Noé y de todas las fieras y de todas las bestias que con él estaban en el arca; e hizo Dios pasar un viento sobre la tierra, y bajaron las aguas.
0108020067	Entonces se cerraron las fuentes del abismo y las cataratas del cielo, y se detuvo la lluvia del cielo.
0108030081	Poco a poco retrocedieron las aguas de sobre la tierra; y cuando al cabo de ciento cincuenta días las aguas empezaron a menguar,
010804005b	reposó el arca sobre los montes de Ararat, en el mes séptimo, el día diecisiete del mes.
010805008d	Las aguas siguieron decreciendo paulatinamente hasta el mes décimo, y el día primero del décimo mes aparecieron las cumbres de los montes.
010806004b	Pasados cuarenta días, abrió Noé la ventana que había hecho en el arca,
0108070064	y soltó un cuervo, el cual yendo salía y retornaba hasta que se secaron las aguas sobre la tierra.
0108080069	Después soltó Noé una paloma, para ver si se habían retirado ya las aguas de la superficie terrestre.
01080900cd	Mas como la paloma no hallase donde poner la planta de su pie, tornó hacia él, al arca, porque había todavía agua sobre toda la tierra; y alargando él su mano, la asió y la metió consigo en el arca.
01080a0045	Esperó otros siete días y soltó de nuevo la paloma fuera del arca.
01080b00a3	La paloma volvió a él al atardecer, y he aquí que traía en su pico hoja verde de olivo, por donde conoció Noé que las aguas se habían retirado de la tierra.
01080c0055	Esperó todavía otros siete días y soltó la paloma, la cual no volvió más a él.
01080d00b6	El año seiscientos uno, el día primero del primer mes, ya no había aguas sobre la tierra, y abriendo Noé la cubierta del arca miró y vio que estaba seca la superficie del suelo.
01080e004a	En el mes segundo, a los veintisiete días del mes, quedó seca la tierra.
01080f0024	Habló entonces Dios a Noé, y dijo:
010810004f	“Sal del arca, tú, y contigo tu mujer, tus hijos y las mujeres de tus hijos.
01081100d4	Y sacarás contigo todos los animales de toda carne que te acompaña, aves, bestias y todos los reptiles que se arrastran en el suelo; pululen sobre la tierra y sean fecundos y se multipliquen sobre la tierra.”
010812004d	Salió, pues, Noé, y con él sus hijos, su mujer y las mujeres de sus hijos.
010813008f	Salieron también del arca, según sus especies, todos los animales, todos los reptiles y todas las aves, todo cuanto se mueve sobre la tierra.
010814008c	Después erigió Noé un altar a Yahvé, y tomando de todos los animales puros, y de todas las aves puras, ofreció holocaustos en el altar.
01081500f8	Al aspirar Yahvé el agradable olor dijo en su corazón: “No volveré a maldecir la tierra por causa del hombre, porque los deseos del corazón humano son malos desde su niñez, ni volveré a exterminar a todos los seres vivientes, como he hecho.
0108160076	Mientras dure la tierra, no cesarán (de sucederse) sementera y siega, frío y calor, verano e invierno, día y noche.
010901005d	Y bendijo Dios a Noé y a sus hijos, y les dijo: “Creced y multiplicaos y llenad la tierra.
01090200c6	Tengan miedo y tiemblen ante vosotros todos los animales de la tierra, y todas las aves del cielo y todo lo que se arrastra sobre el suelo, y todos los peces del mar. En vuestra mano están puestos.
010903006d	Todo lo que se mueve y tiene vida, os servirá de alimento. Como ya la hierba verde, así os lo entrego todo.
0109040040	Pero no comeréis la carne con su vida, es decir, con su sangre.
01090500d6	Pues, en verdad, Yo pediré cuenta de vuestra sangre, para (protección) de vuestra vida; de mano de todo ser viviente la demandaré. De mano del hombre, de mano de su propio hermano, demandaré la vida del hombre.
0109060081	Cualquiera que derramare sangre humana, por mano de hombre será derramada su sangre; porque a imagen de Dios hizo Él al hombre.
0109070057	Vosotros, pues, creced y multiplicaos; dilataos sobre la tierra y aumentaos en ella.”
0109080033	Dijo Dios a Noé, y a sus hijos juntamente con él:
0109090065	“He aquí que Yo establezco mi pacto con vosotros, y con vuestra descendencia después de vosotros;
01090a00c0	y con todo ser viviente que esté entre vosotros, aves, bestias domésticas y salvajes de la tierra que hay entre vosotros, con todo lo que sale del arca, hasta el último animal de la tierra.
01090b0087	Hago mi pacto con vosotros: No será exterminada ya toda carne con aguas de diluvio, ni habrá más diluvio para destruir la tierra.”
01090c009b	Y dijo Dios: “Esta es la señal del pacto que por generaciones perpetuas establezco entre Mí y vosotros y todo ser viviente que se halla entre vosotros:
01090d0055	Pondré mi arco en las nubes, que servirá de señal del pacto entre Mí y la tierra.
01090e004c	Cuando Yo cubriere la tierra con nubes y apareciere el arco entre las nubes,
01090f00a6	me acordaré de mi pacto que hay entre Mí y vosotros y todo ser viviente de toda carne; y las aguas no volverán más a formar un diluvio para exterminar toda carne.
01091000a8	Pues cuando aparezca el arco en las nubes, Yo lo miraré, para acordarme del pacto perpetuo entre Dios y todo ser viviente, de toda carne que existe sobre la tierra.”
0109110075	Dijo, pues, Dios a Noé: “Esta es la señal del pacto que he establecido entre Mí y toda carne sobre la tierra.”
010912005c	Los hijos de Noé, que salieron del arca, eran Sem, Cam y Jafet. Cam es el padre de Canaán.
010913004d	Estos tres son los hijos de Noé, y por ellos ha sido poblada toda la tierra.
0109140037	Noé comenzó a cultivar la tierra y plantó una viña.
010915004e	Mas bebiendo del vino se embriagó, y se quedó desnudo en medio de su tienda.
010916006c	Vio Cam, padre de Canaán, la desnudez de su padre, y fue a decirlo a sus dos hermanos (que estaban) afuera.
01091700db	Entonces Sem y Jafet tomaron entrambos el manto (de Noé), se lo echaron sobre los hombros, y yendo hacia atrás cubrieron la desnudez de su padre. Tenían vuelto el rostro de modo que no vieron la desnudez de su padre.
0109180052	Cuando despertó Noé de su vino y supo lo que había hecho con él su hijo menor,
010919004d	dijo: “Maldito sea Canaán; esclavo de esclavos será para sus hermanos.”
01091a004b	Y agregó: “Bendito sea Yahvé, el Dios de Sem; y sea Canaán su esclavo.
01091b0056	Dilate Dios a Jafet, que habitará en las tiendas de Sem; y sea Canaán su esclavo.”
01091c003f	Vivió Noé, después del diluvio, trescientos cincuenta años.
01091d0047	Y fueron todos los días de Noé novecientos cincuenta años, y murió.
010a010078	Estos son los descendientes de los hijos de Noé: Sem, Cam y Jafet, a quienes después del diluvio nacieron estos hijos:
010a020045	Hijos de Jafet: Gómer, Magog, Madai, Javán, Tubal, Mósoc y Tirás.
010a03002b	Hijos de Gómer: Asquenaz, Rifat, Togormá.
010a040031	Hijos de Javán: Elisá, Tarsis, Kitim y Dodanim.
010a050073	Estos se propagaron sobre las islas de las gentes y en sus tierras, según sus lenguas y sus tribus y sus naciones.
010a060029	Hijos de Cam: Cus, Misraim, Put y Canán.
010a070059	Hijos de Cus: Sabá, Havilá, Sabtá, Ragmá y Sabtecá. Hijos de Ragmá: Sabá y Dedán.
010a08004f	Cus engendró Nimrod, el cual fue el primero que se hizo poderoso en la tierra.
010a090076	Fue él un gran cazador delante de Yahvé; por lo cual suele decir: “Gran cazador delante de Yahvé, como Nimrod”.
010a0a0045	Reinó primero en Babel, Erec, Acad y Calné, en la tierra de Sinear.
010a0b0049	De aquella tierra salió para Asur y edificó Nínive, Rehobot-Ir, Calah,
010a0c003a	y Resen, entre Nínive y Calah; aquella es la gran ciudad.
010a0d0048	Misraim engendró a los de Ludim, los Anamim, los Lahabim, los Naftuhim,
010a0e004c	los Patrusim, los Casluhim, de donde salieron los Filisteos y los Caftoreos.
010a0f0035	Canaán engendró a Sidón, su primogénito, y a Het,
010a10002f	y también al Jebuseo, al Amorreo, al Gergeseo,
