010000000c	ਉਤਪਤ
01011a0212	ਪਰਮੇਸ਼ੁਰ ਨੇ ਆਖਿਆ ਕਿ ਅਸੀਂ ਮਨੁੱਖ ਨੂੰ ਆਪਣੇ ਸਰੂਪ ਵਿੱਚ ਅਤੇ ਆਪਣੇ ਵਰਗਾ ਬਣਾਈਏ ਅਤੇ ਓਹ ਸਮੁੰਦਰ ਦੀਆਂ ਮੱਛੀਆਂ ਉੱਤੇ, ਅਕਾਸ਼ ਦੇ ਪੰਛੀਆਂ, ਪਸ਼ੂਆਂ, ਸਗੋਂ ਸਾਰੀ ਧਰਤੀ ਉੱਤੇ ਅਤੇ ਧਰਤੀ ਉੱਤੇ ਸਾਰੇ ਘਿੱਸਰਨ ਵਾਲਿਆਂ ਜੀਵ-ਜੰਤੂਆਂ ਉੱਤੇ ਰਾਜ ਕਰਨ।
01011b0141	ਇਸ ਤਰ੍ਹਾਂ ਪਰਮੇਸ਼ੁਰ ਨੇ ਮਨੁੱਖ ਦੀ ਰਚਨਾ ਆਪਣੇ ਸਰੂਪ ਵਿੱਚ ਕੀਤੀ। ਪਰਮੇਸ਼ੁਰ ਦੇ ਸਰੂਪ ਵਿੱਚ ਉਸ ਨੂੰ ਰਚਿਆ। ਉਸ ਨੇ ਨਰ ਨਾਰੀ ਦੀ ਸ੍ਰਿਸ਼ਟੀ ਕੀਤੀ।
01011c023b	ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਅਸੀਸ ਦਿੱਤੀ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ ਕਿ ਫਲੋ ਅਤੇ ਵਧੋ, ਧਰਤੀ ਨੂੰ ਭਰ ਦਿਓ ਅਤੇ ਉਹ ਨੂੰ ਆਪਣੇ ਵੱਸ ਵਿੱਚ ਕਰੋ ਅਤੇ ਸਮੁੰਦਰ ਦੀਆਂ ਮੱਛੀਆਂ, ਅਕਾਸ਼ ਦੇ ਪੰਛੀਆਂ ਅਤੇ ਧਰਤੀ ਉੱਤੇ ਘਿਸਰਨ ਵਾਲੇ ਸਾਰੇ ਜੀਵ-ਜੰਤੂਆਂ ਉੱਤੇ ਰਾਜ ਕਰੋ।
01011d019d	ਪਰਮੇਸ਼ੁਰ ਨੇ ਆਖਿਆ, ਵੇਖੋ ਮੈਂ ਤੁਹਾਨੂੰ ਹਰੇਕ ਬੀਜ ਵਾਲਾ ਸਾਗ ਪੱਤ ਜਿਹੜਾ ਸਾਰੀ ਧਰਤੀ ਦੇ ਉੱਤੇ ਹੈ, ਹਰੇਕ ਰੁੱਖ ਜਿਹ ਦੇ ਵਿੱਚ ਉਸ ਦਾ ਬੀਜ ਵਾਲਾ ਫਲ ਹੈ, ਦੇ ਦਿੱਤਾ ਹੈ। ਇਹ ਤੁਹਾਡੇ ਲਈ ਭੋਜਨ ਹੈ।
01011e01a8	ਮੈਂ ਧਰਤੀ ਦੇ ਹਰੇਕ ਜਾਨਵਰ, ਅਕਾਸ਼ ਦੇ ਹਰੇਕ ਪੰਛੀ, ਧਰਤੀ ਉੱਤੇ ਹਰ ਘਿੱਸਰਨ ਵਾਲੇ ਨੂੰ ਜਿਹਨਾਂ ਦੇ ਵਿੱਚ ਜੀਵਨ ਦਾ ਸਾਹ ਹੈ, ਉਹਨਾਂ ਦੇ ਖਾਣ ਲਈ ਹਰ ਕਿਸਮ ਦਾ ਸਾਗ ਪੱਤ ਦੇ ਦਿੱਤਾ ਅਤੇ ਅਜਿਹਾ ਹੀ ਹੋ ਗਿਆ।
01011f015d	ਤਦ ਪਰਮੇਸ਼ੁਰ ਨੇ ਸਾਰੀ ਸਿਰਜਣਾ ਨੂੰ ਜਿਸ ਨੂੰ ਉਸ ਨੇ ਬਣਾਇਆ ਸੀ, ਵੇਖਿਆ ਅਤੇ ਵੇਖੋ ਉਹ ਬਹੁਤ ਹੀ ਚੰਗਾ ਸੀ। ਇਸ ਤਰ੍ਹਾਂ ਸ਼ਾਮ ਅਤੇ ਸਵੇਰ ਹੋਈ, ਇਹ ਛੇਵਾਂ ਦਿਨ ਹੋਇਆ।
01020100bf	ਇਸ ਤਰ੍ਹਾਂ ਅਕਾਸ਼ ਅਤੇ ਧਰਤੀ ਅਤੇ ਉਨ੍ਹਾਂ ਦੀ ਸਾਰੀ ਵੱਸੋਂ ਦੀ ਸਿਰਜਣਾ ਪੂਰੀ ਕੀਤੀ ਗਈ।
0102020115	ਪਰਮੇਸ਼ੁਰ ਨੇ ਸੱਤਵੇਂ ਦਿਨ ਆਪਣੇ ਕਾਰਜ ਨੂੰ ਸੰਪੂਰਨ ਕੀਤਾ, ਅਤੇ ਉਸਨੇ ਸੱਤਵੇਂ ਦਿਨ ਆਪਣਿਆਂ ਸਾਰਿਆਂ ਕਾਰਜਾਂ ਤੋਂ ਅਰਾਮ ਕੀਤਾ।
010203014d	ਪਰਮੇਸ਼ੁਰ ਨੇ ਸੱਤਵੇਂ ਦਿਨ ਨੂੰ ਅਸੀਸ ਦਿੱਤੀ ਅਤੇ ਉਸ ਦਿਨ ਨੂੰ ਪਵਿੱਤਰ ਠਹਿਰਾਇਆ ਕਿਉਂ ਜੋ ਉਸੇ ਦਿਨ ਆਪਣੇ ਕਾਰਜ ਤੋਂ ਜਿਹੜਾ ਉਸ ਨੇ ਰਚਿਆ ਸੀ, ਆਰਾਮ ਕੀਤਾ।
0102040125	ਇਹ ਅਕਾਸ਼ ਅਤੇ ਧਰਤੀ ਦੀ ਸਿਰਜਣਾ ਦਾ ਵਰਣਨ ਹੈ ਜਦ ਓਹ ਉਤਪੰਨ ਹੋਏ ਅਰਥਾਤ ਜਿਸ ਦਿਨ ਯਹੋਵਾਹ ਪਰਮੇਸ਼ੁਰ ਨੇ ਅਕਾਸ਼ ਅਤੇ ਧਰਤੀ ਨੂੰ ਬਣਾਇਆ।
01020501c9	ਮੈਦਾਨ ਦਾ ਕੋਈ ਪੌਦਾ ਅਜੇ ਧਰਤੀ ਉੱਤੇ ਨਹੀਂ ਸੀ, ਨਾ ਹੀ ਖੇਤ ਦਾ ਕੋਈ ਸਾਗ ਪੱਤ ਅਜੇ ਉਪਜਿਆ ਸੀ ਕਿਉਂ ਜੋ ਯਹੋਵਾਹ ਪਰਮੇਸ਼ੁਰ ਨੇ ਧਰਤੀ ਉੱਤੇ ਮੀਂਹ ਨਹੀਂ ਵਰ੍ਹਾਇਆ ਸੀ ਅਤੇ ਨਾ ਹੀ ਜ਼ਮੀਨ ਨੂੰ ਵਾਹੁਣ ਲਈ ਕੋਈ ਮਨੁੱਖ ਸੀ।
010206007f	ਪਰ ਧੁੰਦ ਧਰਤੀ ਤੋਂ ਉੱਠ ਕੇ ਸਾਰੀ ਜ਼ਮੀਨ ਨੂੰ ਸਿੰਜਦੀ ਸੀ।
0102070158	ਯਹੋਵਾਹ ਪਰਮੇਸ਼ੁਰ ਨੇ ਮਨੁੱਖ ਨੂੰ ਜ਼ਮੀਨ ਦੀ ਮਿੱਟੀ ਤੋਂ ਰਚਿਆ ਅਤੇ ਉਸ ਦੀਆਂ ਨਾਸਾਂ ਵਿੱਚ ਜੀਵਨ ਦਾ ਸਾਹ ਫੂਕਿਆ, ਇਸ ਤਰ੍ਹਾਂ ਮਨੁੱਖ ਜੀਉਂਦਾ ਪ੍ਰਾਣੀ ਬਣ ਗਿਆ।
0102080126	ਤਦ ਯਹੋਵਾਹ ਪਰਮੇਸ਼ੁਰ ਨੇ ਪੂਰਬ ਵੱਲ ਇੱਕ ਬਾਗ਼ ਅਦਨ ਵਿੱਚ ਲਾਇਆ ਅਤੇ ਉੱਥੇ ਉਸ ਨੇ ਉਸ ਮਨੁੱਖ ਨੂੰ, ਜਿਸ ਨੂੰ ਉਸ ਨੇ ਰਚਿਆ ਸੀ, ਰੱਖ ਦਿੱਤਾ।
01020901b8	ਯਹੋਵਾਹ ਪਰਮੇਸ਼ੁਰ ਨੇ ਜ਼ਮੀਨ ਦਾ ਹਰੇਕ ਰੁੱਖ ਜਿਹੜਾ ਵੇਖਣ ਵਿੱਚ ਮਨਭਾਉਣਾ ਸੀ ਅਤੇ ਜਿਸ ਦਾ ਫਲ ਖਾਣ ਵਿੱਚ ਚੰਗਾ ਸੀ, ਉਗਾਏ ਅਤੇ, ਬਾਗ਼ ਦੇ ਵਿਚਕਾਰ ਜੀਵਨ ਦਾ ਰੁੱਖ ਤੇ ਭਲੇ ਬੁਰੇ ਦੇ ਗਿਆਨ ਦਾ ਰੁੱਖ ਵੀ ਉਗਾਇਆ।
01020a00cd	ਇੱਕ ਨਦੀ ਉਸ ਬਾਗ਼ ਨੂੰ ਸਿੰਜਣ ਲਈ ਅਦਨ ਤੋਂ ਨਿੱਕਲੀ ਅਤੇ ਉੱਥੋਂ ਚਾਰ ਹਿੱਸਿਆਂ ਵਿੱਚ ਵੰਡੀ ਗਈ।
01020b00b4	ਇੱਕ ਦਾ ਨਾਮ ਪੀਸੋਨ ਹੈ, ਜਿਹੜੀ ਸਾਰੇ ਹਵੀਲਾਹ ਦੇਸ਼ ਨੂੰ ਘੇਰਦੀ ਹੈ ਜਿੱਥੇ ਸੋਨਾ ਹੈ
01020c00b8	ਅਤੇ ਉਸ ਦੇਸ਼ ਦਾ ਸੋਨਾ ਚੰਗਾ ਹੈ, ਉੱਥੇ ਮੋਤੀ ਤੇ ਸੁਲੇਮਾਨੀ ਪੱਥਰ ਵੀ ਪਾਏ ਜਾਂਦੇ ਹਨ।
01020d009a	ਦੂਜੀ ਨਦੀ ਦਾ ਨਾਮ ਗੀਹੋਨ ਹੈ, ਜਿਹੜੀ ਸਾਰੇ ਕੂਸ਼ ਦੇਸ਼ ਨੂੰ ਘੇਰਦੀ ਹੈ।
01020e00e3	ਤੀਜੀ ਨਦੀ ਦਾ ਨਾਮ ਹਿੱਦਕਲ ਹੈ, ਜਿਹੜੀ ਅੱਸ਼ੂਰ ਦੇ ਪੂਰਬ ਵੱਲ ਵਗਦੀ ਹੈ ਅਤੇ ਚੌਥੀ ਨਦੀ ਦਾ ਨਾਮ ਫ਼ਰਾਤ ਹੈ।
01020f00f0	ਯਹੋਵਾਹ ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਸ ਮਨੁੱਖ ਨੂੰ ਲੈ ਕੇ ਅਦਨ ਦੇ ਬਾਗ਼ ਵਿੱਚ ਰੱਖਿਆ ਤਾਂ ਜੋ ਉਹ ਉਸ ਦੀ ਵਾਹੀ ਤੇ ਰਾਖੀ ਕਰੇ।
01021000ec	ਤਦ ਯਹੋਵਾਹ ਪਰਮੇਸ਼ੁਰ ਨੇ ਮਨੁੱਖ ਨੂੰ ਆਗਿਆ ਦਿੱਤੀ ਕਿ ਤੂੰ ਬਾਗ਼ ਦੇ ਹਰੇਕ ਰੁੱਖ ਦਾ ਫਲ ਬੇਝਿਜਕ ਖਾ ਸਕਦਾ ਹੈ,
01021100fb	ਪਰ ਭਲੇ ਬੁਰੇ ਦੇ ਗਿਆਨ ਦੇ ਰੁੱਖ ਦਾ ਫਲ ਤੂੰ ਨਾ ਖਾਈਂ ਕਿਉਂ ਜੋ ਜਿਸ ਦਿਨ ਤੂੰ ਉਸ ਤੋਂ ਖਾਵੇਂਗਾ, ਤੂੰ ਜ਼ਰੂਰ ਮਰੇਂਗਾ।
0102120119	ਫੇਰ ਯਹੋਵਾਹ ਪਰਮੇਸ਼ੁਰ ਨੇ ਆਖਿਆ ਇਹ ਚੰਗਾ ਨਹੀਂ ਕਿ ਮਨੁੱਖ ਇਕੱਲਾ ਰਹੇ ਇਸ ਲਈ ਮੈਂ ਉਸ ਦੇ ਲਈ ਉਸ ਦੇ ਵਰਗੀ ਇੱਕ ਸਹਾਇਕ ਬਣਾਵਾਂਗਾ।
0102130233	ਯਹੋਵਾਹ ਪਰਮੇਸ਼ੁਰ ਨੇ ਮਿੱਟੀ ਤੋਂ ਜੰਗਲ ਦੇ ਹਰ ਇੱਕ ਜਾਨਵਰ ਨੂੰ ਅਤੇ ਅਕਾਸ਼ ਦੇ ਹਰ ਇੱਕ ਪੰਛੀ ਨੂੰ ਰਚਿਆ ਅਤੇ ਆਦਮੀ ਕੋਲ ਲੈ ਆਇਆ ਤਾਂ ਜੋ ਉਹ ਵੇਖੇ ਜੋ ਉਹ ਕਿਵੇਂ ਉਨ੍ਹਾਂ ਨੂੰ ਸੱਦੇਗਾ ਅਤੇ ਜੋ ਕੁਝ ਆਦਮੀ ਨੇ ਉਸ ਜੀਉਂਦੇ ਪ੍ਰਾਣੀ ਨੂੰ ਸੱਦਿਆ, ਉਹੀ ਉਹ ਦਾ ਨਾਮ ਹੋ ਗਿਆ।
0102140150	ਇਸ ਤਰ੍ਹਾਂ ਆਦਮ ਨੇ ਸਾਰੇ ਪਸ਼ੂਆਂ, ਅਕਾਸ਼ ਦੇ ਪੰਛੀਆਂ, ਅਤੇ ਜੰਗਲ ਦੇ ਸਾਰੇ ਜਾਨਵਰਾਂ ਦਾ ਨਾਮ ਰੱਖਿਆ, ਪਰ ਮਨੁੱਖ ਲਈ ਅਜੇ ਕੋਈ ਸਹਾਇਕਣ ਉਹ ਦੇ ਵਰਗੀ ਨਾ ਮਿਲੀ।
0102150189	ਤਦ ਯਹੋਵਾਹ ਪਰਮੇਸ਼ੁਰ ਨੇ ਮਨੁੱਖ ਨੂੰ ਗੂਹੜੀ ਨੀਂਦ ਵਿੱਚ ਪਾ ਦਿੱਤਾ, ਸੋ ਉਹ ਸੌਂ ਗਿਆ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਹ ਦੀਆਂ ਪਸਲੀਆਂ ਵਿੱਚੋਂ ਇੱਕ ਪਸਲੀ ਕੱਢ ਲਈ ਅਤੇ ਉਹ ਦੀ ਥਾਂ ਮਾਸ ਭਰ ਦਿੱਤਾ।
0102160113	ਯਹੋਵਾਹ ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਸ ਪਸਲੀ ਤੋਂ ਜਿਹੜੀ ਉਸ ਨੇ ਮਨੁੱਖ ਵਿੱਚੋਂ ਕੱਢੀ ਸੀ, ਇੱਕ ਨਾਰੀ ਬਣਾਈ ਅਤੇ ਉਹ ਨੂੰ ਮਨੁੱਖ ਕੋਲ ਲੈ ਆਇਆ।
010217015c	ਤਦ ਮਨੁੱਖ ਨੇ ਆਖਿਆ ਕਿ ਇਹ ਹੁਣ ਮੇਰੀਆਂ ਹੱਡੀਆਂ ਵਿੱਚੋਂ ਹੱਡੀ ਹੈ, ਮੇਰੇ ਮਾਸ ਵਿੱਚੋਂ ਮਾਸ ਹੈ ਇਸ ਕਾਰਨ ਇਹ ਨਾਰੀ ਅਖਵਾਏਗੀ ਕਿਉਂ ਜੋ ਇਹ ਨਰ ਵਿੱਚੋਂ ਕੱਢੀ ਗਈ ਹੈ।
01021800db	ਇਸ ਲਈ ਆਦਮੀ ਆਪਣੇ ਮਾਤਾ-ਪਿਤਾ ਨੂੰ ਛੱਡ ਕੇ ਆਪਣੀ ਪਤਨੀ ਨਾਲ ਮਿਲਿਆ ਰਹੇਗਾ ਅਤੇ ਉਹ ਇੱਕ ਸਰੀਰ ਹੋਣਗੇ।
010219008b	ਆਦਮੀ ਅਤੇ ਉਹ ਦੀ ਪਤਨੀ ਦੋਵੇਂ ਨੰਗੇ ਸਨ, ਪਰ ਉਹ ਸੰਗਦੇ ਨਹੀਂ ਸਨ।
01030101c1	ਸੱਪ ਸਭ ਜੰਗਲੀ ਜਾਨਵਰਾਂ ਨਾਲੋਂ, ਜਿਨ੍ਹਾਂ ਨੂੰ ਯਹੋਵਾਹ ਪਰਮੇਸ਼ੁਰ ਨੇ ਬਣਾਇਆ ਸੀ, ਚਲਾਕ ਸੀ ਅਤੇ ਉਸ ਨੇ ਇਸਤਰੀ ਨੂੰ ਆਖਿਆ, ਭਲਾ, ਪਰਮੇਸ਼ੁਰ ਨੇ ਸੱਚ-ਮੁੱਚ ਆਖਿਆ ਹੈ ਕਿ ਬਾਗ਼ ਦੇ ਕਿਸੇ ਰੁੱਖ ਦਾ ਫਲ ਤੁਸੀਂ ਨਾ ਖਾਓ?
01030200af	ਇਸਤਰੀ ਨੇ ਸੱਪ ਨੂੰ ਆਖਿਆ, ਬਾਗ਼ ਦੇ ਸਾਰੇ ਰੁੱਖਾਂ ਦੇ ਫਲ ਤਾਂ ਅਸੀਂ ਖਾ ਸਕਦੇ ਹਾਂ
