2800000007	Matthew
28020e004e	Then Joseph arose, took the child and his mother, by night, and fled to Egypt.
28020f00a1	And he was there, until the death of Herod; that so might be fulfilled that which was spoken of the Lord by the prophet, saying, From Egypt have I called my son.
2802100102	Then Herod, when he saw that he had been deluded by the Magi, was very angry. And he sent and slew all the children in Bethlehem, and in all its confines, from a child of two years and under, according to the time that he had carefully learned from the Magi.
280211004a	Then was that fulfilled, which was spoken by Jeremiah the prophet, saying:
2802120091	A voice was heard in Rama, weeping and great lamentation; Rachel bemoaning her children, and unwilling to be comforted, because they are no more.
280213005a	But when king Herod was dead, an angel of the Lord appeared in a dream to Joseph in Egypt,
280214008a	and said to him: Arise, take the child and his mother, and go into the land of Israel; for they are dead who sought the life of the child.
2802150054	And Joseph arose, and took the child and his mother, and went to the land of Israel.
28021600bd	But when he heard that Archelaus was king in Judaea, instead of his father Herod, he feared to go thither. And it was revealed to him in a dream, that he should go into the land of Galilee.
280217009c	And he came and dwelt in a city that is called Nazareth: that so might be fulfilled that which was said by the prophet, that he should be called a Nazarene.
2803010054	And in those days came John the Baptizer. And he proclaimed in the desert of Judaea,
2803020038	and said: Repent; the kingdom of heaven hath approached.
280303009c	For this is he of whom it was said, by Isaiah the prophet: The voice of one crying in the wilderness, Prepare ye the way of the Lord, make smooth his paths.
2803040087	And as to this John, his raiment was of camel's hair, and a girdle of skin was upon his loins; and his food was locusts and wild honey.
2803050055	Then went out to him Jerusalem, and all Judaea, and all the country about the Jordan.
2803060053	And they were baptized by him in the river Jordan, while they confessed their sins.
28030700b3	But when he saw many of the Pharisees and of the Sadducees, who came to be baptized, he said to them: Generation of vipers, who hath taught you to flee from the wrath that cometh?
280308003e	Bring forth the fruits therefore, that accord with repentance.
280309009b	And do not think, and say within yourselves, that Abraham is our father: for I say to you, that God is able of these tones to raise up children to Abraham.
28030a0086	And lo, the ax is put to the root of trees. Every tree, therefore, which beareth not good fruit, is felled, and falleth into the fire.
28030b00c5	I indeed baptize you with water unto repentance; but he that cometh after me is more powerful than I; whose sandals I am not worthy to carry. He will baptize you with the Holy Spirit and with fire.
28030c00b5	His winnowing shovel is in his hand; and he will make clean his threshing-floor. The wheat he will gather into his storehouse; and the chaff he will burn with fire not extinguished.
28030d004c	Then came Jesus from Galilee to the Jordan unto John, to be baptized by him.
28030e0058	But John refused him; and said, I need to be baptized by thee, and hast thou come to me?
28030f007f	And Jesus answered, and said to him: Allow it now, for thus it becometh us to fulfill all righteousness. Then he permitted him.
28031000aa	And when Jesus was baptized, he went up immediately from the water. And heaven was opened to him; and he saw the Holy Spirit descending like a dove, and it came upon him.
2803110058	And lo, a voice from heaven, which said: This is my beloved Son, in whom I have delight.
2804010057	Then was Jesus led by the Holy Spirit into the desert, to be tempted by the Calumniator
2804020045	And he fasted forty days and forty nights, and afterward he hungered.
2804030068	And the Tempter came, and said to him: If thou art the Son of God, command these stones to become bread.
2804040083	But he replied, and said: It is written, that not by bread only, doth man live; but by every word proceeding from the mouth of God.
2804050058	Then the Calumniator took him to the holy city, and set him on a pinnacle of the temple,
28040600d5	and said to him: If thou art the Son of God, cast thyself down: for it is written, that he will give his angels charge of thee, and in their hands will they sustain thee, lest thou strike thy foot against a stone.
2804070056	Jesus said to him: It is moreover written, that thou shalt not tempt the Lord thy God.
280408007f	Again the Calumniator took him to a mountain that was very high, and showed him all the kingdoms of the world, and their glory;
2804090053	and said to him: All these will I give thee, if thou wilt fall down and worship me.
28040a0083	Then Jesus said to him: Begone, Satan; for it is written, that thou shalt worship the Lord, thy God; and him only shalt thou serve.
28040b004a	Then the Calumniator left him: and lo, angels came, and ministered to him.
28040c004b	And when Jesus had heard that John was delivered up, he retired to Galilee.
28040d0078	And he left Nazareth, and came and dwelt in Capernaum, by the side of the sea, on the confines of Zebulon and Naphthali.
28040e0051	That so might be fulfilled that which was spoken by Isaiah the prophet, who said:
28040f006c	The land of Zebulon, the land of Naphthali, the way of the sea, the ford of Jordan, Galilee of the Gentiles;
280410007f	the people that sat in darkness, have seen great light; and to them who sat in the region and shadow of death, light is arisen.
2804110062	From that time began Jesus to proclaim and say: Repent; for the kingdom of heaven hath approached.
28041200b3	And as he walked on the shore of the sea of Galilee, he saw two brothers, Simon called Cephas, and Andrew his brother, who were casting nets into the sea; for they were fishermen.
2804130051	And Jesus said to them: Follow me; and I will cause you to become fishers of men.
280414003a	And immediately, they left their nets, and went after him.
28041500c3	And as he passed on from there, he saw two other brothers, James the son of Zebedee, and John his brother, in a ship with Zebedee their father, who were mending their nets. And Jesus called them.
2804160048	And they immediately left the ship and their father, and went after him.
28041700a9	And Jesus traveled over all Galilee. and he taught in their synagogues and proclaimed the tidings of the kingdom; and he cured every disease and malady among the people.
28041800db	And his fame spread through all Syria. And they brought to him all them that were very sick with diverse diseases, and them that were afflicted with pains, and demoniacs, and lunatics and paralytics; and he healed them.
280419008f	And there followed him great multitudes from Galilee, and from the Ten Cities, and from Jerusalem, and from Judaea, and from beyond the Jordan.
280501006b	And when Jesus saw the multitudes, he ascended a hill; and when he was seated, his disciples drew near him:
2805020033	and he opened his mouth, and taught them, and said:
2805030043	Blessed are the poor in spirit for the kingdom of heaven is theirs!
2805040036	Blessed are the mourners: for they shall be comforted!
2805050037	Blessed are the meek: for they shall inherit the earth!
2805060056	Blessed are they that hunger and thirst for righteousness: for they shall be satiated!
2805070037	Blessed are the merciful: for on them shall be mercies!
280508003a	Blessed are the clean in heart: for they shall behold God!
280509004b	Blessed are the cultivators of peace: for they shall be called sons of God!
28050a0066	Blessed are they that are persecuted on account of righteousness: for the kingdom of heaven is theirs!
28050b0077	Blessed are ye, when they revile you and persecute you, and speak every evil thing against you, falsely, on my account.
28050c0080	At that time, rejoice and be glad: for your reward in heaven is great. For so they persecuted the prophets that were before you.
28050d00ac	Ye are the salt of the earth! But if the salt become insipid, with what shall it be seasoned? It is fit for nothing; but to be thrown out, and be trodden under foot by men.
28050e004a	Ye are the light of the world! A city built upon a hill, not be concealed.
28050f0082	And they do not light a lamp and place it under a bushel; but upon a lightstand, and it giveth light to all that are in the house.
2805100071	Let your light shine before men, that they may see your good works, and may glorify your Father who is in heaven.
280511006f	Do not suppose that I have come to subvert the law or the prophets: I have come not to subvert, but to fulfill.
2805120097	For verily I say to you, that until heaven and earth shall pass away, one iota or one letter shall not pass from the law, until all shall be fulfilled.
28051300f5	Therefore whoever shall break one of these small commands and shall so inculcate on the children of men, shall be called little in the kingdom of heaven: but every one that shall do and teach them, shall be called great in the kingdom of heaven.
2805140099	For I say to you, that unless your righteousness shall abound more than that of the Scribes and Pharisees, ye shall not enter into the kingdom of heaven.
280515007a	Ye have heard that it was said to the ancients, Thou shalt not kill: and every one that killeth, is obnoxious to judgment.
28051600ea	But I say to you, That every one who is angry with his brother rashly, is obnoxious to judgment: and every one that saith to his brother, Raka! is obnoxious to the council: and every one that shall say, Fool is obnoxious to hell-fire.
2805170081	If therefore thou shalt bring thy oblation to the altar, and shalt there remember that thy brother hath any offence against thee,
2805180083	leave there thy oblation before the altar, and go first and be reconciled with thy brother; and then come and present thy oblation.
28051900db	Be at agreement with thy prosecutor, forthwith, and while on the way with him; lest the prosecutor deliver thee up to the judge, and the Judge deliver thee over to the sheriff, and thou fall into the house of prisoners.
28051a005f	Verily I say to thee, Thou wilt not come out from there until thou hast paid the last farthing.
28051b0045	Ye have heard that it hath been said, Thou shalt not commit adultery.
28051c0077	But I say to you, That whoever gazeth on a woman with concupiscence, at once committeth adultery with her in his heart.
28051d00b4	If therefore thy right eye make thee offend, pluck it out, and cast it from thee; because it is better for thee that thy one member perish, than that thy whole body fall into hell.
28051e00b1	And if thy right hand make thee offend, cut it off, and cast it from thee; because it is better for thee that one of thy members perish, than that thy whole body fall into hell.
28051f0063	It hath been said, That if a man will put away his wife, he must give her a writing of divorcement.
28052000b5	But I say to you, That whoever putteth away his wife, except for the offence of whoredom, causeth her to commit adultery: and he that taketh the divorced woman, committeth adultery.
2805210092	Again, ye have heard that it hath been said to the ancients, Thou shalt not be false in thy oaths; but thou shalt perform thine oaths to the Lord.
280522004f	But I say to you, Swear not at all: not by heaven, for it is the throne of God:
2805230082	and not by the earth, for it is the footstool under his feet: and likewise not by Jerusalem, for it is the city of the great king.
2805240069	Moreover, thou shalt not swear by thy head, for thou canst not make one hair in it either black or white.
2805250061	But let your language be, Yes, yes; or No, no; for whatever is beyond these proceedeth from evil.
2805260051	Ye have heard that it hath been said: An eye for an eye, and a tooth for a tooth.
280527006d	But I say to you: Resist not evil; but if a person smite thee on thy right cheek, turn to him the other also.
280528005b	And if one is disposed to sue thee and get away thy coat, relinquish to him also thy cloak.
2805290038	Whoever compelleth thee to go one mile, go with him two.
28052a005c	Whoever demandeth of thee, give to him: and whoever wisheth to borrow of thee, deny him not.
28052b0057	Ye have heard that it hath been said: Thou shalt love thy neighbor, and hate thy enemy.
28052c00aa	But I say to you: Love your enemies; and bless him that curseth you; and do good to him that hateth you; and pray for them that lead you in bonds, and that persecute you:
28052d00bb	that ye may be the children of your Father that is in heaven, who causeth his sun to rise upon the good and upon the bad, and sendeth his rain upon the righteous and upon the unrighteous.
28052e005b	For, if ye love them that love you, what reward have ye? Do not even the publicans do this?
28052f0062	And if ye salute your brethren only, what do ye that is not common? Do not even publicans do this?
2805300049	Be ye therefore perfect; even as your Father who is in heaven is perfect.
280601009e	Be cautious in your alms-giving, not to perform it before men, so that ye may be seen of them: otherwise, ye have no reward from your Father who is in heaven.
28060200dd	Therefore, when thou doest alms thou shalt not sound a trumpet before thee, as the hypocrites do in the synagogues and in the streets, that they may get praise from men. Verily I say to you, They have gotten their reward.
2806030050	But thou, when doing alms, let not thy left hand know what thy right hand doeth:
280604005d	that thy alms may be in secret. And thy Father, who seeth in secret, will reward thee openly.
28060500ea	And when thou prayest. thou shalt not be like the hypocrites, who are fond of standing up in the synagogues and at the corners of streets to pray, so that they may be seen by people. Verily I say to you, they have gotten their reward.
28060600ac	But thou, when thou prayest enter into thy closet and close the door, and pray to thy Father who is in secret; and thy Father, who seeth in secret, will reward thee openly.
280607006e	And when ye pray, be not garrulous like the heathen; for they expect to be heard for their abundance of words.
2806080060	Therefore, be not like them; for your Father knoweth what is needful for you, before ye ask him.
2806090057	In this manner, therefore, pray ye: Our Father who art in heaven, hallowed be thy name:
28060a003e	Thy kingdom come: Thy will be done; as in heaven, so on earth:
28060b0024	Give us our needful bread, this day:
28060c0034	And forgive us our debts, as we forgive our debtors:
28060d008c	And bring us not into temptation, but deliver us from evil: For thine is the kingdom, and the power, and the glory, for ever and ever: Amen.
28060e0057	For if ye forgive men their faults, your Father who is in heaven will also forgive you.
28060f0050	But if ye shall not forgive men, your Father also forgiveth not you your faults.
28061000a9	And when ye fast, be not sad like the hypocrites. For they distort their faces, that they may be seen of men to fast. Verily I say to you, they have gotten their reward.
2806110040	But, when thou fastest, wash thou thy face, and anoint thy head:
280612008e	that thou mayest not be seen by men as a faster, but by thy Father who is in secret: and thy Father who seeth in secret, will recompense thee.
2806130075	Lay not up for yourselves treasures on the earth, where moth and rust spoil, and where thieves dig through and steal.
2806140079	But lay up for yourselves treasures in heaven, where no moth and no rust can spoil, and no thieves dig through nor steal.
280615003a	For where your treasure is, there will your heart also be.
2806160066	The lamp of the body is the eye. If therefore thy eye shall be sound, thy whole body will be luminous.
280617008d	But if thy eye shall be diseased, thy whole body will be dark. If then the light that is in thee be darkness, how great will be thy darkness!
28061800a1	No man can serve two masters: for either he will hate the one and love the other, or he will honor the one and neglect the other. Ye cannot serve God and mammon.
28061900dd	Therefore I say to you: Be not anxious about your life, what ye shall eat, and what ye shall drink; nor about your body, how ye shall clothe yourselves. Is not the life more important than food, and the body than raiment?
28061a00ae	Look at the birds of heaven; which sow not, and reap not, and gather not into storehouses, but your Father who is in heaven feedeth them. Are not ye more important than they?
28061b0045	And who of you that shall be anxious, can add to his stature a cubit?
28061c0085	And about raiment, why are ye anxious? Consider the lilies of the desert, in what manner they grow. They toil not; and they spin not.
28061d0057	Yet I say to you, that not even Solomon in all his glory, was arrayed like one of them.
28061e0098	And if God so clothe the grass of the field, which exists to-day, and tomorrow falls into the oven, will he not much more clothe you, ye small in faith?
28061f0066	Therefore be not anxious; nor say, What shall we eat, or what shall we drink; or wherewith be clothed?
280620008e	For, all these things the people of the world seek after. And your Father, who is in heaven, knoweth that all these things are needful to you.
2806210068	But seek ye first the kingdom of God, and his righteousness: and all these things shall be added to you.
280622007a	Therefore be not anxious about the morrow: for the morrow hath its own anxieties. Sufficient for the day, is its own evil.
2807010021	Judge not, that ye be not judged.
2807020079	For with the judgment that ye judge, ye shall be judged; and by the measure that ye measure, shall it be measured to you.
280703006b	And why observest thou the straw in thy brother's eye, and regardest not the beam that is in thine own eye?
2807040071	Or how canst thou say to thy brother, Allow me to pluck the straw from thy eye; and lo! a beam is in thy own eye.
2807050083	Thou hypocrite; pluck first the beam from thy own eye; and then thou wilt see clearly, to pluck the straw out of thy brother's eye.
2807060087	Give not a holy thing to dogs: and cast not your pearls before swine; lest they tread them under their feet, and turn and lacerate you.
2807070061	Ask, and it shall be given to you: seek, and ye shall find: knock, and it shall be opened to you.
2807080072	For, every one that asketh, receiveth: and he that seeketh, findeth: and to him that knocketh, it shall be opened.
2807090059	For what man is there among you, of whom if his son ask bread, will he reach him a stone?
28070a0038	Or if he ask of him a fish, will he reach him a serpent?
28070b009e	If ye then, who are evil, know how to give good gifts to your children, how much more will your Father who is in heaven give good things to them that ask him?
28070c006b	Whatsoever ye would that men should do to you; so also do ye to them: for this is the law and the prophets.
28070d0087	Enter ye in by the strait gate; for wide is the gate and broad the way which leadeth to destruction; and many are they that walk in it.
28070e0059	How small the gate and straitened the way that leadeth to life, and few they who find it!
28070f0069	Beware of false prophets; who come to you in the garb of sheep, but internally they are rapacious wolves.
2807100068	And from their fruits ye shall know them. Do men gather grapes from thorn bushes; or figs from thistles?
280711004a	So every good tree beareth good fruits; but a bad tree beareth bad fruits.
2807120048	A good tree cannot bear bad fruits; nor can a bad tree bear good fruits.
280713004f	Every tree that beareth not good fruits, is cut down and consigned to the fire.
280714002e	Wherefore, by their fruits ye shall know them.
280715008d	Not whoever may say to me, My Lord, my Lord, will enter into the kingdom of heaven: but he that doeth the will of my Father who is in heaven.
28071600a4	Many will say to me in that day, My Lord, my Lord, have-we not prophesied in thy name? and in thy name cast out demons? and in thy name wrought many works of power?
2807170054	And then will I declare to them; I never knew you. Depart from me, ye doers of evil.
2807180087	Every one therefore that heareth these my discourses, and doeth them, will be like to a wise man, one that built his house upon a rock.
280719009d	And the rain descended, and the floods came, and the winds blew; and they rushed upon that house; and it fell not, for its foundations were laid upon a rock.
28071a007e	And every one that heareth these my discourses, and doeth them not, will be like a foolish man that built his house upon sand.
28071b008c	And the rain descended, and the floods came, and the winds blew; and they rushed upon that house, and it fell; and great was the ruin of it.
28071c006a	And so it was, that when Jesus had ended these discourses, the multitudes were astonished at his teaching:
28071d0053	for he taught them as one having authority; and not as their Scribes and Pharisees.
280801004c	And as he descended from the mountain, great multitudes gathered around him.
2808020067	And behold, a leper came and worshipped him, and said: My Lord, if thou wilt, thou canst make me clean.
280803007b	And Jesus stretched forth his hand, touched him, and said: I will: be thou clean. And immediately his leprosy was cleansed.
2808040096	And Jesus said to him, See, thou tell no man: but go, show thyself to the priests, and present an oblation as Moses enjoined, for a testimony to them.
2808050055	And when Jesus had entered into Capernaum, a centurion came to him, and besought him,
280806004f	and said: My Lord, my child lieth at home an is paralytic, and badly afflicted.
280807002c	Jesus said to him, I will come and heal him.
2808080096	The centurion replied, and said: My Lord, I am not worthy that thou shouldst come under my roof: but speak the word only, and my child will be healed.
28080900cc	For I also am a man under authority, and there are soldiers under my hands, and I say to this one, Go, and he goeth; and to another, Come, and he cometh; and to my servant, Do this thing, and he doeth it.
28080a0096	And when Jesus heard this, he admired it; and he said to those walking with him, Verily I say to you, I have not found faith like this even in Israel.
28080b0096	And I say to you, that many shall come from the east, and from the west, and shall recline with Abraham and Isaac and Jacob, in the kingdom of heaven;
28080c0074	but the children of the kingdom shall go forth into the outer darkness. There will be weeping and gnashing of teeth.
28080d0074	And Jesus said to the centurion. Go; be it to thee as thou hast believed. And his child was cured in that same hour.
28080e005e	And Jesus came to the house of Simon and saw his wife's mother prostrate, confined by a fever.
28080f0056	And he touched her hand, and the fever left her: and she arose and ministered to them.
2808100090	And when it was evening, they brought many demoniacs before him; and he expelled their demons by a word, and healed all them that were diseased:
2808110096	that so might be fulfilled that which was spoken by Isaiah the prophet, who said: He will bear our sorrows, and our infirmities he will take upon him.
2808120062	And when Jesus saw great multitudes, around him, he ordered that they should go to the site shore.
280813005d	And a Scribe came and said to him: Rabbi, I will follow thee to the place whither thou goest.
280814009e	Jesus said to him, For foxes there are holes, and for the birds of heaven there are nests; but for the Son of man, there is not where he may recline his head.
280815005c	And another of his disciples said to him: My Lord, suffer me first to go and bury my father.
280816004d	But Jesus said to him: Follow thou me, and leave the dead to bury their dead.
2808170041	And when Jesus entered the ship, his disciples embarked with him.
280818006e	And lo, a great commotion arose in the sea, so that the vessel was covered by the waves. But Jesus was asleep:
280819005d	and his disciples came to awake him, and said to him: Our Lord, deliver us; we are perishing!
28081a008c	Jesus said to them, Why are ye afraid, ye small in faith! Then he arose, and rebuked the wind and the sea; and there was great tranquillity.
28081b0067	And the men were amazed; and they said, What a man is this, to whom the winds and the sea are obedient!
28081c00be	And when Jesus arrived at the farther shore, in the country of the Gadarenes, there met him two demoniacs, who came out from the sepulchres, very furious, so that no one could pass that way.
28081d0088	And they cried out, and said: What have we to do with thee? Jesus, thou Son of God. Hast thou come hither before the time to torment us?
28081e0042	And at a distance from them there was a herd of many swine feeding
28081f0067	And the demons entreated of him, and said: If thou cast us out, suffer us to go into the herd of swine.
28082000bf	And Jesus said to them, Go ye. And immediately they came out, and entered into the swine; and that whole herd ran straight to a precipice and plunged into the sea, and perished in the waters.
280821006d	And the herdsmen fled, and entered the city, and related all that had occurred, and concerning the demoniacs.
280822006e	And all the city came out to meet Jesus: and when they saw him, they besought him to retire from their coasts.
2809010042	And he entered the ship, and passed over and came to his own city.
280902009c	And they brought to him a paralytic, lying on a bed. And Jesus saw their faith, and said to the paralytic: Take courage, my son; thy sins are forgiven thee.
2809030042	And some of the Scribes said in their minds, This man blasphemeth.
280904005e	But Jesus knew their thoughts: and he said to them, Why do ye think evil things in your heart?
2809050058	For, which is the easier, to say, Thy sins are forgiven thee; or to say, Arise and walk?
2809060097	But that ye may know that the Son of man hath authority on earth to forgive sins, he said to the paralytic: Arise, take up thy bed, and go to thy home.
2809070022	And he arose and went to his home.
280908007a	And when the multitudes saw it, they were struck with awe; and they praised God, who had given authority like this to men.
28090900a2	And as Jesus passed on from there, he saw a man sitting at the custom-house, whose name was Matthew. And he said to him, Follow me: and he arose and followed him.
28090a0070	And as they were reclining in a house, many publicans an sinners came and reclined with Jesus and his disciples.
28090b006d	And when the Pharisees saw it they said to his disciples, Why doth your Rabbi eat with publicans and sinners?
28090c0078	And as Jesus heard it, he said to them: They who are in health have no need of a physician, but they that are very sick.
28090d007f	Go and learn what that is: I require compassion, and not a sacrifice! For I did not come to call the righteous, but the sinful.
28090e0073	Then came to him the disciples of John, and said: Why do we and the Pharisees fast much and thy disciples fast not?
28090f00c6	Jesus said to them: Can the children of the nuptial chamber fast, so long as the bridegroom is with them? But the days will come when the bridegroom will be taken from them, and then they will fast.
2809100089	No one inserteth a piece of new cloth on an old garment; lest that which filleth up, tear from that garment, and the rent become greater.
28091100b0	And they do not put new wine into old sacks; lest the sacks burst, and the wine run out, and the sacks perish. But they put new wine into new sacks and they are both preserved.
28091200b5	And while he was thus discoursing with them a certain ruler came, drew near, worshipped him and said: My daughter is already dead, but come lay thy hand upon her, and she will live.
280913003c	And Jesus rose up, and his disciples; and they followed him.
2809140075	And behold, a woman whose blood had flowed fourteen years, came up behind him, and touched the extremity of his robe:
280915004a	for she had said in her mind, If I but touch his garment I shall be cured.
28091600a1	And Jesus turned himself, looked at her, and said to her: Take courage, my daughter; thy faith hath given thee life. And the woman was cured from that very hour.
2809170060	And Jesus came to the house of the ruler: and he saw there pipers, and multitudes making outcry.
280918005d	And he said to them: Retire; for the maid is not dead, but sleepeth. And they scoffed at him.
2809190063	And when he had ejected the throngs, he entered in, and took her by the hand, and the maid rose up.
28091a0033	And the fame of this thing spread in all that land.
28091b0076	And when Jesus had passed from there, two blind men followed after him, and said: Have mercy on us, Thou Son of David!
28091c009f	And when he had entered a house, those blind men approached him, and Jesus said to them: Believe ye that I am able to do this? They said to him, Yes, our Lord.
28091d0051	Then he touched their eyes, and said: As ye have believed, so shall it be to you.
28091e0063	And forthwith their eyes were opened. And Jesus charged them and said: See, that no man know of it.
28091f003d	But they went out and spread the fame of it in all that land.
280920004a	And as Jesus went out, they brought to him a dumb man in whom was a demon.
280921007e	And when the demon had gone out, the dumb man conversed. And the multitudes admired, and said: Never was it so seen in Israel!
280922004d	But the Pharisees said: It is by the Prince of demons, he casteth out demons.
28092300ad	And Jesus traveled over all the cities and the villages: and he taught in their synagogues, and proclaimed the tidings of the kingdom, and healed all diseases and all pains.
2809240083	And when Jesus looked on the multitudes, he pitied them; because they were wearied and dispersed, like sheep that have no shepherd.
2809250049	And he said to his disciples, The harvest is great, and the laborers few.
280926005d	Entreat, therefore, of the Lord of the harvest, that he would send laborers into his harvest.
280a01008d	And he called his twelve disciples to him, and gave them authority over unclean spirits to cast them out, and to heal every pain and disease.
280a0200ab	And the names of those twelve Legates are these: The first of them, Simon who is called Cephas, and Andrew his brother; and James the son of Zebedee, and John his brother;
280a030085	and Philip, and Bartholomew, and Thomas, and Matthew the publican; and James the son of Alpheus, and Lebbeus who was called Thaddeus;
280a040041	and Simon the Canaanite, and Judas Iscariot, he who betrayed him.
280a05008d	These twelve Jesus sent forth: and he commanded them and said: Go not in the way of the Gentiles: and enter not the cities of the Samaritans.
280a06003b	But, go ye rather to the lost sheep of the house of Israel.
280a070046	And as ye go, proclaim and say: The kingdom of heaven hath approached.
280a080071	Heal ye the sick; cleanse the leprous; raise the dead; and cast out demons. Freely ye have received; freely give.
280a090037	Provide not gold, nor silver, nor brass in your purses;
280a0a006f	nor a wallet for the journey: neither two coats, nor shoes, nor a staff. For the laborer is worthy of his food.
280a0b0066	And into whatever city or town ye enter, inquire, who in it is worthy; and there stay until ye depart.
280a0c0030	And when ye enter a house, salute the household.
280a0d007a	And if the house be worthy, your peace will come upon it; but if it be not worthy, your peace will return upon yourselves.
280a0e008b	And whoever will not receive you, nor hear your discourses, when ye depart from that house or that town, shake off the dust from your feet.
280a0f0086	Verily I say to you, that it will be comfortable for the land of Sodom and Gomorrah in the day of judgment, rather than for that city.
280a10006e	Behold, I send you forth as sheep among wolves. Therefore be ye sagacious as serpents, and guileless as doves.
280a11006d	And beware of men; for they will deliver you over to the tribunals, and will scourge you in their synagogues.
280a12006f	And they will bring you before governors and kings, on my account, for a testimony to them and to the Gentiles.
280a13007c	And when they deliver you up, be not anxious how or what ye shall speak; for it shall be given you in that hour what to say.
280a14004b	For it is not ye that speak, but the spirit of your Father speaking in you.
280a15008b	And brother shall deliver up his brother to death, and a father his son; and children shall rise up against parents, and cause them to die.
280a160070	And ye shall be hated by every one, on account of my name. But he that shall endure to the end, shall have life.
280a1700b5	And when they persecute you in one city, flee to another: for verily I say to you, Ye shall not have completed all the cities of the house of Israel, till the Son of man shall come.
280a180043	No disciple is better than his rabbi; nor a servant, than his lord.
280a1900b1	It is sufficient for the disciple, that he be as his rabbi; and the servant, as his lord. If they call the lord of the house Beelzebub, how much more the children of his family?
280a1a0088	Therefore be not afraid of them; for there is nothing covered up, that shall not be exposed; nor concealed, that shall not become known.
280a1b0081	Whatever I say to you in the dark, that speak ye in the light; and what ye have heard in your ears, proclaim ye on the housetops.
280a1c008f	And be not afraid of them that kill the body, but cannot kill the soul; but be afraid rather of Him who can destroy both soul and body in hell.
280a1d006a	Are not two sparrows sold for a farthing? Yet one of them doth not fall to the ground without your Father.
280a1e0039	As for you, even the hairs of your head are all numbered.
280a1f0042	Therefore be not afraid: ye are more important than many sparrows.
