010000000c	Ӂенеза
01011f00f4	Думнезеу С-а уйтат ла тот че фэкусе ши ятэ кэ ерау фоарте буне. Астфел, а фост о сярэ ши апой а фост о диминяцэ: ачаста а фост зиуа а шася.
0102010077	Астфел ау фост сфыршите черуриле ши пэмынтул ши тоатэ оштиря лор.
01020200ec	Ын зиуа а шаптя, Думнезеу Шь-а сфыршит лукраря пе каре о фэкусе ши ын зиуа а шаптя С-а одихнит де тоатэ лукраря Луй пе каре о фэкусе.
01020300fa	Думнезеу а бинекувынтат зиуа а шаптя ши а сфинцит-о, пентру кэ ын зиуа ачаста С-а одихнит де тоатэ лукраря Луй пе каре о зидисе ши о фэкусе.
010204006b	Ятэ история черурилор ши а пэмынтулуй, кынд ау фост фэкуте.
01020501af	Ын зиуа кынд а фэкут Домнул Думнезеу ун пэмынт ши черурь, ну ера ынкэ пе пэмынт ничун копэчел де кымп ши ничо ярбэ де пе кымп ну ынколця ынкэ, фииндкэ Домнул Думнезеу ну дэдусе ынкэ плоае пе пэмынт ши ну ера ничун ом ка сэ лукрезе пэмынтул.
0102060071	Чи ун абур се ридика де пе пэмынт ши уда тоатэ фаца пэмынтулуй.
01020700e4	Домнул Думнезеу а фэкут пе ом дин цэрына пэмынтулуй, й-а суфлат ын нэрь суфларе де вяцэ, ши омул с-а фэкут астфел ун суфлет виу.
01020800bc	Апой, Домнул Думнезеу а сэдит о грэдинэ ын Еден, спре рэсэрит, ши а пус аколо пе омул пе каре-л ынтокмисе.
010209013f	Домнул Думнезеу а фэкут сэ рэсарэ дин пэмынт тот фелул де помь плэкуць ла ведере ши бунь ла мынкаре ши помул веций ын мижлокул грэдиний ши помул куноштинцей бинелуй ши рэулуй.
01020a0091	Ун рыу ешя дин Еден ши уда грэдина, ши де аколо се ымпэрця ши се фэчя патру браце.
01020b009a	Нумеле челуй динтый есте Писон; ел ынконжоарэ тоатэ цара Хавила, унде се гэсеште аур.
01020c008e	Аурул дин цара ачаста есте бун; аколо се гэсеште ши беделион ши пятрэ де оникс.
01020d0074	Нумеле рыулуй ал дойля есте Гихон; ел ынконжоарэ тоатэ цара Куш.
01020e00b5	Нумеле челуй де ал трейля есте Хидекел. Ел курӂе ла рэсэритул Асирией. Ал патруля рыу есте Еуфратул.
01020f00a5	Домнул Думнезеу а луат пе ом ши л-а ашезат ын грэдина Еденулуй ка с-о лукрезе ши с-о пэзяскэ.
01021000b9	Домнул Думнезеу а дат омулуй порунка ачаста: „Поць сэ мэнынчь дупэ плэчере дин орьче пом дин грэдинэ,
01021100d2	дар дин помул куноштинцей бинелуй ши рэулуй сэ ну мэнынчь, кэч, ын зиуа ын каре вей мынка дин ел, вей мури негрешит.”
01021200b7	Домнул Думнезеу а зис: „Ну есте бине ка омул сэ фие сингур; ам сэ-й фак ун ажутор потривит пентру ел.”
010213017a	Домнул Думнезеу а фэкут дин пэмынт тоате фяреле кымпулуй ши тоате пэсэриле черулуй ши ле-а адус ла ом, ка сэ вадэ кум аре сэ ле нумяскэ, ши орьче нуме пе каре-л дэдя омул фиекэрей вецуитоаре, ачела-й ера нумеле.
010214010b	Ши омул а пус нуме тутурор вителор, пэсэрилор черулуй ши тутурор фярелор кымпулуй, дар, пентру ом, ну с-а гэсит ничун ажутор каре сэ и се потривяскэ.
0102150108	Атунч, Домнул Думнезеу а тримис ун сомн адынк песте ом, ши омул а адормит; Домнул Думнезеу а луат уна дин коастеле луй ши а ынкис карня ла локул ей.
0102160095	Дин коаста пе каре о луасе дин ом, Домнул Думнезеу а фэкут о фемее ши а адус-о ла ом.
01021700fe	Ши омул а зис: „Ятэ ын сфыршит ачея каре есте ос дин оаселе меле ши карне дин карня мя! Еа се ва нуми ‘фемее’, пентру кэ а фост луатэ дин ом.”
01021800bb	Де ачея ва лэса омул пе татэл сэу ши пе мама са ши се ва липи де неваста са, ши се вор фаче ун сингур труп.
0102190066	Омул ши неваста луй ерау амындой гой ши ну ле ера рушине.
0103010149	Шарпеле ера май ширет декыт тоате фяреле кымпулуй пе каре ле фэкусе Домнул Думнезеу. Ел а зис фемеий: „Оаре а зис Думнезеу ку адевэрат: ‘Сэ ну мынкаць дин тоць помий дин грэдинэ’?”
0103020095	Фемея а рэспунс шарпелуй: „Путем сэ мынкэм дин родул тутурор помилор дин грэдинэ.
01030300f6	Дар, деспре родул помулуй дин мижлокул грэдиний, Думнезеу а зис: ‘Сэ ну мынкаць дин ел ши нич сэ ну вэ атинӂець де ел, ка сэ ну муриць.’”
0103040061	Атунч, шарпеле а зис фемеий: „Хотэрыт кэ ну вець мури,
01030500e3	дар Думнезеу штие кэ, ын зиуа кынд вець мынка дин ел, ви се вор дескиде окий ши вець фи ка Думнезеу, куноскынд бинеле ши рэул.”
0103060186	Фемея а вэзут кэ помул ера бун де мынкат ши плэкут де привит ши кэ помул ера де дорит ка сэ дескидэ куйва минтя. А луат деч дин родул луй ши а мынкат; а дат ши бэрбатулуй ей, каре ера лынгэ еа, ши бэрбатул а мынкат ши ел.
01030700e6	Атунч ли с-ау дескис окий ла амындой; ау куноскут кэ ерау гой, ау кусут лаолалтэ фрунзе де смокин ши шь-ау фэкут шорцурь дин еле.
0103080135	Атунч ау аузит гласул Домнулуй Думнезеу, каре умбла прин грэдинэ ын рэкоаря зилей, ши омул ши неваста луй с-ау аскунс де Фаца Домнулуй Думнезеу принтре помий дин грэдинэ.
0103090068	Дар Домнул Думнезеу а кемат пе ом ши й-а зис: „Унде ешть?”
01030a00b3	Ел а рэспунс: „Ць-ам аузит гласул ын грэдинэ ши мь-а фост фрикэ, пентру кэ ерам гол, ши м-ам аскунс.”
01030b00dd	Ши Домнул Думнезеу а зис: „Чине ць-а спус кэ ешть гол? Ну кумва ай мынкат дин помул дин каре ыць порунчисем сэ ну мэнынчь?”
01030c00ae	Омул а рэспунс: „Фемея пе каре мь-ай дат-о ка сэ фие лынгэ мине, еа мь-а дат дин пом ши ам мынкат.”
01030d00c2	Ши Домнул Думнезеу а зис фемеий: „Че ай фэкут?” Фемея а рэспунс: „Шарпеле м-а амэӂит ши ам мынкат дин пом.”
01030e0177	Домнул Думнезеу а зис шарпелуй: „Фииндкэ ай фэкут лукрул ачеста, блестемат ешть ынтре тоате вителе ши ынтре тоате фяреле де пе кымп; ын тоате зилеле веций тале, сэ те тырэшть пе пынтече ши сэ мэнынчь цэрынэ.
01030f00e8	Врэжмэшие вой пуне ынтре тине ши фемее, ынтре сэмынца та ши сэмынца ей. Ачаста ыць ва здроби капул, ши ту ый вей здроби кэлкыюл.”
0103100136	Фемеий й-а зис: „Вой мэри фоарте мулт суферинца ши ынсэрчинаря та; ку дурере вей наште копий, ши доринцеле тале се вор цине дупэ бэрбатул тэу, яр ел ва стэпыни песте тине.”
01031101cc	Омулуй й-а зис: „Фииндкэ ай аскултат де гласул невестей тале ши ай мынкат дин помул деспре каре ыць порунчисем: ‘Сэ ну мэнынчь делок дин ел’, блестемат есте акум пэмынтул дин причина та. Ку мултэ трудэ сэ-ць скоць храна дин ел ын тоате зилеле веций тале;
0103120065	спинь ши пэлэмидэ сэ-ць дя ши сэ мэнынчь ярба де пе кымп.
0103130102	Ын судоаря фецей тале сэ-ць мэнынчь пыня пынэ те вей ынтоарче ын пэмынт, кэч дин ел ай фост луат; кэч цэрынэ ешть ши ын цэрынэ те вей ынтоарче.”
0103140084	Адам а пус невестей сале нумеле Ева, кэч еа а фост мама тутурор челор вий.
010315009a	Домнул Думнезеу а фэкут луй Адам ши невестей луй хайне де пеле ши й-а ымбрэкат ку еле.
0103160173	Домнул Думнезеу а зис: „Ятэ кэ омул а ажунс ка унул дин Ной, куноскынд бинеле ши рэул. Сэ-л ымпедикэм дар акум ка ну кумва сэ-шь ынтиндэ мына, сэ я ши дин помул веций, сэ мэнынче дин ел ши сэ трэяскэ ын вечь.”
01031700ba	Де ачея, Домнул Думнезеу л-а изгонит дин грэдина Еденулуй ка сэ лукрезе пэмынтул, дин каре фусесе луат.
0103180131	Астфел а изгонит Ел пе Адам; ши ла рэсэритул грэдиний Еденулуй а пус ниште херувимь, каре сэ ынвыртяскэ о сабие ынвэпэятэ, ка сэ пэзяскэ друмул каре дуче ла помул веций.
01040100ec	Адам с-а ымпреунат ку невастэ-са Ева; еа а рэмас ынсэрчинатэ ши а нэскут пе Каин. Ши а зис: „Ам кэпэтат ун ом ку ажуторул Домнулуй!”
010402007f	А май нэскут ши пе фрателе сэу Абел. Абел ера чобан, яр Каин ера плугар.
010403009f	Дупэ о букатэ де време, Каин а адус Домнулуй о жертфэ де мынкаре дин роаделе пэмынтулуй.
0104040110	Абел а адус ши ел о жертфэ де мынкаре дин оиле ынтый нэскуте але турмей луй ши дин грэсимя лор. Домнул а привит ку плэчере спре Абел ши спре жертфа луй,
01040500bf	дар спре Каин ши спре жертфа луй н-а привит ку плэчере. Каин с-а мыният фоарте таре ши и с-а посоморыт фаца.
0104060097	Ши Домнул а зис луй Каин: „Пентру че те-ай мыният ши пентру че ци с-а посоморыт фаца?
0104070101	Ну-й аша? Дакэ фачь бине, вей фи бине примит, дар, дакэ фачь рэу, пэкатул пындеште ла ушэ; доринца луй се цине дупэ тине, дар ту сэ-л стэпынешть.”
0104080106	Ынсэ Каин а зис фрателуй сэу Абел: „Хайдем сэ ешим ла кымп.” Дар, пе кынд ерау ла кымп, Каин с-а ридикат ымпотрива фрателуй сэу Абел ши л-а оморыт.
01040900c6	Домнул а зис луй Каин: „Унде есте фрателе тэу Абел?” Ел а рэспунс: „Ну штиу. Сунт еу пэзиторул фрателуй меу?”
01040a009f	Ши Думнезеу а зис: „Че ай фэкут? Гласул сынӂелуй фрателуй тэу стригэ дин пэмынт ла Мине.
01040b00db	Акум, блестемат ешть ту, изгонит дин огорул ачеста, каре шь-а дескис гура ка сэ примяскэ дин мына та сынӂеле фрателуй тэу!
01040c009d	Кынд вей лукра пэмынтул, сэ ну-ць май дя богэция луй. Прибяг ши фугар сэ фий пе пэмынт.”
01040d006e	Каин а зис Домнулуй: „Педяпса мя е пря маре ка с-о пот суфери.
01040e011a	Ятэ кэ Ту мэ изгонешть азь де пе фаца пэмынтулуй; еу ва требуи сэ мэ аскунд де Фаца Та ши сэ фиу прибяг ши фугар пе пэмынт, ши орьчине мэ ва гэси мэ ва оморы.”
01040f0136	Домнул й-а зис: „Ничдекум, чи, дакэ ва оморы чинева пе Каин, Каин сэ фие рэзбунат де шапте орь.” Ши Домнул а хотэрыт ун семн пентру Каин, ка орьчине ыл ва гэси сэ ну-л омоаре.
010410008d	Апой, Каин а ешит дин Фаца Домнулуй ши а локуит ын цара Нод, ла рэсэрит де Еден.
0104110123	Каин с-а ымпреунат ку невастэ-са; еа а рэмас ынсэрчинатэ ши а нэскут пе Енох. Ел а ынчепут апой сэ зидяскэ о четате ши а пус ачестей четэць нумеле фиулуй сэу Енох.
01041200e9	Енох а фост татэл луй Ирад; Ирад а фост татэл луй Мехуиаел; Мехуиаел а фост татэл луй Метушаел ши Метушаел а фост татэл луй Ламех.
0104130090	Ламех шь-а луат доуэ невесте: нумеле унея ера Ада ши нумеле челейлалте ера Цила.
0104140096	Ада а нэскут пе Иабал: ел а фост татэл челор че локуеск ын кортурь ши пэзеск вителе.
01041500a9	Нумеле фрателуй сэу ера Иубал: ел а фост татэл тутурор челор че кынтэ ку алэута ши ку кавалул.
01041600e3	Цила, де партя ей, а нэскут ши еа пе Тубал-Каин, фэуриторул тутурор унелтелор де арамэ ши де фер. Сора луй Тубал-Каин ера Наама.
010417013c	Ламех а зис невестелор сале: „Ада ши Цила, аскултаць гласул меу! Невестеле луй Ламех, аскултаць кувынтул меу! Ам оморыт ун ом пентру рана мя Ши ун тынэр пентру вынэтэиле меле.
0104180088	Каин ва фи рэзбунат де шапте орь, Яр Ламех, де шаптезечь де орь кыте шапте.”
0104190135	Адам с-а ымпреунат ярэшь ку невастэ-са; еа а нэскут ун фиу ши й-а пус нумеле Сет; „кэч”, а зис еа, „Думнезеу мь-а дат о алтэ сэмынцэ ын локул луй Абел, пе каре л-а учис Каин”.
01041a00bf	Луй Сет и с-а нэскут ши луй ун фиу ши й-а пус нумеле Енос. Атунч ау ынчепут оамений сэ кеме Нумеле Домнулуй.
01050100bc	Ятэ картя нямурилор луй Адам. Ын зиуа кынд а фэкут Думнезеу пе ом, л-а фэкут дупэ асемэнаря луй Думнезеу.
01050200d5	Й-а фэкут парте бэрбэтяскэ ши парте фемеяскэ, й-а бинекувынтат ши ле-а дат нумеле де „ом” ын зиуа кынд ау фост фэкуць.
01050300bf	Ла вырста де о сутэ трейзечь де ань, Адам а нэскут ун фиу дупэ кипул ши асемэнаря луй ши й-а пус нумеле Сет.
0105040086	Дупэ наштеря луй Сет, Адам а трэит опт суте де ань ши а нэскут фий ши фийче.
010505009c	Тоате зилеле пе каре ле-а трэит Адам ау фост де ноуэ суте трейзечь де ань, апой а мурит.
0105060059	Ла вырста де о сутэ чинч ань, Сет а нэскут пе Енос.
0105070093	Дупэ наштеря луй Енос, Сет а май трэит опт суте шапте ань ши а нэскут фий ши фийче.
0105080081	Тоате зилеле луй Сет ау фост де ноуэ суте дойспрезече ань, апой а мурит.
0105090060	Ла вырста де ноуэзечь де ань, Енос а нэскут пе Каинан.
01050a00a7	Дупэ наштеря луй Каинан, Енос а май трэит опт суте чинчспрезече ань ши а нэскут фий ши фийче.
01050b0075	Тоате зилеле луй Енос ау фост де ноуэ суте чинч ань, апой а мурит.
01050c006e	Ла вырста де шаптезечь де ань, Каинан а нэскут пе Махалалеел.
01050d00b2	Дупэ наштеря луй Махалалеел, Каинан а май трэит опт суте патрузечь де ань ши а нэскут фий ши фийче.
01050e0079	Тоате зилеле луй Каинан ау фост де ноуэ суте зече ань, апой а мурит.
01050f0076	Ла вырста де шайзечь ши чинч де ань, Махалалеел а нэскут пе Иаред.
01051000ae	Дупэ наштеря луй Иаред, Махалалеел а май трэит опт суте трейзечь де ань ши а нэскут фий ши фийче.
010511009a	Тоате зилеле луй Махалалеел ау фост де опт суте ноуэзечь ши чинч де ань, апой а мурит.
0105120074	Ла вырста де о сутэ шайзечь ши дой де ань, Иаред а нэскут пе Енох.
0105130091	Дупэ наштеря луй Енох, Иаред а май трэит опт суте де ань ши а нэскут фий ши фийче.
010514008e	Тоате зилеле луй Иаред ау фост де ноуэ суте шайзечь ши дой де ань, апой а мурит.
0105150070	Ла вырста де шайзечь ши чинч де ань, Енох а нэскут пе Метусала.
01051600aa	Дупэ наштеря луй Метусала, Енох а умблат ку Думнезеу трей суте де ань ши а нэскут фий ши фийче.
0105170071	Тоате зилеле луй Енох ау фост трей суте шайзечь ши чинч де ань.
0105180089	Енох а умблат ку Думнезеу, апой ну с-а май вэзут, пентру кэ л-а луат Думнезеу.
0105190080	Ла вырста де о сутэ оптзечь ши шапте де ань, Метусала а нэскут пе Ламех.
01051a00b8	Дупэ наштеря луй Ламех, Метусала а май трэит шапте суте оптзечь ши дой де ань ши а нэскут фий ши фийче.
01051b0096	Тоате зилеле луй Метусала ау фост де ноуэ суте шайзечь ши ноуэ де ань, апой а мурит.
01051c0072	Ла вырста де о сутэ оптзечь ши дой де ань, Ламех а нэскут ун фиу.
01051d0110	Ел й-а пус нумеле Ное, зикынд: „Ачеста не ва мынгыя пентру остеняла ши труда мынилор ноастре, каре вин дин ачест пэмынт, пе каре л-а блестемат Домнул.”
01051e00b0	Дупэ наштеря луй Ное, Ламех а май трэит чинч суте ноуэзечь ши чинч де ань ши а нэскут фий ши фийче.
01051f0098	Тоате зилеле луй Ламех ау фост де шапте суте шаптезечь ши шапте де ань, апой а мурит.
0105200072	Ное, ла вырста де чинч суте де ань, а нэскут пе Сем, Хам ши Иафет.
0106010096	Кынд ау ынчепут оамений сэ се ынмулцяскэ пе фаца пэмынтулуй ши ли с-ау нэскут фете,
01060200e4	фиий луй Думнезеу ау вэзут кэ фетеле оаменилор ерау фрумоасе ши дин тоате шь-ау луат де невесте пе ачеля пе каре ши ле-ау алес.
010603010f	Атунч, Домнул а зис: „Духул Меу ну ва рэмыне пуруря ын ом, кэч омул ну есте декыт карне пэкэтоасэ; тотушь, зилеле луй вор фи де о сутэ доуэзечь де ань.”
0106040166	Уриаший ерау пе пэмынт ын времуриле ачеля ши кяр ши дупэ че с-ау ымпреунат фиий луй Думнезеу ку фетеле оаменилор ши ле-ау нэскут еле копий; ачештя ерау витежий каре ау фост ын векиме, оамень ку нуме.
010605010a	Домнул а вэзут кэ рэутатя омулуй ера маре пе пэмынт ши кэ тоате ынтокмириле гындурилор дин инима луй ерау ындрептате ын фиекаре зи нумай спре рэу.
0106060087	Й-а пэрут рэу Домнулуй кэ а фэкут пе ом пе пэмынт ши С-а мыхнит ын инима Луй.
0106070142	Ши Домнул а зис: „Ам сэ штерг де пе фаца пэмынтулуй пе омул пе каре л-ам фэкут, де ла ом пынэ ла вите, пынэ ла тырытоаре ши пынэ ла пэсэриле черулуй, кэч Ымь паре рэу кэ й-ам фэкут.”
0106080049	Дар Ное а кэпэтат милэ ынаинтя Домнулуй.
01060900cf	Ятэ каре сунт урмаший луй Ное. Ное ера ун ом неприхэнит ши фэрэ патэ ынтре чей дин время луй: Ное умбла ку Думнезеу.
01060a0047	Ное а нэскут трей фий: Сем, Хам ши Иафет.
01060b0086	Пэмынтул ера стрикат ынаинтя луй Думнезеу; пэмынтул ера плин де силничие.
01060c00c5	Думнезеу С-а уйтат спре пэмынт ши ятэ кэ пэмынтул ера стрикат, кэч орьче фэптурэ ышь стрикасе каля пе пэмынт.
01060d012f	Атунч, Думнезеу а зис луй Ное: „Сфыршитул орькэрей фэптурь есте хотэрыт ынаинтя Мя, фииндкэ ау умплут пэмынтул де силничие; ятэ, ам сэ-й нимическ ымпреунэ ку пэмынтул.
01060e00f8	Фэ-ць о корабие дин лемн де гофер (кипарос); корабия ачаста с-о ымпарць ын кэмэруце ши с-о тенкуешть ку смоалэ пе динэунтру ши пе динафарэ.
01060f00db	Ятэ кум с-о фачь: корабия сэ айбэ трей суте де коць ын лунӂиме, чинчзечь де коць ын лэциме ши трейзечь де коць ын ынэлциме.
01061000fd	Сэ фачь корабией о ферястрэ, сус, латэ де ун кот; уша с-о пуй ын латура корабией ши сэ фачь ун рынд де кэмэрь жос, алтул ла мижлок ши алтул сус.
0106110111	Ши ятэ кэ Еу ам сэ фак сэ винэ ун потоп де апе пе пэмынт, ка сэ нимичяскэ орьче фэптурэ де суб чер каре аре суфларе де вяцэ; тот че есте пе пэмынт ва пери.
01061200d2	Дар ку тине фак ун легэмынт: сэ интри ын корабие, ту ши фиий тэй, невастэ-та ши невестеле фиилор тэй ымпреунэ ку тине.
0106130112	Дин тот че трэеште, дин орьче фэптурэ, сэ ей ын корабие кыте доуэ дин фиекаре сой, ка сэ ле ций вий ку тине: сэ фие о парте бэрбэтяскэ ши о парте фемеяскэ.
0106140137	Дин пэсэрь дупэ союл лор, дин вите дупэ союл лор ши дин тоате тырытоареле де пе пэмынт дупэ союл лор, сэ винэ ла тине ынэунтру кыте доуэ дин фиекаре сой, ка сэ ле ций ку вяцэ.
01061500c5	Ши ту я-ць дин тоате букателе каре се мэнынкэ ши фэ-ць меринде дин еле, ка сэ-ць служяскэ де хранэ цие ши лор.”
0106160063	Аша а ши фэкут Ное: а фэкут тот че-й порунчисе Думнезеу.
01070100e4	Домнул а зис луй Ное: „Интрэ ын корабие, ту ши тоатэ каса та, кэч те-ам вэзут фэрэ приханэ ынаинтя Мя ын нямул ачеста де оамень.
010702016f	Я ку тине кыте шапте перекь дин тоате добитоачеле курате, кыте о парте бэрбэтяскэ ши кыте о парте фемеяскэ; о переке дин добитоачеле каре ну сунт курате, кыте о парте бэрбэтяскэ ши кыте о парте фемеяскэ,
0107030125	ши кыте шапте перекь, де асеменя, дин пэсэриле черулуй, кыте о парте бэрбэтяскэ ши кыте о парте фемеяскэ, пентру ка сэ ле ций вие сэмынца пе тоатэ фаца пэмынтулуй.
0107040133	Кэч, дупэ шапте зиле, вой фаче сэ плоуэ пе пэмынт патрузечь де зиле ши патрузечь де нопць ши вой штерӂе астфел де пе фаца пэмынтулуй тоате фэптуриле пе каре ле-ам фэкут.”
0107050044	Ное а фэкут тот че-й порунчисе Домнул.
0107060069	Ное ера де шасе суте де ань кынд а венит потопул пе пэмынт.
01070700c7	Ши Ное а интрат ын корабие ку фиий сэй, ку невастэ-са ши ку невестеле фиилор сэй, дин причина апелор потопулуй.
01070800b2	Дин добитоачеле курате ши дин добитоачеле некурате, дин пэсэрь ши дин тот че се тырэште пе пэмынт,
01070900e9	ау интрат ын корабие ла Ное, доуэ кыте доуэ, кыте о парте бэрбэтяскэ ши кыте о парте фемеяскэ, аша кум порунчисе Думнезеу луй Ное.
01070a0067	Дупэ челе шапте зиле, ау венит апеле потопулуй пе пэмынт.
01070b0150	Ын анул ал шасе сутеля ал веций луй Ное, ын луна а доуа, ын зиуа а шаптеспрезечя а луний, ын зиуа ачея, с-ау рупт тоате извоареле адынкулуй челуй маре ши с-ау дескис стэвилареле черурилор.
01070c0074	Плоая а кэзут пе пэмынт патрузечь де зиле ши патрузечь де нопць.
01070d00e6	Ын ачеяшь зи ау интрат ын корабие: Ное, Сем, Хам ши Иафет, фиий луй Ное, неваста луй Ное ши челе трей невесте але фиилор луй ку ей;
01070e015d	ей ши тоате фяреле кымпулуй дупэ союл лор, тоате вителе дупэ союл лор, тоате тырытоареле каре се тырэск пе пэмынт дупэ союл лор, тоате пэсэриле дупэ союл лор, тоате пэсэрелеле, тот че аре арипь.
01070f009d	Ау интрат ын корабие ла Ное, доуэ кыте доуэ, дин орьче фэптурэ каре аре суфларе де вяцэ.
0107100126	Челе каре ау интрат ерау кыте о парте бэрбэтяскэ ши кыте о парте фемеяскэ, дин орьче фэптурэ, дупэ кум порунчисе Думнезеу луй Ное. Апой, Домнул а ынкис уша дупэ ел.
01071100da	Потопул а фост патрузечь де зиле пе пэмынт. Апеле ау крескут ши ау ридикат корабия, ши еа с-а ынэлцат дясупра пэмынтулуй.
01071200a6	Апеле ау ажунс марь ши ау крескут фоарте мулт пе пэмынт, ши корабия плутя пе дясупра апелор.
01071300bd	Апеле ау ажунс дин че ын че май марь ши тоць мунций ыналць, каре сунт суб черул ынтрег, ау фост акопериць.
0107140094	Ку чинчспрезече коць с-ау ынэлцат апеле дясупра мунцилор, каре ау фост акопериць.
01071500e9	Ши а перит орьче фэптурэ каре се мишка пе пэмынт, атыт пэсэриле, кыт ши вителе ши фяреле, тот че се тыра пе пэмынт ши тоць оамений.
01071600a9	Тот че рэсуфла, тот че авя суфларе де дух де вяцэ ын нэрь, тот че ера пе пэмынтул ускат а мурит.
