2800000005	Mateu
28020100a7	Jesu abana kuleiwa mu mulenen̄i no Betelehema mu tolopo no Judeya, mu nako no mbumu Heloda. Ba nako eyo alume anjili no kushangama naku upa sebeli aiya mu Jelusalema.
280202009a	Cwale sebeli aibanguta nji, “Kubine ali woyo ona leiwa ombumu no Majuda? Natu mono olutungweti lwaye aba lunapi ku upa, mi natwiyi nji tumu kubamene.”
2802030062	Cwale mbumu Heloda aba ana kuyupa ngeeso, sebeli otina onene, bamweya naanu onje na mu Jelusalema.
2802040087	Cwale sebeli oisana akulu no apulisita na iyeti no mulawo, sebeli waa ibanguta nji, “Kubine oko afanena oku leyelwa woyo Kilesite?”
2802050078	Sebeli atambula nji, “Mu mulenen̄i no Betelehema mu Judeya,” kakuli yokame ina kun̄oliwa kwa munuhi wa Nyambe nji,
28020600b2	‘Kono wene Betelehema mu naha ya Juda, kame ukwite outokwa mukaci no titolopo ta Juda, kakuli mukaci no tolopo yowe mbaku tundu omubusi woyo so lisa aanu ange namu Isilaele.’
2802070071	Cwale Heloda sebeli oisana alume no kushangama ku mukunda ni kwaibanguta enako luna kumonahala oweli olutungweti.
2802080091	Mi sebeli waa tuma ku Betelehema nji, “Mute muka saisise wino woyo olukeke. Mi aba sa mumuwane munisimwete nji ni mene nite nika mukubamene.”
28020900c2	Cwale aba ana kuyupa oku tundelela kwa mbumu, sebeli akutela endila yoo, mi olutungweti olo ana kumono ku upa sebeli lwaa enda ku lubala konji aba luna kwimana ba sibaka aba ana kwikala olukeke.
28020a0034	Aba ana kumona olutungweti, sebeli awabelelwa onene.
28020b00c3	Aba ana kwingena mu ndoo, sebeli amona olukeke ni inawaye Maliya, mi sebeli akubama banji ni kumulapela. Cwale sebeli ayatulula mu mikotana yoo ni kutundisamo etituwelo no Gauda, incense ni Mala.
28020c007e	Munyima no kulemusiwa kwa Nyambe mu tolo nji alese oku ukela kwa Heloda, sebeli auka ku litunga lyoo oukutusisa endila indina.
28020d0115	Aba ana mana okuta ano kushangama, ababo elingeloi lya Mbumu sebeli limonahala kwa Josefa mu kulota. Mi sebeli lyamba nji, “Inguka! Olonde olukeke ni inawaye, oshotokele ku Egepita mi okaikalako konji abasa ni kwambele nji uuke kakuli Heloda mba saele olukeke nji alwibae.”
28020e005f	Josefa sebeli oinguka ni kulonda olukeke ni inawaye mu nako no usiku ni kushotokela ku Egepita.
28020f00d6	Sebeli aka ikalakoko okubitela abo ana kufela Heloda. Eyi yonje nai kutendahala okwiyateteta eyo ina kwambiwa kwa Mbumu, kutundelela kwa munuhi wa Nyambe nji, “Inaisana mwanange no mulume, okutunda mu Egepita.”
280210014a	Cwale Heloda aba ana kulemuha nji ano kushangama na moongo, sebeli otina onene. Mi sebeli otuma aanu nji aibae anuke no andumana onje mu Betelehema mane sebeli aibaa naana no awo ana kwikalanga noo awo ana kukeela ba myaka yiili okutwala kunji, okukon̄elela omo ana kuyupela kwawo no kushangama enako luna kumonahala olutungweti.
280211004e	Mu ndila eyi yakwiyateteta kale eyo ana kwamba omunuhi wa Nyambe Jelemiya nji,
2802120097	“Esitumena sebeli siyupahala mu Lama, okulila ni kutenda esililo sinene. Lahele yo lilela anaye, mi ni mukana okumu omba-omba, kakuli anaye naafu.”
2802130068	Munyima no kufa kwa Heloda, ababo elingeloi lya Mbumu sebeli liku monahaza kwa Josefa ku tulo mu Egepita
2802140086	ni kwamba nji, “Inguka, oshimbe omwana ni inawaye, muukele ku litunga no Isilaele, kakuli awo ana saelanga okwibaa olukeke naafi.”
2802150058	Cwale sebeli oinguka, ni kushimba olukeke ni inawaye, ni kuukela ku litunga no Isilaele.
28021600b7	Kono Josefa aba ana kuyupa nji Akelausi nashwana sitaye Heloda okutenda ombumu no Judeya, sebeli ocila okutako. Mulibaka no kubiwa emamela ku tulo, sebeli ota mu sikiliti no Galileya.
2802170085	Sebeli okayoya mu sibaka siisaniwa Nazaleta, abonji kwiyatetetwe eyo ana kwamba asikunuha a Nyambe nji, “Mbaisaniwa omunazaleta.”
280301005e	Ba nako eyo Jowani omukolobezi sebeli ota mu lihalaupa no Judeya yo kutaza eliywi yo amba nji,
2803020037	“Mubake kakuli omubuso na kuwilu sebeli oli beebi!”
28030300ae	Uyu yokame woyo ona kwambiwa kwa munuhi wa Nyambe Isaya nji, “Eliywi no munjili kame liisana mu lihalaupa, ‘Mulukise endila ya mbumu, mutende endila no koloka yaye!’”
28030400b3	Eikumango ya Jowani kame ina kutendiwa ba woya no tikamele, mane kame ana kwikalanga ni lukanda no situmba yo tingile mu mbunda yaye, Eilya yaye neli timbimba ni uki namu mushitu.
2803050080	Elikwanamunu sebeli liiya kwa yonyene okutunda mu Jelusalema ni mu Judeya, mane ni mwibaka yonje ikubapile ni musindi no Jodani.
2803060044	Oukwaamba ouyi woo, mi sebeli wakolobeza mu musindi wisaniwa Jodani.
28030700d0	Kono aba ana kumona ano kupula no Afalisi na Saduki aiya kwa yonyene nji aakolobeze, sebeli wamba kwa onyene nji, “Anyi aana no tinyoka! Anyine ona kumyambela nji mushotoke okutweba kwa Nyambe oku sakwiiye?
2803080035	Cwalehe mutende einu eyi imonisa okubaka ku uyi wenu.
28030900b4	Mi mulese oku nahana nji kame samu yoyisiwe mukwamba nji kame muli ni Abulahama kanyi sitenu. Kame ni myambela nji Nyambe kame atwesa okufutula amawee aa okwatenda anaye Abulahama!
28030a00a1	Esamu kame silukisitwe ni kutatelela okupatula emibisi no sitondo, cwale nji esitondo sonje no kwabeeka embuya no kuwaba, mbasi patuliwa ni kukondelwa mu mulilo.
28030b00ea	Kame ni mi kolobeza ni meyi okumonisa nji namu baka, kono munyima yange mba kwiiyi woyo okwite amaata okubita mene nji mane simba etikwele no tinjatangwa taye kani fanene okutinungutula mbami kolobeze ni Mebo No Kukena mane ni mulilo.
28030c00a3	Enumbi yaye kame ili mu maoko aye mi mba fiyele esibaka saye abo ana fulele oubeke waye mi mba waneke ouloto mu sishete ni kucin̄a omuuku ni mulilo no kwatima.”
28030d007c	Ba nako eyo Jesu sebeli oiya okutunda mu tolopo ya Galileya okwiiya ku musindi wa Jodani okwiiya muku kolobeziwa kwa Jowani.
28030e0079	Kono Jowani sebeli weteka okukana nji, “Iikene aba wiiya kwa mene nji ni ku kolobeze? Time nifanena okwiya kwa wene!”
28030f0096	Kono Jesu sebeli otambula nji, “Kutendiwe yongeso ba nako ino. Bakutenda ngeeso bokame satwiyatetetwe okuluka konje.” Cwale Jowani sebeli opumena.
28031000b3	Ababo Jesu aba ana kumana okukolobeziwa, sebeli otunda mu meyi. Cwale eliwilu sebeli liyatuluka, mi sebeli omona Emebo ya Nyambe eishetumuka musibumbiwa no Nkwilimba ni kumwikala.
280311007c	Cwale eliywii sebeli liyupahala okutunda kuwilu okwamba nji, “Uyu yo mwanage woyo ni singa, kwa yonyene kame niwabelwa.”
2804010055	Cwale Emebo ya Nyambe sebeli itwaletela Jesu mu lihalaupa mukwetekiwa kwa Diyabulosi.
2804020070	Munyima no ukuyumena eilya mu maywaa no kukwana makumi anee ni usiku no kukwana makumi anee, Jesu sebeli oyomba.
2804030082	Cwale omweteki sebeli oiya kwa yonyene ni kumwambela nji, “Nji kame uli mwanaye Nyambe, wambele amawee aa nji atende esinkwa.”
28040400ab	Kono Jesu sebeli otambula nji, “Nakuku n̄oliwa mu man̄olo nji, ‘Omunu katamba okuyoya kweyo no kulya fela, kono ku liywi lyonje eli litunda mu kanwa ka Nyambe.’”
2804050072	Cwale Diyabulozi sebeli omutwala mu Jelusalema, omulenen̄i no kukena, nuka mutuleka ba mongola no Ndoo ya Nyambe,
28040600e9	ni kwamba kwa yonyene nji, “Nji kame uli mwanaye Nyambe, omatukele banji. Nakuku n̄oliwa mu man̄olo nji, ‘Mba laele amangeloi aye mulibaka lyowe, nji akwakele mu maoko oo, nji simba amakondo owe alese oukulemeka ku mawee.’”
2804070075	Cwale Jesu sebeli omutambula nji, “Nakuku n̄oliwa mu man̄olo kame nji, ‘Ulese okweteka Mbumu Nyambe wowe.’”
2804080068	Kame Diyabulozi sebeli omutwala ba lilundu no kuleba nukamumonisa emibuso no litunga yonje ni uwa walyo,
2804090051	sebeli omwambela nji, “Eyi yonje mbani kubi, nji uni kubamena niku nilapela.”
28040a009a	Cwale Jesu sebeli otambula nji, “Otunde kwa mene Satani, naku kun̄oliwa mu man̄olo nji, ‘Olapele Mbumu Nyambe wowe mi obelekele yonyene feela!’”
28040b0046	Cwale Diyabulosi sebeli omusiya, mi amangeloi sebeli aiya muku mutusa.
28040c0060	Cwale Jesu aba ana kuyupa nji Jowani nabekiwa mu mutolongo, sebeli oukela mu tolopo no Galileya.
28040d0083	Jesu sebeli otunda mu Nazaleta, nukayaka mu kapenauma omundi oli ku munanga no lisa lya Galileya mwikiliti ya Zebuloni ni Nafetali.
28040e004f	Nakutenda ngeeso okwiyateteta eso sina kwambiwa kwa munuhi wa Nyambe Isaya nji,
28040f0074	“Wene esikiliti no Zebuloni ni Nafetali, mu ndila no liwate, mu linjaliya lya Jodani, Galileya, woyo no asimacaba!
2804100079	Aanu awo ayoya mu uwi na mono eliseli linene. Naawo ayoya mu naha no mwinda no lufu, eliseli na limonahala kwa onyene.”
280411006c	Kutunda eyo nako Jesu sebeli otateka okukutaza nji, “Mubake, kakuli omubuso na kuwilu sebeli uli beebi.”
28041200d1	Abo Jesu aba ana kwendanga kunyonga no Liwate no Galileya, sebeli omona alume ayiili Simoni woyo wisaniwa nji Pitolosi ni minaye Andiliasi. Kame ana lemanga oku kondela otunyandi too mu Lisa kakuli neli andui.
2804130051	Jesu sebeli wamba nji, “Komwiye muni kon̄e mi mbani mitende ayambi no aanu.”
2804140030	Ababo sebeli asiya otunyandi too ni kumu kon̄a.
280415009f	Cwale aba ana kusheteta ku lubala, sebeli omona Jakobo ni minaye Jowani aana a Zebedeya. Aikalile mu wato alemine okulukisa otunyandi too, mi sebeli waa isana.
2804160035	Cwale ababo sebeli asiya owato ni sitoo okumu kon̄a.
28041700ae	Jesu sebeli ota mu Galileya monje, yo lemine okusimweta mu tindoo no milapelo ni kupaka eyi no ebangeli no kuwaba eyi no mubuso. Mane kame ana kubalisa aanu ku meeti oo onje.
28041800e6	Elibubo lyaye sebeli liyupahala mu ibaka yonje no Siliya, mi aanu sebeli alita kwa yonyene awo onje ana kutomanga ameeti no kusiyana, awo ana kwikalanga ni madimona, oweeti no kukwa ni awo no kombola etinyutu mi sebeli waa balisa.
280419008b	Eli kwanamunu eli lina kutunda, mu Galileya, mu Dakapolisi, mu Jelusalema, mu Judeya ni mu naha na mulinjaliya lya Jodani sebeli amukon̄a.
280501007f	Cwale Jesu aba ana kumona elikwanamunu elimukon̄a, sebeli ota ba lilundu nuukekala banji, aiyetwa aye sebeli aiya kwa yonyene.
2805020020	Ababo sebeli otateka okwa iyeta.
2805030049	“Embuyoti ni yaawo ashebile mu micima, kakuli omubuso na kuwilu ni woo.
280504002f	Embuyoti ni yaawo alila, kakuli mba ombaombiwa.
280505003b	Embuyoti ni yaawo aa sikukushuwa kakuli mba yoola elitunga.
2805060052	Embuyoti ni yaawo afile elishebo nawo afile elinyotwa no kuluka, kakuli mba ikuta.
2805070036	Embuyoti ni yaawo ali ni sishemo kakuli mba shemubiwa.
280508003e	Embuyoyi ni yaawo akenine mu micima kakuli mba ka mono Nyambe.
2805090040	Embuyoti ni yaawo alita ekozo, kakuli mba isaniwa aana a Nyambe.
28050a0052	Embuyoti ni yaawo a yandisiwa mulibaka no kuluka, kakuli omubuso naku wilu ni woo.
28050b0080	Emboyoti ni yenu aba mwangoliwa, muyandisiwa ni ku minungelela eyi no mapwa neyi no kwiiba mu mifuta yayo yonje mulibaka lyange.
28050c0086	Muwabelwe mi munyakalale, kakuli omupuzo munene niwenu ku wilu. Mundila imweya ana kuyandisa anuhi a Nyambe awo ana kwikalako ba weli.
28050d00a5	“Kame muli omungwa no litunga. Kono nji omungwa nau amuba, ngasibine sau usetwe nji umamate kame? Kau kwite tuso konji abasau yumbiwe feela banji mi aanu alyatebo.
28050e005c	“Kame muli eliseli no litunga. Omulenen̄i ou uyakilwe ba lilundu kau kwangwa okumonahala.
28050f008d	Kakwisa omunu otumbula elambi ni kwibeeka munji no tubana. Abo cwale kame saibeeke ba lutala lwayo nji ilite eliseli kwaanu onje ali mu ndoo.
280510006f	Mundila imweya mulesele eliseli lyenu limonyeke kwa kwenu, nji amone ouwa mutenda mi akanyise sitenu na kuwilu.
2805110097	“Mulese oku yambuta nji kame ninaiyi muku kandakanda emilawo ya Mushe simba etuto no anuhi a Nyambe. Kani siiya mukwa kandakanda kono muku iyateteta.
280512008a	Niti luli kame nimyambela nji, simba esipeleta sicana no mulawo mbasi iyatetetwe mi kaitamba kusinyeha eliwilu ni litunga ekayasibwa kale.
28051300f2	Abo cwale woyo yonje socola einjili kweeti etitaelo ni kwiyeta akwaye okutenda ngeeso mba tendiwa munyonyo mu mubuso naku wilu. Kono woyo yonje okuteka etitaelo ni ku simweta akwaye okutenda ngeeso mba tendiwa no kuneneba mu mubuso na kuwilu.
280514009a	Kame ni myambela nji, okuluka kwenu kame ku fanena okubita okuluka no aiyeti no mulawo na Falisi, nji kasa ngeeso ka mutamba kwingena mu mubuso na kuwilu.
2805150065	“Na muyupu nji nai kwambiwa kwanu naku kale nji, ‘Ule kwibaa mi woyo oibaa mba fanene okwatuliwa.
28051600ab	Kono kame nimyambela nji omunu kame atinena omukwaye, mba tuliwa. Nji omunu kame angula omukwaye “Wene omwelo!” mba atuliwa mu kuta ni kuyumbeliwa mu mulilo no lihele.
280517004f	Cwalehe aba ulita empo yowe ba aletale, mi wapuluka kale nji nu foseze omukowe,
2805180066	usiye empo yowe ba lubala no aletale, mi uuke oweli muka kuuse ni mukowe. Cwale wiye obeeke empo yowe.
28051900d8	Nji omunu kame asinga oku kutwala ku kuta mukwambote ababo anyi musili mu ndila. Nji kamutende ngeseo mbaku beeke mu maoko no mwatuli mi yonyene aka kubeeke mu maoko no mupolisa woyo ofanena okuku yumbela mu tolongo.
28051a005f	Luli kame ni myambela nji, kutamba kutundamo konji aba sautenekele omubonda wowe no mamaneneno.
28051b003a	“Na muyupu naku kwambiwa nji, ‘Mule kutenda owozwa.’
28051c006e	Kono kame ni myambela nji, omunu yonje woyo waliketa omukati niku mulakaza natende owozwa naye mu mucima waye.
28051d00d0	Cwale nji elitiyo lyowe no silyo kame likutendisa ouyi oli tundise ni kuliyumbela oku no kuleba. Mba kwikala wino nji utaukelwe esilama simweya no lutu lowe, kasa nji olutu lowe lonje lukayumbeliwe mu lihele.
28051e00c0	Cwale nji elyoko lyowe no silyo kame likutendisa ouyi oli patuleko ni kuliyumbela oku no kuleba. Mba kwikala wino nji utaukelwe esilama simweya kasa nji olutu lowe lonje lukabeekiwe mu lihele.
28051f0074	“Naku kwambiwa nji, ‘Omulume yonje woyo olukulula omukataye kame afanena okumun̄olela elin̄olo no tukuluho.’
28052000fc	Kono kame ni myambela nji, cwale nji omulume kame alukulula omukataye mulibaka no mubonda mundina kasa ou no wozwa, kame ali ni mubonda ou nokumulitela nji atende omubonda no wozwa, mi omulume woyo okwata omukati woyo ona lukululwa, kame atenda owozwa.
2805210095	“Namuyupu kame nji aanu nakwambeliwa kunyima nji, ‘Mulese kucola oukwamanyinga wenu, kono mwiyatetete oukwamanyinga wenu ou mutenda kwa Mbumu.’
2805220092	Kono bano kame nimyambela nji, mule oukutusisa oukwamanyinga aba mutenda etisepiso tonje. Mule okweeta neyi no liwilu kakuli ni lubona lwa Nyambe.
28052300a0	Mi kame mule okweeta neyi no litunga kakuli ni sibaka aba lyatile amakondo aye, mi kame mule okweeta neyi no Jelusalema kakuli ni mulenen̄i ou no Mbumu munene.
2805240079	Mule kweeta simba eyi no mutwi wenu kakuli kamutwese okufutula etin̄uki tenu nji titende etino likena simba etino wiilu.
280525009b	Mwambe felea eeni nji kame mutalusa ‘Eeni’ simba ‘Kokuulwa’ aba mutalusa kokuulwa kakuli aba mubitelela okwamba eyo kame itunda kwa woyo no kwiiba.
280526004c	“Namu yupu nji, naku kwambiwa nji, ‘Elitiyo ku litiyo, elyeo ku lyeo.’
28052700a4	Kono bano kame ni myambela nji, mulese okulwisa omunu woyo ona mitende ouyi. Kono nji omunu naku bakula olubaka ku litama no silyo omube abakule kame neli no simoo.
2805280055	Mi nji omunu kame akutwala ku kuta nji ashimbe ehembe, omulese ashimbe ni baki yonje.
280529006b	Cwale nji omunu kame aku kandimeka okushimba omushimbo waye esibima simweya, wene omushimbele eibima yiili.
28052a0069	Cwale omunu aba aku kumbela esinu, omubeso, nji omunu kame asinga oku kalima esinu kwa wene, omukalimise.
28052b0051	“Namu yupu nji nai kwambiwa nji, ‘Osinge alikani owe, mi otimbe eila yowe.’
28052c0058	Kono bano kame nimyambela nji, ‘Osinge eila yowe mi olapelele awo alemine oukuyandisa.
28052d00b6	Aba utenda ngeeso mbutende mwanaye sitowe naku wilu, kakuli eliywaa lyaye kame libenya ku munu no kwiiba ni woyo no kuwaba, ombula waye kame aloka kwawo no kwiiba ni kwawo no kuwaba.
28052e0063	Iikene eyo samubelwe omupuzo nji kame musinga felea awo amisinga? Na telisi kame atendanga yongeso!
28052f005e	Cwale nji kame utambula alikani owe feela, kubine obitela akowe? Asimacaba mwatendela yongeso!
280530005d	Kame mufanena okutenda ano kupetahala kanyi sitenu naku wilu aba atendile woyo no kupetahala.
280601009a	“Mumamele! Aba mutenda einu no kuwaba mulese ouku monisa kwaanu nji amone eyi mutenda. Aba mutenda ngeeso kamutamba kubiwa omupuzo kwa sitenu naku wilu.
28060200ca	“Cwale aba muba kwawo aulwile mulese ouku monisa nji nubi kanyi omo atendela asikukuba mu tindoo no milapelo nimu tindila nji abubekwe kwaanu. Niti luli kame nimyambela nji, atambula kale omupuzo woo.
2806030076	Kono cwale aba muba kwawo aulwile mumone nji elikaa lyenu no simoo lilese okulimuka eyi litenda elikaa lyenu no silyo.
2806040074	Cwale nji okuba kwenu kutende naku mukunda, cwale abo sitenu woyo omwine eyi itendahala ku mukunda mba mibi omupuzo.
28060500d7	“Cwale aba mulapela mule kutenda kanyi omo atendela asikukuba kakuli kame asinga okwimana mu tindoo no milapelo ni mu tindila okulapela nji amoniwe kwaanu. Niti luli kame ni myambela nji atambula kale omupuzo woo.
28060600a0	Kono aba mulapela mwingene ku muzuzu ni kuyatilako esaandi cwale mulapele kwa Sitenu woyo oli kumukunda, woyo omwine eyi itendahala ku mukunda mba mibi omupuzo.
28060700b3	“Mi aba mulapela mulese okwamba amaywi no kupula no kwayupahala kanyi omo atendela aanu no kwalimuka Nyambe, kakuli kame ayabuta nji okubinda sayupiwe aba amba amaywi no kupula.
2806080056	Mulese okwaafeka kakuli Sitenu kame limukile eyi musaela anyi akamwa simukumbela kale.
2806090052	Cwale kame mufanena okulapela ngeesi, ‘Sitetu naku wilu, kulumbiwe elitina lyenu
28060a0059	kwiiye omubuso wenu, esi sisaeliwa kwa wene sitediwe banji, kanyi omo sitendeliwa kuwilu.
28060b0027	Otube balelo esilyanu setu eso tusaela,
28060c0041	Otulemene emibonda yetu, kanyi omo tulemenanga awo sikutu foseza.
28060d0045	Ole kutu ingenyeka mu miliko, kono utulamulele kwa woyo no kwiiba.’
28060e005f	“Cwale nji kame mulemena akwenu kweyo no kwiiba ana mitende ni sitenu naku wilu mba milemene.
28060f004e	Kono nji kamulemene akwenu, ni sitenu naku wilu katamba kumi lemena ouyi wenu.
28061000f2	“Cwale aba muku yumena eyi no kulya, mulese okusosobanisa mul ubala lwenu, kanyi omo atendela asikukuba. Kame amonisa nji kame ayandile nji alimukiwe nji kame ali bouku yumena eilya. Niti luli kame ni myambela nji atambula kale omupuzo woo.
280611004f	Cwale aba muku yumena eyi no kulya mukuyowe kulubala, mushakule etin̄uki tenu,
28061200a6	nji akwenu alese okulimuka nji kame muku yumena eyi no kulya, konji sitenu woyo oli nenu ku mukunda. Mi sitenu woyo omwine eyi itendahala ku mukunda mba mibi omupuzo.
28061300a2	“Mulese okuungekela oufumu na muno mu litunga kakuli outwa mane ni mafumi kame itwesa oku usinya, mane bamweya ni ambuyi kame atwesa okucuula etindoo ni kwiita.
2806140085	Kono cwale mu kuungekele oufumu na mu wilu oko outwa ni mafumi kaitwese oku usinya, mane nambuyi katwese oku cuula etindoo ni kwiita.
280615004e	Kame nimyambela eyi, kakuli oko kuli oufumu wenu ni micima yenu kosa ikaikale.
2806160071	“Amiyo kame fekile kanyi elambi no lutu, nji amiyo owe kame amona wino, olutu lowe mba lwikala mu liseli lonje.
2806170080	Kono nji amiyo owe kamono wino, olutu lowe lonje mba lwiyala ouwi. Mi nji eliseli mwa wene ni uwi, babine saukume ouwi mwa wene?
28061800b7	“Kakwisa woyo otwesa oku belekela ambumu ayiili, kakuli mba timbibo mumweya mbasingi omunjili. Mba sepehala ku mumweya mi mba shwaula omunjili. Kautwese oku belekela Nyambe ni mali.
28061900fd	“Cwale abo kame nimyambela nji, mulese okubilaela neyo no kuyoya kwenu, simba eyisa mulye neyisa munwe, simba eyi no lutu lwenu eyisa mukumange. Kasanji okuyoya ni kwautokwa onene okubita esilya, simba olutu ni lwautokwa onene okubita eyi kumango nji?
28061a00b7	Kamumone otuyuni otu tutuka mu wilu katu limi, katu yangula mi katu teula mu ishete simba mu ituli kono sitenu naku wilu kame atu babalela. Kasanji kame muli ni tuso okubita otuyunyi?
28061b0057	Cwale mukaci kenu kwaali woyo sotwesa okubeeka ehola imweya kukuyoya kwaye mukubilaela?
28061c008d	“Cwale iikene aba mubilaela neyi no kukumanga? Kamumone etipalisa na mu mushitu omo tikulela. Kati beleke simba okutenda eikumango tonyene.
28061d0088	Kono kame ni myambela nji simba yonyene Solomoni ona kufuma onene mu umbumu waye kakwite eikumango no kuwaba kanyi eyinjili no tipalisa.
28061e00da	Nyambe yotwesa okufuka ngeeso omoopu na mu musitu, omoopu uliko balelo, byunda wakukuta kale ni kuuyumbela mu mulilo. Kandi katwese okumifuka ngeeo naanyi mane ni kubitelela? Kandi ngasibine omo icanibele etumelo yenu!
28061f005f	“Abo cwale mulese okubilaela okwamba nji, ‘Iikene satulye ni eyo satunwe neyi satu kumange.
2806200086	Kame namba ngeseo kakuli awo nokwa limuka Nyambe yasaela eyi yonje, mi sitenu naku wilu kame alimukile nji kame musaela inu eyi yonje.
2806210054	Oweli musaele eyi no mubuso wa Nyambe ni kuluka kwawo, cwale eyi yonje mba mwiibiwi.
280622008a	Cwale abo mulesele okubilaela eyi no byunda, kakuli eyi no byunda mba iiyi ni tipilaelo tayo. Eliywaa ni liywaa kame lili ni ubamba walyo.
2807010037	“Mulese okwatula akwenu nji, nanyi mulese okwatuliwa,
280702006f	Mundila imweya aba mwatula akwenu naanyi mba mwatuliwa, mi owiima mukutusisa kwa kwenu mba ikutusisiwa kwaanyi.
2807030073	Cwale iikene aba waliketa esopu sili mu litiyo lya mwabowe, kono kame ukwangwa okumona omusumo uli mu litiyo lyowe?
280704008a	Ngasibine wambela omwabowe nji ‘Kotumone ni kutundise esopu sili mu litiyo lyowe,’ kono enako yonje mu litiyo lyowe kame kuli omusumo.
2807050085	Wene osikukuba, oweli otundise omusumo oli mu litiyo lyowe, okubinda so mone wino mane ni kutundisa esopu sili mu litiyo lya mwabowe.
280706008d	“Mulese okuba einu no kukena kwaambwa tamba auka ni kumyuuma, mi mule kuyumbela einu yenu no utokwa ku tingulube tamba tiilyatingela feela.
280707005d	“Mukumbele mi mba mubiwi, musaele mi mba muwana mi mungongote omwelo mbau yatuluka kwaanyi.
2807080064	Omunu yonje woyo okumbela mba biwi, woyo osaela mba wana, kwa woyo ongongota omwelo mbau yatuleliwa.
280709004b	Anyine mukaci kenu woyo otwesa okuba mwanaye eliwee aba amukumbela esinkwa?
28070a0028	Simba oku muba enyoka aba akumbela ondi?
28070b008c	Cwale nji anyi no kwiiba mulimukile okuba anenu einu no kuwaba, ngasibine onene cwale eyi no kuwaba saabe sitenu nakuwilu kwawo amu kumbela?
28070c0088	“Mu inu yonje, mutende akwenu eyo musinga nji amitendele naanyi, kakuli eyi etaluso no mulawo wa Mushe mane ni tuto no anuhi a Nyambe.
