0100000007	Genesis
01011c00f1	Mulungu anawadalitsa nati kwa iwo, “Muberekane, muchulukane, mudzaze dziko lapansi ndipo muligonjetse. Mulamulire nsomba zamʼnyanja, mbalame zamlengalenga ndi cholengedwa chamoyo chilichonse chimene chimayenda mokwawa pa dziko lapansi.”
01011d00ce	Kenaka Mulungu anati, “Ine ndakupatsani chomera chilichonse cha pa dziko lapansi chimene chili ndi mbewu komanso mtengo uliwonse wobala zipatso zokhala ndi mbewu mʼkati mwake kuti zikhale chakudya chanu.
01011e00cc	Ndaperekanso msipu kwa nyama zonse za pa dziko lapansi ndi kwa mbalame zamlengalenga ndi kwa cholengedwa chamoyo chilichonse chimene chimakwawa, chilichonse chimene chili ndi moyo.” Ndipo zinachitikadi.
01011f0087	Mulungu anaona zonse zimene anazilenga kuti zinali zabwino kwambiri. Ndipo panali madzulo ndiponso mmawa, tsiku lachisanu ndi chimodzi.
0102010063	Motero kumwamba, dziko lapansi ndi zonse za mʼmenemo zinatha kulengedwa monga mwa kuchuluka kwawo.
0102020099	Pofika tsiku lachisanu ndi chiwiri Mulungu anamaliza ntchito zonse zimene ankagwira ndipo pa tsiku lachisanu ndi chiwiri anapumula ku ntchito zake zonse.
0102030094	Ndipo Mulungu anadalitsa tsiku lachisanu ndi chiwiri nalipatula, chifukwa pa tsiku limeneli Iye anapumula ku ntchito yonse yolenga imene anayigwira.
010204009e	Mbiri ya momwe kumwamba ndi dziko lapansi zinalengedwera pa tsiku lija Yehova Mulungu ankazilenga ndi iyi: Yehova Mulungu atapanga dziko lapansi ndi kumwamba,
01020500aa	zitsamba zinali zisanamere ndipo chomera chilichonse chinali chisanamerenso popeza Yehova Mulungu anali asanagwetse mvula pa dziko lapansi. Panalibe munthu wolima nthaka,
010206003e	koma kasupe ankatuluka mʼnthaka ndi kuthirira pa dziko lonse.
0102070080	Tsono Yehova Mulungu anawumba munthu kuchokera ku dothi nawuziramo mpweya wamoyo mʼmphuno mwake ndipo munthuyo anakhala wamoyo.
010208006b	Kenaka Yehova Mulungu anatsekula munda wa Edeni chakummawa; kumeneko anayikako munthu amene anamupanga uja.
01020900dc	Ndipo Yehova Mulungu anameretsa mʼmundamo mitengo ya mitundu yonse. Inali mitengo yokongola ndi ya zipatso zokoma. Pakati pa munda uja panali mtengo wopatsa moyo ndi mtengo wopatsa nzeru zodziwitsa chabwino ndi choyipa.
01020a0061	Mtsinje wothirira mundawo unkatuluka mu Edeni; kuchokera apo unkagawikana kukhala mitsinje inayi.
01020b0060	Dzina la mtsinje woyamba ndi Pisoni; uwu umazungulira dziko lonse la Havila, kumene kuli golide.
01020c0055	(Golide wa ku dziko ili ndi wabwino. Kulinso miyala yokongola ya bedola ndi onikisi).
01020d004c	Dzina la mtsinje wachiwiri ndi Gihoni; uwu umazungulira dziko lonse la Kusi.
01020e006f	Dzina la mtsinje wachitatu ndi Tigirisi; umayenda chakummawa kwa Asiriya. Ndipo mtsinje wachinayi ndi Yufurate.
01020f0060	Yehova Mulungu anatenga munthu uja ndi kumuyika mʼmunda wa Edeni kuti awulime ndi kuwusamalira.
0102100068	Ndipo Yehova Mulungu analamula munthu uja kuti, “Uzidya zipatso za mu mtengo wina uliwonse mʼmundamu;
0102110073	koma usadye zipatso za mu mtengo wodziwitsa chabwino ndi choyipa, popeza ukadzadya za mu mtengowu udzafa ndithu.”
0102120068	Ndipo Yehova Mulungu anati, “Sibwino kuti munthu akhale yekha. Ndidzamupangira mnzake womuthandiza.”
0102130101	Kenaka Yehova Mulungu anawumba ndi dothi nyama zonse zakuthengo ndi mbalame zonse zamlengalenga. Ndipo Iye anapita nazo kwa munthu uja kuti akazipatse mayina; ndipo dzina lililonse limene Adamu anapereka ku chamoyo chilichonse, lomwelo linakhala dzina lake.
010214008d	Choncho Adamu anazitcha mayina ziweto zonse, mbalame zamlengalenga ndi nyama zakuthengo zonse. Komabe munthu uja analibe mnzake womuthandiza.
010215009a	Tsono Yehova Mulungu anamugonetsa munthu uja tulo tofa nato; ali mtulo chomwecho, Mulungu anachotsa imodzi mwa nthiti zake ndi kutseka pamalopo ndi mnofu.
0102160067	Motero Yehova Mulungu anapanga mkazi ndi nthiti ija imene anatenga kwa munthu uja nabwera naye kwa iye.
010217009a	Munthu uja anati, “Uyu ndiye fupa lochokera ku mafupa anga ndi mnofu wochokera ku mnofu wanga; adzatchedwa ‘mkazi,’ popeza wachokera mwa mwamuna.”
010218007a	Nʼchifukwa chake, mwamuna amasiya abambo ndi amayi ake nakaphatikana ndi mkazi wake ndipo awiriwo amakhala thupi limodzi.
010219004e	Munthu uja ndi mkazi wakeyo, onse awiri anali maliseche ndipo analibe manyazi.
01030100d3	Ndipo njoka inali yochenjera kuposa nyama yakuthengo iliyonse imene Yehova Mulungu anapanga. Njokayo inati kwa mkaziyo, “Kodi Mulungu ananenadi kuti, ‘Inu musadye zipatso za mtengo uliwonse mʼmundamu?’”
0103020050	Mkaziyo anati kwa njokayo, “Tikhoza kudya zipatso za mʼmitengo ya mʼmundawu,
010303007b	koma Mulungu anati, ‘Musadye zipatso za mu mtengo umene uli pakati pa munda, ndipo musadzawukhudze kuti mungadzafe.’”
0103040036	“Ndithudi simudzafa,” inatero njokayo kwa mkaziyo.
01030500a2	“Pakuti Mulungu akudziwa kuti tsiku limene mudzadye zipatso za mu mtengowo, maso anu adzatsekuka, ndipo mudzakhala ngati Mulungu, wodziwa zabwino ndi zoyipa.”
01030600d0	Pamene mkaziyo anaona kuti mtengowo unali wabwino kudya ndi wokongola ndi kuti unali wopatsa nzeru, anatengako zipatso zake nadya. Zina anamupatsako mwamuna wake amene anali naye pomwepo ndipo naye anadyanso.
0103070079	Kenaka maso awo anatsekuka, ndipo anazindikira kuti anali maliseche. Choncho anasoka masamba a mkuyu nadzipangira zovala.
01030800bd	Kenaka munthu uja ndi mkazi wake anamva mtswatswa wa Yehova Mulungu akuyendayenda mʼmundamo madzulo a tsikulo, ndipo iwo anabisala pamaso pa Yehova Mulungu pakati pa mitengo ya mʼmundamo.
0103090039	Yehova Mulungu anayitana munthu uja kuti, “Uli kuti?”
01030a006d	Iye anayankha, “Ndinakumvani mʼmundamo, ndipo ndimaopa chifukwa ndinali maliseche; choncho ndinabisala.”
01030b007b	Ndipo anamufunsa, “Ndani anakuwuza kuti uli maliseche? Kodi wadya zipatso za mtengo umene ndinakulamulira kuti usadye?”
01030c0080	Koma munthu uja anati, “Mkazi amene munandipatsa kuti ndizikhala nayeyu anandipatsako chipatso cha mtengowo ndipo ndinadya.”
01030d007d	Tsono Yehova Mulungu anati kwa mkaziyo, “Wachitachi nʼchiyani?” Mkaziyo anati, “Njoka inandinamiza, ndipo ndinadya.”
01030e00d1	Choncho Yehova Mulungu anati kwa njokayo, “Popeza wachita zimenezi, “Ndiwe wotembereredwa kuposa ziweto zonse ndi nyama zakuthengo zonse. Udzayenda chafufumimba ndipo udzadya fumbi masiku onse a moyo wako.
01030f009a	Ndipo ndidzayika chidani pakati pa iwe ndi mkaziyo, pakati pa mbewu yako ndi mbewu yake; Iye adzaphwanya mutu wako ndipo iwe udzaluma chidendene chake.”
01031000b8	Kwa mkaziyo Iye anati, “Ndidzachulukitsa ululu wako kwambiri pamene uli ndi pakati; ndipo udzamva ululu pa nthawi yako yobereka ana. Udzakhumba mwamuna wako, ndipo adzakulamulira.”
01031100f5	Ndipo kwa Adamu Mulungu anati, “Chifukwa wamvera mkazi wako ndipo wadya zipatso za mu mtengo umene ndinakulamulira kuti, ‘Usadye.’ “Nthaka yatembereredwa chifukwa cha iwe, movutikira udzadya zochokera mʼnthakamo masiku onse a moyo wako.
0103120047	Mʼnthakamo mudzamera minga ndi nthula ndipo udzadya zomera zakuthengo.
010313009b	Kuti upeze chakudya udzayenera kukhetsa thukuta, mpaka utabwerera ku nthaka pakuti unachokera kumeneko; pakuti ndiwe fumbi ku fumbi komweko udzabwerera.”
0103140056	Munthu uja anatcha mkazi wake Hava, chifukwa iyeyu adzakhala mayi wa anthu onse amoyo.
0103150050	Yehova Mulungu anapangira Adamu ndi mkazi wake zovala zachikopa ndipo anawaveka.
01031600e7	Ndipo Yehova Mulungu anati, “Tsopano munthu uyu wasanduka mmodzi wa ife, wodziwa zabwino ndi zoyipa. Iyeyu asaloledwe kutambasula dzanja ndi kutengako zipatso za mu mtengo wopatsa moyo uja kuti angakhale ndi moyo mpaka muyaya.”
0103170061	Kotero Yehova Mulungu anatulutsa Adamu Mʼmunda wa Edeni kuti azilima mʼnthaka imene anachokera.
01031800b3	Atamuthamangitsa munthu uja, Yehova anayika Akerubi mbali ya kummawa kwa Munda wa Edeni ndi lupanga lamoto limene limayendayenda ponsepo, kuteteza njira ya ku mtengo wopatsa moyo.
01040100a3	Adamu anagona malo amodzi ndi Hava mkazi wake ndipo mkaziyo anakhala woyembekezera nabala Kaini, ndipo anati, “Ndi thandizo la Yehova ndapeza mwana wamwamuna.”
0104020057	Kenaka anabereka mʼbale wake Abele. Abele anali woweta nkhosa ndipo Kaini anali mlimi.
0104030059	Patapita nthawi, Kaini anatenga zipatso za ku munda nakazipereka kwa Yehova monga nsembe.
010404009c	Nayenso Abele anatenga ana ankhosa oyamba kubadwa pamodzi ndi mafuta ake nakazipereka ngati nsembe kwa Yehova. Yehova anakondwera ndi Abele ndi nsembe yake.
0104050065	Koma sanakondwere ndi Kaini ndi nsembe yake. Kotero Kaini anakwiya kwambiri ndipo nkhope yake inagwa.
010406005b	Choncho Yehova anati kwa Kaini, “Chifukwa chiyani wakwiya ndipo bwanji nkhope yako yagwa?
01040700ad	Ukanachita zabwino sindikanakulandira kodi? Koma tsopano wachita zoyipa ndipo tchimo likukudikira pa khomo pako, likufuna kukugwira; koma iwe uyenera kugonjetsa tchimolo.”
0104080086	Tsiku lina Kaini anati kwa mʼbale wake Abele, “Tiye tipite ku munda.” Ndipo ali ku mundako, Kaini anawukira mʼbale wake namupha.
0104090094	Ndipo Yehova anamufunsa Kaini kuti, “Ali kuti mʼbale wako Abele?” Iye anayankha kuti, “Sindikudziwa. Kodi ine ndine wosunga mʼbale wanga?”
01040a006c	Yehova anati, “Kodi wachita chiyani? Tamvera! Magazi a mʼbale wako akulirira kwa Ine kuchokera mʼnthaka.
01040b0099	Ndipo tsopano ndiwe wotembereredwa ndipo wachotsedwa mʼdziko limene nthaka yake inatsekula pakamwa pake kulandira magazi a mʼbale wako amene unakhetsa.
01040c007b	Udzalima munda koma nthakayo sidzakupatsanso zokolola zake. Udzakhala wosakhazikika; womangoyendayenda pa dziko lapansi.”
01040d0051	Kaini anati kwa Yehova, “Chilango changa ndi chachikulu kuposera mphamvu zanga.
01040e0088	Lero mukundipirikitsa pa dziko ndi pamaso panu; ndidzakhala wosakhazikika, woyendayenda, ndipo aliyense amene adzandipeze adzandipha.”
01040f00d1	Koma Yehova anamuwuza kuti, “Sizidzatero ayi; aliyense amene adzaphe Kaini adzalangidwa ndi kulipiritsidwa kasanu ndi kawiri.” Pamenepo Yehova anayika chizindikiro pa Kaini kuti aliyense womupeza asamuphe.
0104100054	Ndipo Kaini anachoka pamaso pa Yehova nakakhala ku dziko la Nodi, kummawa kwa Edeni.
01041100b3	Kaini anagona malo amodzi ndi mkazi wake ndipo mkaziyo anakhala woyembekezera nabala Enoki. Kaini nthawi imeneyo nʼkuti akumanga mzinda ndipo anawutcha dzina la mwana wake Enoki.
0104120076	Enoki anabereka Iradi; Iradi anabereka Mehuyaeli, ndipo Mehuyaeli anabereka Metusela, ndipo Metusela anabereka Lameki.
010413005c	Lameki anakwatira akazi awiri, wina dzina lake linali Ada ndi winayo dzina lake linali Zila.
0104140053	Ada anabereka Yabala; iyeyu anali kholo la onse okhala mʼmatenti ndi oweta ziweto.
0104150059	Dzina la mʼbale wake linali Yubala; iyeyu anali kholo la onse oyimba zeze ndi chitoliro.
01041600ad	Zila nayenso anali ndi mwana wamwamuna, dzina lake Tubala-Kaini. Iyeyu anali kholo la amisiri onse osula zida za mkuwa ndi chitsulo. Mlongo wake wa Tubala-Kaini anali Naama.
01041700b4	Lameki anawuza akazi akewo kuti, “Ada ndi Zila, ndimvereni; inu akazi anga imvani mawu anga. Ine ndinapha munthu chifukwa anandipweteka. Ndinapha mnyamatayo chifukwa anandimenya.
0104180069	Ngati wopha Kaini amulipsira kasanu nʼkawiri, ndiye kuti wopha ine Lameki adzamulipsira kokwanira 77.”
01041900bb	Adamu anagonanso malo amodzi ndi mkazi wake, ndipo anabereka mwana wamwamuna namutcha Seti, kutanthauza kuti, “Mulungu wandipatsa mwana wina mʼmalo mwa Abele, popeza Kaini anamupha.”
01041a007c	Seti naye anali ndi mwana wa mwamuna, ndipo anamutcha Enosi. Pa nthawi imeneyi anthu anayamba kupemphera mʼdzina la Yehova.
010501006d	Ndondomeko ya mibado ya Adamu ndi iyi: Pamene Mulungu analenga munthu, anamulenga mʼchifaniziro cha Mulungu.
010502004a	Iye analenga mwamuna ndi mkazi. Anawadalitsa ndipo anawatcha “Munthu.”
010503005e	Pamene Adamu anali ndi zaka 130, anabereka mwana wamwamuna wofanana naye ndipo anamutcha Seti.
010504005f	Atabadwa Seti, Adamu anakhala ndi moyo zaka zina 800 ndipo anabereka ana ena aamuna ndi aakazi.
0105050030	Zaka zonse za Adamu zinali 930 ndipo anamwalira.
0105060030	Pamene Seti anali ndi zaka 105, anabereka Enosi.
010507005f	Atabadwa Enosi, Seti anakhala ndi moyo zaka zina 807 ndipo anabereka ana ena aamuna ndi aakazi.
010508002f	Zaka zonse za Seti zinali 912 ndipo anamwalira.
0105090031	Pamene Enosi anali ndi zaka 90, anabereka Kenani.
01050a0061	Atabadwa Kenani, Enosi anakhala ndi moyo zaka zina 815 ndipo anabereka ana ena aamuna ndi aakazi.
01050b0038	Zaka zonse za Enosi pamodzi zinali 905 ndipo anamwalira.
01050c0036	Pamene Kenani anali ndi zaka 70, anabereka Mahalaleli.
01050d0066	Atabadwa Mahalaleli, Kenani anakhala ndi moyo zaka zina 840 ndipo anabereka ana ena aamuna ndi aakazi.
01050e0032	Zaka zonse za Kenani zinali 910, ndipo anamwalira.
01050f0036	Pamene Mahalaleli anali ndi zaka 65, anabereka Yaredi.
0105100066	Atabadwa Yaredi, Mahalaleli anakhala ndi moyo zaka zina 830 ndipo anabereka ana ena aamuna ndi aakazi.
0105110035	Zaka zonse za Mahalaleli zinali 895 ndipo anamwalira.
0105120032	Pamene Yaredi anali ndi zaka 162, anabereka Enoki.
0105130061	Atabadwa Enoki, Yaredi anakhala ndi moyo zaka zina 800 ndipo anabereka ana ena aamuna ndi aakazi.
0105140031	Zaka zonse za Yaredi zinali 962 ndipo anamwalira.
0105150033	Pamene Enoki anali ndi zaka 65, anabereka Metusela.
0105160061	Atabadwa Metusela, Enoki anayenda ndi Mulungu zaka 300 ndipo anabereka ana ena aamuna ndi aakazi.
010517001f	Zaka zonse za Enoki zinali 365.
010518004f	Enoki anayenda ndi Mulungu; ndipo iye sanaonekenso chifukwa Mulungu anamutenga.
0105190035	Pamene Metusela anali ndi zaka 187, anabereka Lameki.
01051a006a	Ndipo atabadwa Lameki, Metusela anakhala ndi moyo zaka zina 782 ndipo anabereka ana ena aamuna ndi aakazi.
01051b0034	Zaka zonse za Metusela zinali 969, ndipo anamwalira.
01051c003c	Pamene Lameki anali ndi zaka 182, anabereka mwana wamwamuna.
01051d0086	Ndipo anamutcha Nowa ndipo anati, “Iyeyu adzatipumulitsa ku ntchito zathu zolemetsazi, zolima nthaka imene Yehova anayitemberera.”
01051e0057	Atabadwa Nowa, Lameki anakhala zaka zina 595 ndipo anabereka ana ena aamuna ndi aakazi.
01051f0039	Zaka zonse za Lameki zinali 777, ndipo kenaka anamwalira.
0105200040	Pamene Nowa anali ndi zaka 500, anabereka Semu, Hamu ndi Yafeti.
0106010042	Anthu atayamba kuchuluka pa dziko lapansi ndi kubereka ana aakazi,
0106020072	ana aamuna a Mulungu anaona kuti ana aakazi a anthuwo anali okongola. Ndipo anakwatira aliyense amene anamusankha.
010603009d	Tsono Yehova anati, “Sindilola kuti chipwirikiti chikuchitikachi chipitirire mpaka muyaya, pakuti iye ndi munthu; masiku a moyo wake adzakhala zaka 120.”
01060400b3	Masiku amenewo komanso pambuyo pake, pa dziko lapansi panali Anefili, anthu amphamvu ndiponso otchuka. Anthuwa ndi amene ankabadwa ana a Mulungu aja atakwatira ana aakazi a anthu.
010605009a	Pamene Yehova anaona kuti kuyipa kwa munthu pa dziko lapansi kunali kwakukulu ndi kuti nthawi zonse amalingalira ndi kukhumbira kuchita zoyipa zokhazokha,
0106060061	Yehova anamva chisoni kuti analenga munthu ndi kumuyika pa dziko lapansi, ndipo anawawidwa mtima.
01060700ac	Choncho Yehova anati, “Ndidzafafaniza munthu, nyama, zonse zokwawa, ndi mbalame za mu mlengalenga pa dziko lapansi, pakuti ndikumva chisoni kuti ndinazilenga zimenezi.”
0106080023	Koma Yehova anamukomera mtima Nowa.
0106090086	Mbiri ya Nowa inali yotere: Nowa anali munthu wolungama ndi wopanda tchimo pakati pa anthu a mʼbado wake. Ndipo anayenda ndi Mulungu.
01060a0037	Nowa anabereka ana aamuna atatu: Semu, Hamu ndi Yafeti.
01060b005e	Chiwawa chinadzaza pa dziko lapansi kotero kuti dziko linakhala lowonongeka pamaso pa Mulungu.
01060c006d	Mulungu atayangʼana, anaona kuti dziko layipadi chifukwa cha makhalidwe oyipa a anthu onse pa dziko lapansi.
01060d00ba	Ndipo Mulungu anati kwa Nowa, “Ndatsimikiza mtima kuti ndiwononge anthu onse, pakuti dziko lapansi ladzaza ndi ntchito zawo zoyipa. Ndithudi ndiwawononga pamodzi ndi zonse za pa dziko.
01060e0078	Tsono udzipangire chombo cha matabwa a mtengo wanjale; mʼkati mwake upange zipinda ndipo upake phula mʼkati ndi kunja.
01060f0068	Uchipange motere: Chombo chikhale mamita 140 mulitali, mamita 23 mulifupi ndi mamita 13 mu msinkhu wake.
01061000b2	Uchipangire denga ndi kuchimaliza ndi zenera la masentimita makumi asanu. Uyike khomo mʼmbali mwa chombocho ndi kupanga zipinda zosanjikana; chapansi, chapakati ndi chapamwamba.
0106110091	Ndidzagwetsa mvula ya chigumula pa dziko lapansi kuti ndiwononge zamoyo zonse za pansi pa thambo ndipo chilichonse cha pa dziko lapansi chidzafa.
0106120079	Koma ndidzachita pangano langa ndi iwe. Iwe, ana ako aamuna, mkazi wako ndi akazi a ana ako nonse mudzalowa mʼchombocho.
0106130087	Iwe udzalowa mʼchombocho ndi zolengedwa zamoyo zonse ziwiriziwiri, chachimuna ndi chachikazi, kuti zisungike ndi moyo pamodzi ndi iwe.
010614007f	Udzatenga ziwiriziwiri za mitundu yonse ya mbalame, mitundu yonse ya nyama, ndi mitundu yonse ya zokwawa kuti zikhale ndi moyo.
010615005c	Udzatengenso chakudya cha mtundu uliwonse ndi kuchisunga kuti inu ndi nyamazo muzidzadya.”
0106160030	Nowa anachita zonse monga Mulungu anamulamulira.
010701007d	Ndipo Yehova anati kwa Nowa, “Lowa mu chombo iwe ndi banja lako lonse, chifukwa ndaona kuti ndiwe wolungama mu mʼbado uwu.
01070200d2	Pa mtundu uliwonse wa nyama zoti nʼkudya utengepo zazimuna zisanu ndi ziwiri ndi zazikazi zisanu ndi ziwirinso. Koma pa mtundu wa nyama iliyonse yosati nʼkudya utengepo zazimuna ziwiri ndi zazikazi ziwirinso.
01070300a9	Chimodzimodzinso mbalame, utenge zisanu ndi ziwiri zazimuna ndi zisanu ndi ziwiri zazikazi za mtundu uliwonse kuti mitundu yawo isungike ndi moyo pa dziko lonse lapansi.
01070400bf	Pakapita masiku asanu ndi awiri ndidzagwetsa mvula pa dziko lapansi kwa masiku makumi anayi usana ndi usiku ndipo ndidzawononga cha moyo chilichonse chimene ndinachipanga pa dziko lapansi.”
0107050036	Ndipo Nowa anachita zonse zimene Yehova anamulamulira.
0107060045	Pamene chigumula chinabwera pa dziko lapansi Nowa anali ndi zaka 600.
0107070075	Ndipo Nowa, ana ake aamuna, mkazi wake, pamodzi ndi ana ake aakazi analowa mu chombo chija kuthawa madzi a chigumula.
0107080088	Nyama zoti nʼkudya ndi nyama zosadyedwa, mbalame, pamodzi ndi nyama zokwawa zonse zinadza kwa Nowa ziwiriziwiri ndi kulowa mʼchombomo.
0107090054	Ndipo Nowa anatenga ziwiriziwiri, yayimuna ndi yayikazi monga anamulamulira Mulungu.
01070a0046	Patapita masiku asanu ndi awiri chigumula chinabwera pa dziko lapansi.
01070b0090	Pa tsiku la 17 la mwezi wachiwiri, Nowa ali ndi zaka 600, akasupe onse akuya kwambiri anasefuka ndiponso zitseko za madzi akumwamba zinatsekuka.
01070c0048	Ndipo mvula inagwa pa dziko lapansi masiku makumi anayi usana ndi usiku.
01070d0093	Linali tsiku lomwelo pamene Nowa ndi ana ake aamuna, Semu, Hamu ndi Yafeti, pamodzi ndi mkazi wake ndi akazi a ana ake atatu aja analowa mu chombo.
01070e00d5	Iwowa analowa mʼchombomo pamodzi ndi nyama iliyonse ya kutchire monga mwa mtundu wake, ziweto zonse monga mwa mitundu yawo, nyama yokwawa iliyonse monga mwa mtundu wake ndi mbalame iliyonse monga mwa mtundu wake.
01070f0035	Nowa analowa mu chombo muja pamodzi ndi zamoyo zonse.
010710006a	Iye analowa nazo zazimuna ndi zazikazi monga mmene Mulungu anamulamulira. Kenaka Yehova anatseka pa khomo.
010711009b	Chigumula chinagwa pa dziko la pansi kwa masiku makumi anayi. Madzi anayamba kuchuluka ndipo ananyamula chombo chija ndi kuchiyandamitsa pamwamba pa dziko.
0107120073	Madzi anafika mwamphamvu ndipo anachulukirachulukira pa dziko lapansi moti chombo chinayandama pamwamba pa madziwo.
0107130060	Madzi a chigumula anabwerabe molimbika motero kuti mapiri ataliatali onse a pa dziko anamizidwa.
0107140043	Madzi anakwera namiza mapiri kwa mamita pafupifupi asanu ndi awiri.
01071500a3	Chamoyo chilichonse choyenda pa dziko lapansi chinafa: mbalame, ziweto, nyama zakuthengo, miyandamiyanda ya zonse zolengedwa za pa dziko lapansi pamodzi ndi anthu.
0107160030	Chilichonse chamoyo, chokhala pa mtunda chinafa.
01071700a0	Chamoyo chilichonse pa dziko lapansi chinawonongedwa, kuyambira munthu, nyama, zokwawa ndi mbalame. Nowa yekha ndiye anatsala pamodzi ndi onse amene anali naye.
0107180034	Madziwo anadzaza dziko lonse lapansi kwa masiku 150.
01080100a2	Tsono Mulungu anakumbukira Nowa ndi nyama zonse zakuthengo ndi ziweto zimene anali nazo mu chombo. Yehova anatumiza mphepo pa dziko lapansi ndipo madzi anaphwera.
0108020076	Tsono akasupe a madzi ambiri a pansi pa dziko ndi zitseko za madzi a kumwamba zinatsekedwa, ndipo mvula inaleka kugwa.
0108030048	Madzi amaphwabe pa dziko lapansi. Pakutha pa masiku 150, madzi anatsika,
0108040067	ndipo pa tsiku la 17 la mwezi wachisanu ndi chiwiri, chombo chija chinakakhazikika pa mapiri a Ararati.
010805007f	Madzi anapitirira kuphwa mpaka mwezi wa khumi, ndipo pa tsiku loyamba la mwezi wa khumiwo msonga za mapiri zinayamba kuonekera.
0108060050	Patapita masiku makumi anayi, Nowa anatsekula zenera limene anapanga mʼchombomo
0108070067	natulutsa khwangwala, koma khwangwalayo ankangowuluka uku ndi uku mpaka madzi anawuma pa dziko lapansi.
010808003f	Kenaka anatulutsa nkhunda kuti aone ngati madzi aphwa pa dziko.
01080900dd	Koma nkhunda sinapeze poti nʼkutera chifukwa panali madzi ponseponse pa dziko lapansi. Choncho inabwerera kwa Nowa mʼchombo. Nowa anatulutsa dzanja lake kunja ndi kutenga nkhundayo kuyibwezera mʼchombo mmene iye anali.
01080a005c	Choncho anadikirabe masiku ena asanu ndi awiri ndipo anatulutsanso nkhundayo mʼchombo muja.
