0100000048	ମୋଶାଙ୍କ ଲିଖିତ ପ୍ରଥମ ପୁସ୍ତକ
01020701aa	ଏଥିଉତ୍ତାରେ ସଦାପ୍ରଭୁ ପରମେଶ୍ୱର ଭୂମିର ଧୂଳି ଦ୍ୱାରା ମନୁଷ୍ୟକୁ ନିର୍ମାଣ କରି ତାହାର ନାସିକାରନ୍ଧ୍ରରେ ଫୁଙ୍କ ଦେଇ ପ୍ରାଣବାୟୁ ପ୍ରବେଶ କରାଇଲେ; ତହିଁରେ ମନୁଷ୍ୟ ଜୀବିତ ପ୍ରାଣୀ ହେଲା।
0102080122	ଆଉ ସଦାପ୍ରଭୁ ପରମେଶ୍ୱର ପୂର୍ବଦିଗସ୍ଥ ଏଦନ ନାମକ ସ୍ଥାନରେ ଏକ ଉଦ୍ୟାନ ପ୍ରସ୍ତୁତ କରି ସେଠାରେ ସ୍ୱନିର୍ମିତ ମନୁଷ୍ୟକୁ ରଖିଲେ।
0102090184	ସଦାପ୍ରଭୁ ପରମେଶ୍ୱର ସେହି ଭୂମିରୁ ନାନାଜାତୀୟ ସୁଦୃଶ୍ୟ ଓ ସୁଖାଦ୍ୟ ବୃକ୍ଷ, ପୁଣି, ସେହି ଉଦ୍ୟାନର ମଧ୍ୟସ୍ଥାନରେ ଅମୃତ ବୃକ୍ଷ ଓ ସଦସତ୍‍ ଜ୍ଞାନଦାୟକ ବୃକ୍ଷ ଉତ୍ପନ୍ନ କଲେ।
01020a00ea	ଉଦ୍ୟାନରେ ଜଳସେଚନାର୍ଥେ ଏଦନରୁ ଗୋଟିଏ ନଦୀ ନିର୍ଗତ ହୋଇ ସେହି ସ୍ଥାନରୁ ଭିନ୍ନ ଭିନ୍ନ ଚାରିଧାର ହେଲା।
01020b00be	ପ୍ରଥମ ନଦୀର ନାମ ପିଶୋନ; ତାହା ସ୍ୱର୍ଣ୍ଣୋତ୍ପାଦକ ହବୀଲା ଦେଶସମୂହକୁ ବେଷ୍ଟନ କରେ।
01020c00ab	ସେହି ଦେଶର ସୁବର୍ଣ୍ଣ ଉତ୍ତମ, ପୁଣି, ସେଠାରେ ମୁକ୍ତା ଓ ଗୋମେଦକ ମଣି ଜନ୍ମଇ।
01020d008b	ଦ୍ୱିତୀୟ ନଦୀର ନାମ ଗୀହୋନ; ଏହା ସମସ୍ତ କୂଶ ଦେଶ ବେଷ୍ଟନ କରେ।
01020e00ee	ତୃତୀୟ ନଦୀର ନାମ ହିଦ୍ଦେକଲ, ଏହା ପୂର୍ବ ଅଶୂରୀୟ ଦେଶର ସମ୍ମୁଖ ଦେଇ ଗମନ କରେ। ଚତୁର୍ଥ ନଦୀର ନାମ ଫରାତ୍‍।
01020f00ff	ପୁଣି, ସଦାପ୍ରଭୁ ପରମେଶ୍ୱର ସେହି ମନୁଷ୍ୟକୁ ନେଇ ଏଦନ ଉଦ୍ୟାନକୁ ସୁସଜ୍ଜିତ ଓ ରକ୍ଷା କରିବା ପାଇଁ ନିଯୁକ୍ତ କଲେ।
010210011b	ସଦାପ୍ରଭୁ ପରମେଶ୍ୱର ସେହି ମନୁଷ୍ୟକୁ ଆଜ୍ଞା ଦେଇ କହିଲେ, “ତୁମ୍ଭେ ଉଦ୍ୟାନର ସମସ୍ତ ବୃକ୍ଷର ଫଳ ସ୍ୱଚ୍ଛନ୍ଦରେ ଭୋଜନ କରିପାର,
0102110109	ମାତ୍ର, ସଦସତ୍‍ ଜ୍ଞାନଦାୟକ ବୃକ୍ଷର ଫଳ ଭୋଜନ କରିବ ନାହିଁ, ଯେହେତୁ ଯେଉଁ ଦିନ ତାହା ଖାଇବ, ସେହି ଦିନ ନିତାନ୍ତ ମରିବ।”
0102120147	ଏଥିଉତ୍ତାରେ ସଦାପ୍ରଭୁ ପରମେଶ୍ୱର କହିଲେ, “ମନୁଷ୍ୟ ଏକାକୀ ଥିବା ଭଲ ନୁହେଁ, ଆମ୍ଭେ ତାହା ନିମନ୍ତେ ତାହାର ଅନୁରୂପ ସହକାରିଣୀ ନିର୍ମାଣ କରିବା।”
010213023b	ଆଉ ସଦାପ୍ରଭୁ ପରମେଶ୍ୱର ଭୂମିରୁ ବିଲର ପଶୁଗଣ ଓ ଖେଚର ପକ୍ଷୀଗଣ ନିର୍ମାଣ କରି ଆଦମ ସେମାନଙ୍କୁ କି ନାମ ଦେବେ, ଏହା ଜାଣିବା ପାଇଁ ସମସ୍ତଙ୍କୁ ତାଙ୍କ ନିକଟକୁ ଆଣିଲେ। ତହିଁରେ ଆଦମ ସେହି ପ୍ରାଣୀବର୍ଗ ମଧ୍ୟରୁ ଯାହାକୁ ଯେଉଁ ନାମ ଦେଲେ, ତାହାର ସେହି ନାମ ହେଲା।
010214013e	ଏହିରୂପେ ଆଦମ ପଶୁ, ଖେଚର ପକ୍ଷୀ ଓ ବିଲର ପ୍ରତ୍ୟେକ ଜନ୍ତୁର ନାମ ଦେଲେ; ମାତ୍ର, ମନୁଷ୍ୟ ନିମନ୍ତେ ତାଙ୍କର ଅନୁରୂପ ସହକାରିଣୀ ଦେଖାଗଲା ନାହିଁ।
0102150172	ଏଥିଉତ୍ତାରେ ସଦାପ୍ରଭୁ ପରମେଶ୍ୱର ଆଦମଙ୍କୁ ଘୋର ନିଦ୍ରାଗ୍ରସ୍ତ କରାଇ ସେହି ନିଦ୍ରା ସମୟରେ ତାଙ୍କର ଖଣ୍ଡେ ପଞ୍ଜରା ନେଇ ମାଂସ ଦ୍ୱାରା ସେହି ସ୍ଥାନ ପୂର୍ଣ୍ଣ କଲେ।
0102160127	ଆଉ ସଦାପ୍ରଭୁ ପରମେଶ୍ୱର ଆଦମଙ୍କଠାରୁ ଯେଉଁ ପଞ୍ଜରା ଖଣ୍ଡିକ ନେଲେ, ତଦ୍ଦ୍ୱାରା ଏକ ସ୍ତ୍ରୀ ନିର୍ମାଣ କରି ଆଦମଙ୍କ ନିକଟକୁ ଆଣିଲେ।
010217010d	ତହୁଁ ଆଦମ କହିଲେ, “ଏଥର ହେଲା; ଏ ମୋହର ଅସ୍ଥିର ଅସ୍ଥି ଓ ମାଂସର ମାଂସ; ଏହାର ନାମ ନାରୀ, ଯେହେତୁ ଏ ନରଠାରୁ ନୀତା ହୋଇଅଛି।”
01021800f7	ଏନିମନ୍ତେ ମନୁଷ୍ୟ ଆପଣା ପିତାମାତାଙ୍କୁ ଛାଡ଼ି ଆପଣା ଭାର୍ଯ୍ୟାଠାରେ ଆସକ୍ତ ହେବ, ଆଉ ସେମାନେ ଏକାଙ୍ଗ ହେବେ।
01021900ba	ଆଦମ ଓ ତାଙ୍କର ଭାର୍ଯ୍ୟା, ଦୁହେଁ ଉଲଙ୍ଗ ଥିଲେ ହେଁ ସେମାନଙ୍କର ଲଜ୍ଜାବୋଧ ନ ଥିଲା।
01030101f4	ସଦାପ୍ରଭୁ ପରମେଶ୍ୱରଙ୍କ ନିର୍ମିତ ଭୂଚର ପଶୁମାନଙ୍କ ମଧ୍ୟରେ ସର୍ପ ସର୍ବାପେକ୍ଷା ଖଳ ଥିଲା। ସେ ନାରୀଙ୍କୁ କହିଲା, “ଆଗୋ, ଏ କି ସତ୍ୟ, ‘ଉଦ୍ୟାନର କୌଣସି ବୃକ୍ଷର ଫଳ ଖାଇବାକୁ ପରମେଶ୍ୱର ତୁମ୍ଭମାନଙ୍କୁ ନିଷେଧ କରିଅଛନ୍ତି?’”
01030200a6	ନାରୀ ସର୍ପକୁ କହିଲେ, “ଆମ୍ଭେମାନେ ଉଦ୍ୟାନର ସମସ୍ତ ବୃକ୍ଷର ଫଳ ଖାଇପାରୁ;
010303013f	କେବଳ ଉଦ୍ୟାନର ମଧ୍ୟସ୍ଥିତ ବୃକ୍ଷର ଫଳ ବିଷୟରେ ପରମେଶ୍ୱର କହିଅଛନ୍ତି, ‘ତୁମ୍ଭେମାନେ ତାହା ଖାଇବ ନାହିଁ ଓ ଛୁଇଁବ ନାହିଁ, ତାହା କଲେ ମରିବ।’”
0103040093	ସର୍ପ ନାରୀଙ୍କୁ କହିଲା, “ତୁମ୍ଭେମାନେ କୌଣସି ରୂପେ ମରିବ ନାହିଁ;
0103050196	ବରଞ୍ଚ ପରମେଶ୍ୱର ଜାଣନ୍ତି, ତୁମ୍ଭେମାନେ ଯେଉଁ ଦିନ ତାହା ଖାଇବ, ସେହି ଦିନ ତୁମ୍ଭମାନଙ୍କ ଚକ୍ଷୁ ପ୍ରସନ୍ନ ହେବ, ତହିଁରେ ତୁମ୍ଭେମାନେ ପରମେଶ୍ୱରଙ୍କ ପରି ଭଲ ଓ ମନ୍ଦର ଜ୍ଞାନ ପାଇବ।”
01030601b5	ଏଥିରେ ନାରୀ ସେହି ବୃକ୍ଷକୁ ସୁଖାଦ୍ୟର ଉତ୍ପାଦକ ଓ ନୟନର ଲୋଭଜନକ ଓ ଜ୍ଞାନ ଦେବା ନିମିତ୍ତ ବାଞ୍ଛନୀୟ ଦେଖି ତହିଁରୁ ଫଳ ତୋଳି ଖାଇଲେ, ପୁଣି, ଆପଣା ସଙ୍ଗସ୍ଥ ସ୍ୱାମୀଙ୍କୁ ଦିଅନ୍ତେ, ସେ ମଧ୍ୟ ଖାଇଲେ।
010307011e	ତହିଁରେ ସେମାନଙ୍କ ଚକ୍ଷୁ ପ୍ରସନ୍ନ ହୁଅନ୍ତେ, ସେମାନେ ନିଜ ଉଲଙ୍ଗତାର ବୋଧ ପାଇ ଡିମ୍ବିରି ବୃକ୍ଷର ପତ୍ର ସିଁଇ ଘାଗରା ବନାଇଲେ।
01030801af	ତହୁଁ ଦିନାବସାନ ସମୟରେ ଉଦ୍ୟାନ ମଧ୍ୟରେ ଗମନାଗମନକାରୀ ସଦାପ୍ରଭୁ ପରମେଶ୍ୱରଙ୍କ ରବ ଶୁଣି ଆଦମ ଓ ତାଙ୍କର ଭାର୍ଯ୍ୟା ସଦାପ୍ରଭୁ ପରମେଶ୍ୱରଙ୍କ ଛାମୁରୁ ଉଦ୍ୟାନସ୍ଥ ବୃକ୍ଷଗଣ ମଧ୍ୟରେ ଲୁଚିଲେ।
01030900ab	ତହିଁରେ ସଦାପ୍ରଭୁ ପରମେଶ୍ୱର ଆଦମଙ୍କୁ ଡାକି କହିଲେ, “ତୁମ୍ଭେ କେଉଁଠାରେ?”
01030a00d8	ସେ ଉତ୍ତର କଲେ, “ମୁଁ ଉଦ୍ୟାନ ମଧ୍ୟରେ ତୁମ୍ଭ ରବ ଶୁଣି ଆପଣା ଉଲଙ୍ଗତା ସକାଶେ ଭୀତ ହୋଇ ଲୁଚିଲି।”
01030b0144	ପରମେଶ୍ୱର କହିଲେ, “ତୁମ୍ଭେ ଉଲଙ୍ଗ ଅଛ, ଏହା କିଏ ତୁମ୍ଭକୁ ଜଣାଇଲା? ଆମ୍ଭେ ଯେଉଁ ବୃକ୍ଷର ଫଳ ଖାଇବାକୁ ନିଷେଧ କରିଥିଲୁ, ତାହା କି ତୁମ୍ଭେ ଖାଇଅଛ?”
01030c011f	ଆଦମ କହିଲେ, “ତୁମ୍ଭେ ଯେଉଁ ସ୍ତ୍ରୀଙ୍କୁ ମୋହର ସଙ୍ଗିନୀ ହେବାକୁ ଦେଇଅଛ, ସେ ମୋତେ ସେହି ବୃକ୍ଷର ଫଳ ଦେଲେ, ତହିଁରେ ମୁଁ ଖାଇଲି।”
01030d0112	ସେତେବେଳେ ସଦାପ୍ରଭୁ ପରମେଶ୍ୱର ନାରୀଙ୍କୁ କହିଲେ, “ଏ କି କଲ?” ନାରୀ କହିଲେ, “ସର୍ପ ମୋତେ ଭୁଲାଇଲା, ତହିଁରେ ମୁଁ ଖାଇଲି।”
01030e01bd	ତହୁଁ ସଦାପ୍ରଭୁ ପରମେଶ୍ୱର ସର୍ପକୁ କହିଲେ, “ଏହି କାର୍ଯ୍ୟ କରିବା ହେତୁ ତୁମ୍ଭେ ସମସ୍ତ ଗ୍ରାମ୍ୟ ଓ ବନ୍ୟପଶୁଠାରୁ ଅଧିକ ଶାପଗ୍ରସ୍ତ ହେଲ, ତୁମ୍ଭେ ଆପଣା ପେଟ ଦେଇ ଗମନ କରିବ ଓ ଯାବଜ୍ଜୀବନ ଧୂଳି ଖାଇବ।
01030f018a	ଆଉ ଆମ୍ଭେ ତୁମ୍ଭର ଓ ନାରୀର ମଧ୍ୟରେ, ପୁଣି, ତୁମ୍ଭ ବଂଶ ଓ ତାଙ୍କ ବଂଶ ମଧ୍ୟରେ ଶତ୍ରୁତା ଜନ୍ମାଇବା; ସେ ତୁମ୍ଭର ମସ୍ତକକୁ ଆଘାତ କରିବେ ଓ ତୁମ୍ଭେ ତାହାଙ୍କ ଗୋଇଠିକୁ ଆଘାତ କରିବ।”
01031001b8	ତହୁଁ ସେ ନାରୀଙ୍କୁ କହିଲେ, “ଆମ୍ଭେ ତୁମ୍ଭର ଗର୍ଭବେଦନା ଅତିଶୟ ବଢ଼ାଇବା, ତୁମ୍ଭେ ବ୍ୟଥାରେ ସନ୍ତାନ ପ୍ରସବ କରିବ; ପୁଣି, ସ୍ୱାମୀ ପ୍ରତି ତୁମ୍ଭର ବାସନା ରହିବ, ସେ ତୁମ୍ଭ ଉପରେ କର୍ତ୍ତୃତ୍ୱ କରିବ।”
