0100000009	1 Mosebog
01011c00e8	og Gud velsignede dem, og Gud sagde til dem: »Bliv frugtbare og mangfoldige og opfyld Jorden, gør eder til Herre over den og hersk over Havets Fisk og Himmelens Fugle, Kvæget og alle vildtlevende Dyr, der rører sig paa Jorden!«
01011d009d	Gud sagde fremdeles: »Jeg giver eder alle Urter paa hele Jorden, som bærer Frø, og alle Træer, som bærer Frugt med Kærne; de skal være eder til Føde;
01011e00a7	men alle Jordens Dyr og alle Himmelens Fugle og alt, hvad der kryber paa Jorden, og som har Livsaande, giver jeg alle grønne Urter til Føde.« Og saaledes skete det.
01011f0073	Og Gud saa alt, hvad han havde gjort, og se, det var saare godt. Og det blev Aften, og det blev Morgen, sjette Dag.
0102010039	Saaledes fuldendtes Himmelen og Jorden med al deres Hær.
0102020086	Paa den syvende Dag fuldendte Gud det Værk, han havde udført, og han hvilede paa den syvende Dag efter det Værk, han havde udført;
0102030082	og Gud velsignede den syvende Dag og helligede den, thi paa den hvilede han efter hele sit Værk, det, Gud havde skabt og udført.
0102040056	Det er Himmelens og Jordens Skabelseshistorie. Da Gud HERREN gjorde Jord og Himmel —
01020500d3	dengang fandtes endnu ingen af Markens Buske paa Jorden, og endnu var ingen af Markens Urter spiret frem, thi Gud HERREN havde ikke ladet det regne paa Jorden, og der var ingen Mennesker til at dyrke Agerjorden,
0102060048	men en Taage vældede op at Jorden og vandede hele Agerjordens Flade —
0102070082	da dannede Gud HERREN Mennesket af Agerjordens Muld og blæste Livsaande i hans Næsebor, saa at Mennesket blev et levende Væsen.
0102080069	Derpaa plantede Gud HERREN en Have i Eden ude mod Øst, og dem satte han Mennesket, som han havde dannet;
01020900b3	Og Gud HERREN lod af Agerjorden fremvokse alle Slags Træer, en Fryd at skue og gode til Føde, desuden Livets Træ, der stod midt i Haven, og Træet til Kundskab om godt og ondt.
01020a005e	Der udsprang en Flod i Eden til at vande Haven, og udenfor delte den sig i fire Hovedstrømme.
01020b004d	Den ene hedder Pisjon; den løber omkring Landet Havila, hvor der findes Guld
01020c0035	og Guldet i det Land er godt, Bdellium og Sjohamsten.
01020d003c	Den anden Flod hedder Gihon; den løber omkring Landet Kusj.
01020e0058	Den tredje Flod hedder Hiddekel; den løber østen om Assyrien. Den fjerde Flod er Frat.
01020f004f	Derpaa tog Gud HERREN Adam og satte ham i Edens Have til at dyrke og vogte den.
0102100047	Men Gud HERREN bød Adam: »Af alle Træer i Haven har du Lov at spise,
010211006e	kun af Træet til Kundskab om godt og ondt maa du ikke spise; den Dag du spiser deraf, skal du visselig dø!«
010212007d	Derpaa sagde Gud HERREN: »Det er ikke godt for Mennesket at være ene; jeg vil gøre ham en Medhjælp, som passer til ham!«
01021300da	Og Gud HERREN dannede af Agerjorden alle Markens Dyr og Himmelens Fugle og førte dem hen til Adam for at se, hvad han vilde kalde dem; thi hvad Adam kaldte de forskellige levende Væsener, det skulde være deres Navn.
010214008d	Adam gav da alt Kvæget, alle Himmelens Fugle og alle Markens Dyr Navne — men til sig selv fandt Adam ingen Medhjælp, der passede til ham.
010215007d	Saa lod Gud HERREN Dvale falde over Adam, og da han var sovet ind, tog han et af hans Ribben og lukkede med Kød i dets Sted;
0102160067	og af Ribbenet, som Gud HERREN havde taget af Adam, byggede han en Kvinde og førte hende hen til Adam.
010217007d	Da sagde Adam: »Denne Gang er det Ben af mine Ben og Kød af mit Kød; hun skal kaldes Kvinde, thi af Manden er hun taget!«
0102180062	Derfor forlader en Mand sin Fader og Moder og holder sig til sin Hustru, og de to bliver eet Kød.
0102190047	Og de var begge nøgne, baade Adam og hans Hustru, men de bluedes ikke.
01030100b1	Men Slangen var træskere end alle Markens andre Dyr, som Gud HERREN havde gjort og den sagde til Kvinden: »Mon Gud virkelig ham sagt: I maa ikke spise af noget Træ i Haven?«
0103020044	Kvinden svarede: »Vi har Lov at spise af Frugten paa Havens Træer;
0103030077	kun af Frugten fra Træet midt i Haven, sagde Gud, maa I ikke spise, ja, I maa ikke røre derved, thi saa skal I dø!«
0103040036	Da sagde Slangen til Kvinden: »I skal ingenlunde dø;
0103050069	men Gud ved, at naar I spiser deraf, aabnes eders Øjne, saa I blive som Gud til at kende godt og ondt!«
01030600c1	Kvinden blev nu var, at Træet var godt at spise af, en Lyst for Øjnene og godt at faa Forstand af; og hun tog af dets Frugt og spiste og gav ogsaa sin Mand, der stod hos hende, og han spiste.
0103070070	Da aabnedes begges Øjne, og de kendte, at de var nøgne. Derfor syede de Figenblade sammen og bandt dem om sig.
010308007e	Da Dagen blev sval, hørte de Gud HERREN vandre i Haven, og Adam og hans Hustru skjulte sig for ham inde mellem Havens Træer.
0103090038	Da kaldte Gud HERREN paa Adam og raabte: »Hvor er du?«
01030a0064	Han svarede: »Jeg hørte dig i Haven og blev angst, fordi jeg var nøgen, og saa skjulte jeg mig!«
01030b0078	Da sagde han: »Hvem fortalte dig, at du var nøgen. Mon du har spist af det Træ, jeg sagde, du ikke maatte spise af?«
01030c005b	Adam svarede: »Kvinden, som du satte ved min Side, gav mig af Træet, og saa spiste jeg.«
01030d0075	Da sagde Gud HERREN til Kvinde: »Hvad har du gjort!« Kvinden svarede: »Slangen forførte mig, og saa spiste jeg.«
01030e00c2	Da sagde Gud HERREN til Slangen: »Fordi du har gjort dette, være du forbandet blandt al Kvæget og blandt alle Markens Dyr! Paa din Bug skal du krybe, og Støv skal du æde alle dit Livs Dage!
01030f0087	Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!«
01031000b5	Til Kvinden sagde han: »Jeg vil meget mangfoldiggøre dit Svangerskabs Møje; med Smerte skal du føde Børn; men til din Mand skal din Attraa være, og han skal herske over dig!«
01031100e4	Og til Adam sagde han: »Fordi du lyttede til din Hustrus Tale og spiste af Træet, som jeg sagde, du ikke maatte spise af, skal Jorden være forbandet for din Skyld; med Møje skal du skaffe dig Føde af den alle dit Livs Dage;
0103120049	Torn og Tidsel skal den bære dig, og Markens Urter skal være din Føde;
010313009f	i dit Ansigts Sved skal du spise dit Brød, indtil du vender tilbage til Jorden; thi af den er du taget; ja, Støv er du, og til Støv skal du vende tilbage!«
0103140043	Men Adam kaldte sin Hustru Eva, thi hun blev Moder til alt levende.
0103150055	Derpaa gjorde Gud HERREN Skindkjortler til Adam og hans Hustru og klædte dem dermed.
01031600b5	Men Gud HERREN sagde: »Se, Mennesket er blevet som en af os til at kende godt og ondt. Nu skal han ikke række Haanden ud og tage ogsaa af Livets Træ og spise og leve evindelig!«
0103170061	Saa forviste Gud HERREN ham fra Edens Have, for at han skulde dyrke Jorden, som han var taget af;
0103180089	og han drev Mennesket ud, og østen for Edens Have satte han Keruberne med det glimtende Flammesværd til at vogte Vejen til Livets Træ.
0104010081	Adam kendte sin Hustru Eva, og hun blev frugtsommelig og fødte Kain; og hun sagde: »Jeg har faaet en Søn med HERRENS Hjælp!«
010402004d	Fremdeles fødte hun hans Broder Abel. Abel blev Faarehyrde, Kain Agerdyrker.
0104030041	Nogen Tid efter bragte Kain HERREN en Offergave af Jordens Frugt,
0104040070	medens Abel bragte en Gave af sin Hjords førstefødte og deres Fedme. Og HERREN saa til Abel og hans Offergave,
010405005e	men til Kain og hans Offergave saa han ikke. Kain blev da saare vred og gik med sænket Hoved.
0104060055	Da sagde HERREN til Kain: »Hvorfor er du vred, og hvorfor gaar du med sænket Hoved?
01040700ab	Du ved, at naar du handler vel, kan du løfte Hovedet frit; men handler du ikke vel, saa lurer Synden ved Døren; dens Attraa staar til dig, men du skal herske over den!«
0104080074	Men Kain yppede Kiv med sin Broder Abel; og engang de var ude paa Marken, sprang Kain ind paa ham og slog ham ihjel.
0104090074	Da sagde HERREN til Kain: »Hvor er din Broder Abel?« Han svarede: »Det ved jeg ikke; skal jeg vogte min Broder?«
01040a004f	Men han sagde: »Hvad har du gjort! Din Broders Blod raaber til mig fra Jorden!
01040b0066	Derfor skal du nu være bandlyst fra Agerjorden, som aabnede sig og tog din Broders Blod af din Haand!
01040c006d	Naar du dyrker Agerjorden, skal den ikke mere skænke dig sin Kraft; du skal flakke hjemløs om paa Jorden!«
01040d003c	Men Kain sagde til HERREN: »Min Straf er ikke til at bære;
01040e00a4	naar du nu jager mig bort fra Agerjorden, og jeg maa skjule mig for dit Aasyn og flakke hjemløs om paa Jorden, saa kan jo enhver, der møder mig, slaa mig ihjel!«
01040f00a6	Da svarede HERREN: »Hvis Kain bliver slaaet ihjel, skal han hævnes syvfold!« Og HERREN satte et Tegn paa Kain, for at ingen, der mødte ham, skulde slaa ham ihjel.
0104100052	Saa drog Kain bort fra HERRENS Aasyn og slog sig ned i Landet Nod østen for Eden.
0104110076	Kain kendte sin Hustru, og hun blev frugtsommelig og fødte Hanok. Han grundede en By og gav den sin Søn Hanoks Navn.
0104120062	Hanok fik en Søn Irad; Irad avlede Mehujael; Mehujael avlede Mehujael; og Metusjael avlede Lemek.
010413003c	Lemek tog sig to Hustruer; den ene hed Ada, den anden Zilla.
010414004e	Ada fødte Jabal; han blev Stamfader til dem, der bor i Telte og holder Kvæg;
0104150059	hans Broder hed Jubal; han blev Stamfader til alle dem, der spiller paa Harpe og Fløjte.
0104160082	Ogsaa Zilla fik en Søn, Tubal-Kajin; han blev Stamfader til alle dem, der smeder Kobber og Jern. Tubal-Kajins Søster var Na'ama.
01041700a0	Og Lemek sagde til sine Hustruer: »Ada og Zilla, hør min Røst, Lemeks Hustruer, lyt til mit Ord: En Mand har jeg dræbt for et Saar, en Dreng for en Skramme!
010418004f	Blev Kain hævnet syvfold, saa hævnes Lemek syv og halvfjerdsindstyve Gange!«
01041900aa	Adam kendte paa ny sin Hustru, og hun fødte en Søn, som hun gav Navnet Set; »thi,« sagde hun, »Gud har sat mig andet Afkom i Abels Sted, fordi Kain slog ham ihjel!«
01041a005f	Set fik ogsaa en Søn, som han kaldte Enosj; paa den Tid begyndte man at paakalde HERRENS Navn.
0105010057	Dette er Adams Slægtebog. Dengang Gud skabte Mennesket, gjorde han det i Guds Billede;
010502006a	som Mand og Kvinde skabte han dem, og han velsignede dem og gav dem Navnet »Menneske«, da de blev skabt.
010503006c	Da Adam havde levet i 130 Aar, avlede han en Søn, som var ham lig og i hans Billede, og han kaldte ham Set;
0105040051	og efter at Adam havde avlet Set, levede han 800 Aar og avlede Sønner og Døtre;
010505003e	saaledes blev hans fulde Levetid 930 Aar, og derpaa døde han.
010506002d	Da Set havde levet 105 Aar, avlede han Enosj;
0105070052	og efter at Set havde avlet Enosj, levede han 807 Aar og avlede Sønner og Døtre;
010508003e	saaledes blev Sets fulde Levetid 912 Aar, og derpaa døde han.
010509002e	Da Enosj havde levet 90 Aar, avlede han Kenan;
01050a0054	og efter at Enosj havde avlet Kenan, levede han 815 Aar og avlede Sønner og Døtre;
01050b0041	saaledes blev Enosj's fulde Levetid 905 Aar, og derpaa døde han.
01050c0033	Da Kenan havde levet 70 Aar, avlede han Mahalal'el;
01050d0059	og efter at Kenan havde avlet Mahalal'el, levede han 840 Aar og avlede Sønner og Døtre;
01050e0040	saaledes blev Kenans fulde Levetid 910 Aar, og derpaa døde han.
01050f0033	Da Mahalal'el havde levet 65 Aar, avlede han Jered;
0105100059	og efter at Mahalal'el havde avlet Jered, levede han 830 Aar og avlede Sønner og Døtre;
0105110045	saaledes blev Mahalal'els fulde Levetid 895 Aar, og derpaa døde han.
010512002e	Da Jered havde levet 162 Aar, avlede han Enok;
0105130053	og efter at Jered havde avlet Enok, levede han 800 Aar og avlede Sønner og Døtre;
0105140040	saaledes blev Jereds fulde Levetid 962 Aar, og derpaa døde han.
0105150031	Da Enok havde levet 65 Aar, avlede han Metusalem,
0105160070	og Enok vandrede med Gud; og efter at han havde avlet Metusalem, levede han 300 Aar og avlede Sønner og Døtre;
010517002a	saaledes blev Enoks fulde Levetid 365 Aar;
0105180040	og Enok vandrede med Gud, og han var ikke mere, thi Gud tog ham.
0105190033	Da Metusalem havde levet 187 Aar, avlede han Lemek;
01051a0058	og efter at Metusalem havde avlet Lemek, levede han 782 Aar og avlede Sønner og Døtre;
01051b0044	saaledes blev Metusalems fulde Levetid 969 Aar, og derpaa døde han.
01051c0031	Da Lemek havde levet 182 Aar, avlede han en Søn,
01051d0086	som han gav Navnet Noa, idet, han sagde: »Han skal skaffe os Trøst i vort møjefulde Arbejde med Jorden, som HERREN har forbandet.«
01051e0052	Og efter at Lemek havde avlet Noa, levede han 595 Aar og avlede Sønner og Døtre;
01051f0040	saaledes blev Lemeks fulde Levetid 777 Aar, og derpaa døde han.
0105200038	Da Noa var 500 Aar gammel, avlede han Sem, Kam og Jafet.
0106010050	Da nu Menneskene begyndte at blive talrige paa Jorden og der fødtes dem Døtre,
0106020070	fik Gudssønnerne Øje paa Menneskedøtrenes Skønhed, og de tog saa mange af dem, som de lystede, til Hustruer.
0106030080	Da sagde HERREN: »Min Aand skal ikke for evigt blive i Menneskene, eftersom de jo dog er Kød; deres Dage skal være 120 Aar.«
01060400cd	I hine Dage, da Gudssønnerne gik ind til Menneskedøtrene og disse fødte dem Børn — men ogsaa senere hen i Tiden — levede Kæmperne paa Jorden. Det er Heltene, hvis Ry naar tilbage til Fortids Dage.
0106050079	Men HERREN saa, at Menneskenes, Ondskab tog til paa Jorden, og at deres Hjerters Higen og Tragten kun var ond Dagen lang.
0106060057	Da angrede HERREN, at han havde gjort Menneskene paa Jorden, og det skar ham i Hjertet.
01060700ab	Og HERREN sagde: »Jeg vil udslette Menneskene, som jeg har skabt, af Jordens Flade, baade Mennesker, Kvæg, Kryb og Himmelens, Fugle, thi jeg angrer, at jeg gjorde dem!«
0106080026	Men Noa fandt Naade for HERRENS Øjne.
010609006e	Dette er Noas Slægtebog. Noa var en retfærdig, ustraffelig Mand blandt sine samtidige; Noa vandrede med Gud.
01060a002a	Noa avlede tre Sønner: Sem, Kam og Jafet.
01060b0044	Men Jorden fordærvedes for Guds Øjne, og Jorden blev fuld af Uret;
01060c0063	og Gud saa til Jorden, og se, den var fordærvet, thi alt Kød havde fordærvet sin Vej paa Jorden.
01060d009c	Da sagde Gud til Noa: »Jeg har besluttet at gøre Ende paa alt Kød, fordi Jorden ved deres Skyld et fuld af Uret; derfor vil jeg nu udrydde dem af Jorden.
01060e0080	Men du skal gøre dig en Ark af Gofertræ og indrette den med Rum ved Rum og overstryge den med Beg baade indvendig og udvendig;
01060f005c	og saaledes skal du bygge Arken: Den skal være 300 Alen lang, 50 Alen bred og 30 Alen høj;
01061000d0	du skal anbringe Taget paa Arken, og det skal ikke rage længer ud end een Alen fra oven; paa Arkens Side skal du sætte Døren, og du skal indrette den med et nederste, et mellemste og et øverste Stokværk.
010611008e	Se, jeg bringer nu Vandfloden over Jorden for at udrydde alt Kød under Himmelen, som har Livsaande; alt, hvad der er paa Jorden, skal forgaa.
010612006f	Men jeg vil oprette min Pagt med dig. Du skal gaa ind i Arken med dine Sønner, din Hustru og dine Sønnekoner;
010613008a	og af alle Dyr, af alt Kød skal du bringe et Par af hver Slags ind i Arken for at holde dem i Live hos dig. Han og Hundyr skal det være,
010614009c	af Fuglene efter deres Arter, af Kvæget efter dets Arter og af alt Jordens Kryb efter dets Arter; Par for Par skal de gaa ind til dig for at holdes i Live.
0106150068	Og du skal indsamle et Forraad af alle Slags Levnedsmidler, for at det kan tjene dig og dem til Føde.«
0106160044	Og Noa gjorde ganske som Gud havde paalagt ham; saaledes gjorde han.
0107010081	Derpaa sagde HERREN til Noa: »Gaa ind i Arken med hele dit Hus, thi dig har jeg fundet retfærdig for mine Øjne i denne Slægt.
010702005c	Af alle rene Dyr skal du tage syv Par, Han og Hun, og af alle urene Dyr eet Par, Han og Hun,
010703005e	ligeledes af Himmelens Fugle syv Par, Han og Hun, for at de kan forplante sig paa hele Jorden.
010704009a	Thi om syv Dage vil jeg lade det regne paa Jorden i fyrretyve Dage og fyrretyve Nætter og udslette alle Væsener, som jeg har gjort, fra Jordens Flade.«
0107050032	Og Noa gjorde ganske som HERREN havde paalagt ham.
0107060036	Noa var 600 Aar gammel, da Vandfloden kom over Jorden.
0107070064	Noa gik med sine Sønner, sin Hustru og sine Sønnekoner ind i Arken for at undslippe Flodens Vande.
0107080044	De rene og de urene Dyr, Fuglene og alt, hvad der kryber paa Jorden,
010709004e	gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde paalagt Noa.
01070a0037	Da nu syv Dage var omme, kom Flodens Vande over Jorden;
01070b0087	i Noas 600de Leveaar paa den syttende Dag i den anden Maaned, den Dag brast det store Verdensdybs Kilder, og Himmelens Sluser aabnedes,
01070c0042	og Regnen faldt over Jorden i fyrretyve Dage og fyrretyve Nætter.
01070d0071	Selv samme Dag gik Noa ind i Arken og med ham hans Sønner Sem, Kam og Jafet, hans Hustru og hans tre Sønnekoner
01070e00bb	og desuden alle vildtlevende Dyr efter deres Arter, alt Kvæg efter dets Arter, alt Kryb paa Jorden efter dets Arter og alle Fugle efter deres Arter, alle Fugle, alt, hvad der har Vinger;
01070f0044	af alt Kød, som har Livsaande, gik Par for Par ind i Arken til Noa;
0107100056	Han og Hundyr af alt Kød gik ind, som Gud havde paabudt, og HERREN lukkede efter ham.
010711006f	Da kom Vandfloden over Jorden i fyrretyve Dage, og Vandet steg og løftede Arken, saa den hævedes over Jorden.
0107120044	Og Vandet steg og stod højt over Jorden, og Arken flød paa Vandet;
010713005a	og Vandet steg og steg over Jorden, saa de højeste Bjerge under Himmelen stod under Vand;
0107140044	femten Alen stod Vandet over dem, saa Bjergene stod helt under Vand.
0107150076	Da omkom alt Kød, som rørte sig paa Jorden, Fugle, Kvæg, vildtlevende Dyr og alt Kryb paa Jorden og alle Mennesker;
0107160054	alt, i hvis Næse det var Livets Aande, alt, hvad der var paa det faste Land, døde.
01071700bb	Saaledes udslettedes alle Væsener, der var paa Jordens Flade, Mennesker, Kvæg, Kryb og Himmelens Fugle; de udslettedes af Jorden, og tilbage blev kun Noa og de, der var hos ham i Arken.
0107180023	Vandet steg over Jorden i 150 Dage.
0108010096	Da ihukom Gud Noa og alle de vilde Dyr og Kvæget, som var hos ham i Arken; og Gud lod en Storm fare hen over Jorden, saa at Vandet begyndte at falde;
0108020051	Verdensdybets Kilder og Himmelens Sluser lukkedes, Regnen fra Himmelen standsede,
010803005b	og Vandet veg lidt efter lidt bort fra Jorden, og Vandet tog af efter de 150 Dages Forløb.
010804004c	Paa den syttende Dag i den syvende Maaned sad Arken fast paa Ararats Bjerge,
0108050078	og Vandet vedblev at synke indtil den tiende Maaned, og paa den første Dag i denne Maaned dukkede Bjergenes Toppe frem.
0108060051	Da der var gaaet fyrretyve Dage: aabnede Noa den Luge, han havde lavet paa Arken,
010807005b	og sendte en Ravn ud; den fløj frem og tilbage, indtil Vandet var tørret bort fra Jorden.
010808004e	Da sendte han en Due ud for at se, om Vandet var sunket fra Jordens Overflade;
01080900b1	men Duen fandt intet Sted at sætte sin Fod og vendte tilbage til ham i Arken, fordi der endnu var Vand over hele Jorden; og han rakte Haanden ud og tog den ind i Arken til sig.
01080a004b	Derpaa biede han yderligere syv Dage og sendte saa atter Duen ud fra Arken;
01080b008f	ved Aftenstid kom Duen tilbage til ham, og se, den havde et friskt Olieblad i Næbbet. Da skønnede Noa, at Vandet var svundet bort fra Jorden.
01080c005f	Derpaa biede han syv Dage til, og da han saa sendte Duen ud, kom den ikke mere tilbage til ham.
01080d00b8	I Noas 601ste Leveaar paa den første Dag i den første Maaned var Vandet tørret bort fra Jorden. Da tog Noa Dækket af Arken, og da han saa sig om, se, da var Jordens Overflade tør.
01080e003e	Paa den syv og tyvende Dag i den anden Maaned var Jorden tør.
01080f0015	Da sagde Gud til Noa:
0108100042	»Gaa ud af Arken med din Hustru, dine Sønner og dine Sønnekoner
01081100b3	og for alle Dyr, der er hos dig, alt Kød, Fugle, Kvæg og alt Kryb, der kryber paa Jorden, ud med dig, at de kan vrimle paa Jorden og blive frugtbare og mangfoldige paa Jorden!«
010812003f	Da gik Noa ud med sine Sønner, sin Hustru og sine Sønnekoner;
0108130083	og alle de vildtlevende Dyr, alt Kvæget, alle Fuglene og alt Krybet, der kryber paa Jorden, efter deres Slægter, gik ud af Arken.
010814006e	Derpaa byggede Noa HERREN et Alter og tog nogle af alle de rene Dyr og Fugle og ofrede Brændofre paa Alteret.
010815010b	Og da HERREN indaandede den liflige Duft, sagde han til sig selv: »Jeg vil aldrig mere forbande Jorden for Menneskenes Skyld, thi Menneskehjertets Higen er ond fra Ungdommen af, og jeg vil aldrig mere tilintetgøre alt, hvad der lever, saaledes som jeg nu har gjort!
0108160072	Herefter skal, saa længe Jorden staar, Sæd og Høst, Kulde og Hede, Sommer og Vinter, Dag og Nat ikke ophøre!«
010901006d	Derpaa velsignede Gud Noa og hans Sønner og sagde til dem: »Bliv frugtbare og mangfoldige og opfyld Jorden!
01090200bd	Frygt for eder og Rædsel for eder skal være over alle Jordens vildtlevende Dyr og alle Himmelens Fugle og i alt, hvad Jorden vrimler med, og i alle Havets Fisk; i eders Haand er de givet!
0109030075	Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.
0109040036	Dog Kød med Sjælen, det er Blodet, maa I ikke spise!
0109050096	Men for eders eget Blod kræver jeg Hævn; af ethvert Dyr kræver jeg Hævn for det, og af Menneskene indbyrdes kræver jeg Hævn for Menneskenes Liv.
0109060070	Om nogen udøser Menneskers Blod, ved Mennesker skal hans Blod udøses, thi i sit Billede gjorde Gud Menneskene.
010907005b	Men I skal blive frugtbare og mangfoldige! Opfyld Jorden og gør eder til Herre over den!«
0109080029	Derpaa sagde Gud til Noa og hans Sønner:
0109090045	»Se, jeg opretter min Pagt med eder og eders Efterkommere efter eder
01090a0091	og med hvert levende Væsen, som er hos eder, Fuglene, Kvæget og alle Jordens vildtlevende Dyr, alt, hvad der gik ud af Arken, alle Jordens Dyr;
01090b00a6	jeg opretter min Pagt med eder og lover, at aldrig mere skal alt Kød udryddes af Flodens Vande, og aldrig mere skal der komme en Vandflod for at ødelægge Jorden!«
01090c008e	Fremdeles sagde Gud: »Dette er Tegnet paa den Pagt, jeg til evige Tider opretter mellem mig og eder og hvert levende Væsen, som er hos eder:
01090d004e	Min Bue sætter jeg i Skyen, og den skal være Pagtstegn mellem mig og Jorden!
01090e004b	Naar jeg trækker Skyer sammen over Jorden, og Buen da viser sig i Skyerne,
01090f00af	vil jeg komme den Pagt i Hu, som bestaar mellem mig og eder og hvert levende Væsen, det er alt Kød, og Vandet skal ikke mere blive til en Vandflod, som ødelægger alt Kød.
0109100091	Naar Buen da staar i Skyerne, vil jeg se hen til den og ihukomme den evige Pagt mellem Gud og hvert levende Væsen, det er alt Kød paa Jorden.«
0109110066	Og Gud sagde til Noa: »Det er Tegnet paa den Pagt, jeg opretter imellem mig og alt Kød paa Jorden!«
0109120054	Noas Sønner, der gik ud af Arken, var Sem, Kam og Jafet; Kam var Fader til Kana'an;
0109130045	det var Noas tre Sønner, og fra dem stammer hele Jordens Befolkning.
010914003c	Noa var Agerdyrker og den første, der plantede en Vingaard.
010915004b	Da han nu drak af Vinen, blev han beruset og blottede sig inde i, sit Telt.
0109160053	Da saa Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;
01091700ad	men Sem og Jafet tog Kappen, lagde den paa deres Skuldre og gik baglæns ind og tildækkede deres Faders Blusel med bortvendte Ansigter, saa de ikke saa deres Faders Blusel.
0109180055	Da Noa vaagnede af sin Rus og fik at vide, hvad hans yngste Søn havde gjort ved ham,
0109190052	sagde han: »Forbandet være Kana'an, Trælles Træl blive han for sine Brødre!«
01091a0051	Fremdeles sagde han: »Lovet være HERREN, Sems Gud, og Kana'an blive hans Træl!
01091b0052	Gud skaffe Jafet Plads, at han maa bo i Sems Telte; og Kana'an blive hans Træl!«
01091c0024	Noa levede 350 Aar efter Vandfloden;
01091d003e	saaledes blev Noas fulde Levetid 950 Aar, og derpaa døde han.
010a01005f	Dette er Noas Sønner, Sem, Kam og Jafets Slægtebog. Efter Vandfloden fødtes der dem Sønner.
010a020043	Jafets Sønner: Gomer, Magog. Madaj, Javan, Tubal, Mesjek og Tiras.
010a03002b	Gomers Sønner: Asjkenaz, Rifat og Togarma.
010a04003a	Javans Sønner: Elisja, Tarsis. Kittæerne og Rodosboerne;
010a050094	fra dem nedstammer de fjerne Strandes Folk. Det var Jafets Sønner i deres Lande, hver med sit Tungemaal, efter deres Slægter og i deres Folkeslag.
