2800000006	iMatiu
2803050076	Inggisɛ tɔkyɛ iJerosalin tole ba mbon bɛyi ali agwɔ mgbi iJudia yi ayɛsɛ nto kwɛkwɛ yi ekyoo mgbi iJodan duu.
2803060047	A fwi ali ibwubwe mgbi ama man iJɔn kyɔ ma iBatisima mi ekyoo iJodan.
28030700ce	Ngwi iJɔn di emi iFarasi yi emi iSadusi kwuba le ba mbon owa kyɔ iBatisima nɛ, o nya ma gbɛɛ: “Ema engwɛ ogidzi ntonɛ! Li emɛ wɛ ema odzɛ gbɛɛ ni ema tsinya itingga mgbi Imgbasho nka wa ba na?
280308002e	Wa owaawa ntso ambɛ itukwu okyata-kyata mani.
28030900a9	Dika tsɛwɛ gbɛɛ ema ka gbɔ yi ewema gbɛɛ, ‘Abrahan li otseyi ba.’ Ani le nya ema gbɛɛ Imgbasho ka yagba kyata akwutsɛ ntonɛ nu ma yɛɛ etɔ mgbi Abrahan!
28030a008c	Onɛnɛ kpaa Imgbasho kye ika ladzɛ akpekwɔ le fɛ odzɛɛdzɛ, ali ekwɔ nwa owaawa osuse ba duu a ka kye dzɛlu ngwuta di kye wokɛ ola.
28030b00c6	“Ani le kyɔ ema iBatisima yi eni otso ambɛ itukwu okyata-kyata. Kpaa ongwu nka wa ba mi iyikpa ani ma shewo ngha ani, ani mɛ ogben okpafɔ ba. O ka kyɔ ema iBatisima mi Onodzi Osaan bɛyi ola.
28030c0092	Okwuga mgban ofo ungwɔ byidzɛ abɔ, o ka folu etɔ mgban kyi gbelu osuse duu wokɛ oba, ikpaflo yɔ, o ka gbe toola mi ola nka myunu ba mani.”
28030d0062	Mi onɔ na iYesu kyɛ mi iGalalia wa kaka si ba mbi iJɔn mi ekyoo iJodan owa kyɔ iBatisima mbon.
28030e0069	Kpaa iJɔn fwa yan gbɛɛ, “Li ani ngwu abu kika kyɔ ani iBatisima, ma kyɔnɛ ngwi abu ba mbi ani?”
28030f0086	Nghaduu iYesu nun uka gbɛɛ, “Onɛnɛ yɔ no dzɛ ngha; lubana li kyɛmɛ ngwi eyi ka kyɔ oweka mgbi Imgbasho.” Man iJɔn gbela.
2803100083	Ntunto ngwi iYesu kyɔ iBatisima di kyɛɛ mi eni nɛta, esho kwulu. Ta o di Onodzi Imgbasho kyɛ le ba dafi anyama wa dɔnkɛ ewo.
2803110067	Ta ela tɔ mi esho gbɛɛ, “Nɛnɛ li Ongwani, ongwi itukwu-itukwu; li mbon ngwi ani dzɛ yi atsa.”
280401003a	Ta Onodzi Osaan kye iYesu lu okwɛsɛ ni iSatan ka mbadin.
2804020047	Dafi iYesu tukwondu egbe ngwusefa yi otu ngwusefa nyɛ nɛ, enbwa dɔn.
2804030079	Ta iSatan ba mbon wa nyan gbɛɛ, “Kini abu li ongwɛ Imgbasho yɔ, wo akwutsɛ ntonɛ ola nu ma kyata yɛɛ ibredi.”
2804040093	Kpaa iYesu nun uka gbɛɛ: “Afɛ lɔ gbɛɛ, inggisɛ ka dzɛ oshishe mi ibredi ta ba, kpaa li mi ali elodzɛ ntɔ mi ondu mgbi Imgbasho mani.”
280405004c	Ta iSatan di kyon lu ogalu osaan, kyon ka dɔkɛ ikyikye ozu osunu Imgbasho,
28040600de	o nyan gbɛɛ, “Ni abu li ongwɛ Imgbasho yɔ, bulu lu esɛ. Lubana Afɛ lɔ gbɛɛ, “Imgbasho ka wo engyesɔ mgban ola ikye abu, a ka kye gbɛlu abu mi abɔ mgbi ama, ikyegbɛɛ ni abu ka kye afɔ tsɛ akwutsɛ ba.”
2804070057	IYesu nyan gbɛɛ, “Afɛ di lɔ gbɛɛ, ‘ka mbadi Otsɛ Imgbasho mgbi abu ba.’”
280408007b	ISatan di kyon lu ka tɔkɛ unggwɔ nshigbo kpakpa di tson esutɔ mgbi ɛsɛ duu bɛyi okwɔkwɔ mgbi ɛsɛ. O nyan gbɛɛ:
2804090047	“Kini abu kwɛsɛ sunu ani yɔ, ungwɔ ntonɛ duu n ka gbe nu abu.”
28040a008d	Nghaduu iYesu nyan gbɛɛ, “Yɛ enggengga iSatan! Lubana Afɛ lɔ gbɛɛ: ‘Sunu Otsɛ Imgbasho mgbi abu, di li ongwu ta kyɔn idɔ.’”
28040b003d	Ta iSatan lu dzanta, man engyesɔ mgbi Imgbasho ba wa tobyun.
28040c0045	Ngwi iYesu fwo gbɛɛ a kye iJɔn wokɛ obawi nɛ, o yɛ lu iGalalia.
28040d006b	O dzata iNadzareti si lu ka dzɛ iKapenahun ndzɛ mi ewuutɔ iGalalia mi ayɛ mgbi iDzebulun bɛyi iNaftali
28040e0042	ikye ombwumbwo odzɛ ngwi oyegbɔ Adzaya tsekise gbɔ mani gbɛɛ:
28040f0061	“Ɛsɛ iDzebulun yi iNaftali, ofɛ olu ekyoo okwukwo, mi olu iJodan, iGalalia mgbi emi agwɛsɛ
2804100056	inggisɛ ama nlato iifu a di osa okwukwo; ama nlato iwulu ikwongye osa gbosa tu ma.”
280411008b	Wita mi onɔ na nghataa lu iyayi iYesu wita ogbeesɔ gbɛɛ “kyata mi ali ibwubwe mgbi ema na, lubana esutɔ ongwi esho dzɛ kwɛkwɛ.”
28041200bd	Dafi iYesu le kyikyɛ nyɛ ewekyoo okwukwo mgbi iGalalia nɛ, o di engwuneka nghi efa, iSaimɔn nli iPyita nani bɛyi ongwunɔn Andru. A tole ngwi ukɛ mi utɔ lubana a li ama okwu mmbweni.
280413005e	IYesu nya ma gbɛɛ, “Ba, wa kyɛdɔ ani na, ta ani ka kyata ema yɛɛ ama okwu inggisɛ.”
2804140026	A byakpa dzata ukɛ mgbi ama kyɛdɔn.
2804150097	O gble kiyayi nɛ, o di engwunɔ angbeka efa, iJɛnsi bɛyi ongwunɔn iJɔn emi ongwɛ iDzebedi. A woto uwaa yi otsɔma, le mɛ akɛ. IYesu kwu ma ela,
2804160032	plɛ nɛta a dzita otsɔma bɛyi uwaa si kyɛdɔn.
2804170091	IYesu kyikyɛ kpatsɛ iGalalia, le tso mi ozu okwakye mgbi emi iJuda, le gbɔ Esɔ Osuse mgbi esutɔ, dile ngyɛlu inggisɛ ootse idzidza-dzidza.
28041800f1	Odzɛ mgban si gbɔfwɛ kpatsɛ ali imbe mi iSiria, ta inggisɛ gbe ama ndotse ita idzidza-dzidza ba mbon, ama nle gyadzɛ yi owulu-wulu, yi ama ngwu esɛ dɔ ma ikye, ama odzɛkwulu yi ama ogbyikye tukwu esɛ, kpaa iYesu ngyɛlu ma ele duu.
2804190073	Ijiji inggisɛ mi iGalalia yi iDekapoli yi iJerosalin yi iJudia bɛyi ayɛsɛ nto oyombo ekyoo iJodan duu kyɛdɔn.
2805010060	Mi onɔ ngwi iYesu di ibyi inggisɛ nɛ, o tɔkɛ ewunggwɔ ka sɔkɛ esɛ. Engwafɔɔn ba mbon,
2805020019	o si wita otso ma gbɛɛ:
2805030050	“Atsa dzɛ yi ama ndzɛ adzɛ mi onodzi, lubana esutɔ ongwi esho li mgbi ama.
280504004b	Atsa dzɛ yi ama ndzɛ yi etse inɛ onɛnɛni, lubana Imgbasho ka gyila ma!
280505003f	Atsa dzɛ yi ama nsulu itukwu iyu, lubana a ka gyokwudɛ ɛsɛ.
2805060063	Atsa dzɛ yi ama enbwa dɔ ma ngwi ekweni di kwu ma ikye osaan mani, lubana Imgbasho ka nu ma tolo.
280507003b	Atsa dzɛ yi ama odi elela, lubana Imgbasho ka di ma elela.
280508003f	Atsa dzɛ yi ama itukwu gbosa mi ifun, lubana a ka di Imgbasho.
2805090043	Atsa dzɛ yi ama oba yi iyu, lubana a ka kwu ma di engwɛ Imgbasho.
28050a0053	Atsa dzɛ yi ama nli gbiisɔ ikye osaan mani, lubana esutɔ ongwi esho li mgbi ama.
28050b0065	“Atsa dzɛ yi ema ngwu a fya ema ito di nu ema isɔ di mwonya ibwubwe bɛ ema ewo mi ikye ani mani.
28050c0084	Dzɛ yi atsa kpakpa na, ikyekyɛ umba mgbi ema shewo mi esho, bana li ngha ngwi a nu ama ogbɛɛsɛ ama nteyi ema ma kpaa isɔ aali.
28050d00b3	“Ema li mmwaa mgbi ɛsɛ. Kpaa kini mmwaa fyumfya wuba ma, a ka kyɔsinɛse non yɛ fyumfya? Ungwɔ ntishi ngwi a ka kyɔ yan yɔ, se li okye yangwuta ni inggisɛ kye afɔ dzin.
28050e004e	“Ema li osa mgbi ɛsɛ. Ogalu okwukwo ndɔdzɛ undɔ ka yagba dzɛ daada ba.
28050f0084	Naadi inggisɛ ka kye ipitila dɔ di yile mgboko tukwun ba. Kpaa a ka kye dɔkɛ mi ododa, no nu osa mbi ali inggisɛ duu mi ifoozu.
2805100083	Mi itɔ ofɛ nɛ yɛyɛ, ni osa mgbi ema gbosa mbi inggisɛ, ikye nu ma di okyɔɔkyɔ mgbi ema osuse diyɛ tsɛ Otsema ongwi esho.
2805110081	“Ka tsɛwɛ gbɛɛ ani ba owa ndɛlu Ola naadi elodzɛ mgbi emi Oyegbɔ ba; ani ba owa ndɛlu ma ba kpaa li owa nu ma mbwumbwo.
28051200b2	Ani nya ema otsitsi, esho yi esɛ ka nyɛ, kpaa ambɛ olɔ ungwɔ nnghao shanyɛ hona nghao yɛyikpa ngwi a lɔ mi Ola onyi kpaa ka byulu ba. Nghataa alungwɔ duu ka wa mbwumbwo.
28051300e8	Ali inggisɛ nfoola onyi nnghao shanyɛ mi ola ntonɛ diyɛ tso angbeka okyɔ ngha yɔ, a ka kwun di olɛlɛ mi esutɔ ongwi esho, kpaa ali inggisɛ nkyɔ mi ola diyɛ tso ola ntonɛ, a ka kwun di ogbagbadzidzi mi esutɔ ongwi esho.
2805140099	Lubana ani nya ema gbɛɛ sede osaan mgbi ema ka ngha mgbi emi iFarasi bɛyi etsetse mgbi ola mgbi iMose bayɔ, ema kpaa ka kaka esutɔ ongwi esho na ba.
2805150084	“Ema teyi fwo a gbɔ yi inggisɛ tugbe gbɛɛ, ‘Ka ngwɔ inggisɛ ba, ma ali inggisɛ nngwɔ inggisɛ tayɔ a ka gbɔn ikwɔ.’
280516010c	Nghaduu ani le nya ema gbɛɛ inggisɛ nkyitingga yi ongwunɔn yɔ, mɛ ogbɔn ikwɔ. Ali inggisɛ ndi kwu ongwunɔn gbɛɛ, ‘Imbuu,’ ka nu uka mi opiikwɔ okwukwo. Kpaa inggisɛ ta nkwu ongwunɔn gbɛɛ, ‘Abu ikwangha inggisɛ yɔ!’ ka dzɛ inoola mgbi udola.
280517005b	“Nghanɛ, ni abu le nu umba mi iwashi wa wɛ gbɛɛ ongwunabu dzɛ yi okakewo yi abu yɔ,
280518005a	dzita umba na mi iwashi. Teyi lu ka yile ide gye yi ongwunabu; ta yɛ wa nu umba mgbi abu.
28051900fb	“Yile ide gye plɛ yi ongyikyili mgbi abu ongwu nkye abu le kɛ opiikwɔ. Kyɔ ngha yan ngwi abu ka kyɛ yan mi ofɛ mani, bana o ka kye abu wo inggisɛ ogbiikwɔ abɔ, inggisɛ ogbiikwɔ na dika kye abu wo adruba abɔ, man o ka kye abu wokɛ obawi.
28051a006e	N nya abu otsitsi, abu ka tɔ ba sede abu ka kpa mkpa ngwi abu dzɛyan ma klɛklɛ olifo onyi kpaa ka sisi ba.
28051b0034	“Ema teyi fwo a gbɔgbɛɛ, ‘Ka kyɔ amah ba.’
28051c0069	Kpaa n nya ema gbɛɛ inggisɛ ta ndi ongyaa inɛ mbe anggwɔ yɔ, tsekise kyɔ amah yan mi itukwu mgban.
28051d00a3	Kini inɛ mgbi abu abugye nu abu kyungwɔ obube, kyi todulu ngwuta. I tatase ni alewo mgbi abu onyi nyanya ngha onu ma kye ewo mgbi abu olɔlɔ ngwuta wokɛ udola.
28051e00ae	Ni abɔ abugye mgbi abu di nu abu kyungwɔ obube yɔ, kye dzɛlu ngwuta. Bana ka tatase ni alewo mgbi abu onyi nyanya ngha onu ma kye ewo mgbi abu olɔlɔ ngwuta wokɛ udola.
28051f0066	“A tsekise gbɔgbɛɛ, ‘Ali inggisɛ nlɔ owan onya yɔ, li kyɛmɛ ngwi o ka nun afɛ ogheeba.’
28052000a6	Nghaduu ani nya ema gbɛɛ inggisɛ ta nlɔ owan onya, ni li mi itɔdzɛ mgbi amah bayɔ, o non yɛɛ ongyaa amah, inggisɛ ndi kye ongyaa ngwu a lɔn onya kyɔ amah.
2805210086	“Ema di fwo a nya inggisɛ tugbe gbɛɛ, ‘Ka ndɛlu ofaafa mgbi ema ba, kpaa ngyo ondu odzɛɛdzɛ ngwi ema dzɛ yi Otsɛ mani.’
2805220055	Kpaa n nya ema, ka fa ba duudu: ni li mi esho kpaa, lubana li itsuutɔ mgbi Imgbasho;
2805230081	hona mi ikpɛsɛ, lubana li imbe okye atafɔ mgban dɔ ele; naadi mi iJerosalin, lubana li ogalu okwukwo mgbi Utɔ Ogbagbadzidzi.
2805240078	Dika fa mi ikye mgbi abu ba, lubana abu ka yagba onu alotu onyi mi ikye mgbi abu kpaa yɛɛ onzundzɛ hona onbyinbyi ba.
2805250092	Ungwɔ nli adzɛ bayɔ, ‘Ɛɛn’ mgbi ema no li ‘Ɛɛn,’ ‘Ei,’ mgbi ema no li ‘Ei’; ungwɔ nnghaabɔ nɛ duu kyɛ mbi owapɛ olodu.
280526003d	“Ema teyi fwo a gbɔgbɛɛ, ‘Inɛ yi inɛ, aba yi aba.’
280527007a	Kpaa n nya ema, ka kpumkpa obube mi ikye obube ba. Kini inggisɛ ta abu afɛ mi atadɔ abugye, kyata agya oka na kpaa nun.
2805280088	Ni inggisɛ di mina okwu abu elikwɔ kye gbɛlu angwuto mgbi abu owoowo ongwi ifun yɔ, kye angwuto mgbi abu ongwi esɛ kpaa bankɛ ele.
2805290055	Kini inggisɛ si abu gbɛɛ ni abu kɛ afokyɛɛ onyi yan yɔ, kɛ yan afokyɛɛ efa.
28052a005a	Inggisɛ nbɔ abu ungwɔ nun, dika fashi iyikpa tsɛ inggisɛ nmina ogbɛ mkpa mbi abu ba.
28052b0073	“Ema teyi fwo a gbɔgbɛɛ, ‘Di inggisɛ nwotsuudɛ dɔ abu kpa abu itukwu yɛ di ongyikyili mgbi abu lanyi.’
28052c0061	Nghaduu n nya ema: engyikyili mgbi ema nu ma kpa ema itukwu di bibɔ mi ikye ama nle nu ema isɔ,
28052d0093	adzi ni ema li engwɛ mgbi Otsema ongwi esho. O li nu onɔ mgban tsɛ emi obube yi emi osuse, di li kya mmbwo mbi emi osaan bɛyi emi ibwubwe kpaa.
28052e0086	Kini ema tso okpitukwu mbi ama nkpa ema itukwu ta ma, li ali oyabɔ ema ka tu? Li ali ngwi ama ogbɛ udza ifyɛɛ kpaa li kyɔ daabaa?
28052f008d	Ni ema di ta engwunema ta angba ma, idzidza mgbi ema yi inggisɛ angbeka li ekyɛ? Li ngha ngwi ama o sunu Imgbasho ba kpaa li kyɔ daabawɛ?
2805300043	Wanɛ, dzɛ yɛyɛ na, dafi Otsema ongwi esho kpaa le yɛyɛ nɛni.
2806010093	“Gbɛwɛbyi ka kyɔ ali osuse mgbi ema mi inɛ inggisɛ ikyegbɛɛ nu ma di ema ba. Ni ema kyɔ ngha, ema ka tu umba mbi Otsema ndzɛ esho na ba.
28060200e2	“Nghanɛ ni abu gha inggisɛ abubɔ umba yɔ, ka fo agba mi ele dafi emi ikpala li kyɔ mi ozu okwakye mgbi emi iJuda bɛyi ingɔfɛ ikye ni inggisɛ nu ma mmwɛ na ba. N nya ema otsitsi, a kyi gbɛlu umba mgbi ama ngyɛ wa.
2806030064	Ni abu gha inggisɛ abubɔ umba yɔ, ka nu abɔ abubɛ mgbi abu ye ungwɔ ngwi abugye le kyɔ ma ba.
2806040069	Ikye ni umba mgbi abu oghaagha no dzɛ mi odaada. Ta Otsabu, ongwu nli di mi odaada na, ka yilen kpa abu.
28060500ea	“Ni ema di bibɔ yɔ, ka kyɔ dafi emi ikpala ba, lubana li kpa ma obibɔ kwuzunto mi ozu okwakye mgbi emi iJuda bɛyi mi okwokyiikwokyi mgbi ingɔfɛ ikye ni inggisɛ di ma. Ani nya ema otsitsi, a kyi gbɛlu umba mgbi ama ngyɛ wa.
2806060099	Yeba ni abu ka bibɔ yɔ, lu ifoozu mgbi abu, kye ofɛ tukwu man bibɔ mbi Otsabu, ngwu a li din ba nani. Ta Otsabu, nli di mi odaada na, ka nu abu umba.
28060700a7	Nghaduu ni ema le bibɔ, ka kwondukwɔ dafi ama oye Imgbasho ba li kyɔ na ba, lubana a tsɛwɛ gbɛɛ li mi odzɛ mgbi ama ogbɔɔgbɔ kwuba ma ngwi a ka fwo ma aali.
2806080059	Ka dzɛ dafi ama ba na, lubana Otsema teyi ye ungwɔ ama ngwi ema mina duuse ema wa bɔn.
2806090065	“Nɛ, ka li ofɛ ngwi ema kale bibɔ aani: “‘Otseyi ndzɛ esho, nu ma nu mmwɛ mi iyi mgbi abu,
28060a005d	esutɔ mgbi abu no ba, nu ma kyɔ owitukwu mgbi abu mi ɛsɛ nɛ dafi a li kyɔ mi esho mani.
28060b0032	Nu eyi ungwogye mgbi eyi inɛ ongwi alegbe-alegbe.
28060c004f	Dzɛ eyi ta yi obube mgbi eyi, dafi eyi kpaa li dzita ama nkyɔ eyi obube mani.
28060d0049	Dika kye eyi kaka imbadi ba, kpaa dulu eyi tɔ mi abɔ inggisɛ obube.’
28060e0056	Lubana ni ema dzata inggisɛ nkyɔ ema obube yɔ, Otsema ongwi esho kpaa ka dzata ema.
28060f0059	Kpaa ni ema dzata inggisɛ yi obube bayɔ, Otsema kpaa ka dzata ema yi obube mgbi ema ba.
28061000c3	“Alonɔ ngwi ema tukwondu yɔ, ka mbiinɛ ikye dafi emi ikpala li kyɔ na ba, bana a li mbiinɛ ikye otso inggisɛ gbɛɛ ama le tukwondu. N nya ema otsitsi a kyi gbɛlu umba mgbi ama ngyɛ wa.
280611003d	Nghaduu ni abu tukwondu yɔ, ngwunɛ di kye engyie juwo ikye.
2806120091	Ikye ni inggisɛ ka difwi gbɛɛ abu le tukwondu ba, kpaa no li mbi Otsabu kyoon, ongwu a li din ba; Otsabu nli di mi odaada na, ka kpa abu mkpa.
2806130074	“Ka kye aludu mgbi ema da mi ɛsɛ nɛ ba! Mi ɛsɛ nɛ ewa yi mnkpe ka mbelu ma, emumyi dika gbobu kaka kye yili.
2806140085	Kpaa kye aludu mgbi ema da mi esho, imbe ngwi ewa bɛyi mnkpe ka yagba mbe ba, ngwi emumyi kpaa ka yagba gbobu kaka kye yili ba nani.
2806150050	Bana li imbe ngwi aludu mgbi abu dzɛ ma ngwi itukwu mgbi abu kpaa li dzɛ aali.
2806160051	“Inɛ li osa mgbi ewo. Ni inɛ mgbi abu tishi, ewo mgbi abu duu ka mbwo yi osa.
